"","2016-03-28_to_2017-03-29_GrowthPortfolio_3QRank","2016-04-28_to_2017-04-29_GrowthPortfolio_3QRank","2016-05-31_to_2017-05-29_GrowthPortfolio_3QRank","2016-06-28_to_2017-06-29_GrowthPortfolio_3QRank","2016-07-28_to_2017-07-29_GrowthPortfolio_3QRank","2016-08-29_to_2017-08-29_GrowthPortfolio_3QRank","2016-09-28_to_2017-09-29_GrowthPortfolio_3QRank","2016-10-28_to_2017-10-29_GrowthPortfolio_3QRank","2016-11-28_to_2017-11-29_GrowthPortfolio_3QRank","2016-12-28_to_2017-12-29_GrowthPortfolio_3QRank","2017-01-30_to_2018-01-29_GrowthPortfolio_3QRank","2017-02-28_to_2018-03-01_GrowthPortfolio_3QRank","2017-03-28_to_2018-03-29_GrowthPortfolio_3QRank","2017-04-28_to_2018-04-29_GrowthPortfolio_3QRank","2017-05-30_to_2018-05-29_GrowthPortfolio_3QRank","2017-06-28_to_2018-06-29_GrowthPortfolio_3QRank","2017-07-28_to_2018-07-29_GrowthPortfolio_3QRank","2017-08-28_to_2018-08-29_GrowthPortfolio_3QRank","2017-09-28_to_2018-09-29_GrowthPortfolio_3QRank","2017-10-30_to_2018-10-29_GrowthPortfolio_3QRank","2017-11-28_to_2018-11-29_GrowthPortfolio_3QRank","2017-12-28_to_2018-12-29_GrowthPortfolio_3QRank","2018-01-29_to_2019-01-29_GrowthPortfolio_3QRank","2018-02-28_to_2019-03-01_GrowthPortfolio_3QRank","2018-03-28_to_2019-03-29_GrowthPortfolio_3QRank","2018-04-30_to_2019-04-29_GrowthPortfolio_3QRank","2018-05-29_to_2019-05-29_GrowthPortfolio_3QRank","2018-06-28_to_2019-06-29_GrowthPortfolio_3QRank","2018-07-30_to_2019-07-29_GrowthPortfolio_3QRank","2018-08-28_to_2019-08-29_GrowthPortfolio_3QRank","2018-09-28_to_2019-09-29_GrowthPortfolio_3QRank","2018-10-29_to_2019-10-29_GrowthPortfolio_3QRank","2018-11-28_to_2019-11-29_GrowthPortfolio_3QRank","2018-12-28_to_2019-12-29_GrowthPortfolio_3QRank","2019-01-28_to_2020-01-29_GrowthPortfolio_3QRank","2019-02-28_to_2020-02-29_GrowthPortfolio_3QRank","2019-03-28_to_2020-03-29_GrowthPortfolio_3QRank","2019-04-29_to_2020-04-29_GrowthPortfolio_3QRank","2019-05-28_to_2020-05-29_GrowthPortfolio_3QRank","2019-06-28_to_2020-06-29_GrowthPortfolio_3QRank","2019-07-29_to_2020-07-29_GrowthPortfolio_3QRank","2019-08-28_to_2020-08-29_GrowthPortfolio_3QRank","2019-09-30_to_2020-09-29_GrowthPortfolio_3QRank","2019-10-28_to_2020-10-29_GrowthPortfolio_3QRank","2019-11-29_to_2020-11-29_GrowthPortfolio_3QRank","2019-12-30_to_2020-12-29_GrowthPortfolio_3QRank","2020-01-28_to_2021-01-29_GrowthPortfolio_3QRank","2020-02-28_to_2021-03-01_GrowthPortfolio_3QRank","2020-03-30_to_2021-03-29_GrowthPortfolio_3QRank","2020-04-28_to_2021-04-29_GrowthPortfolio_3QRank","2020-05-28_to_2021-05-29_GrowthPortfolio_3QRank","2020-06-29_to_2021-06-29_GrowthPortfolio_3QRank","2020-07-28_to_2021-07-29_GrowthPortfolio_3QRank","2020-08-28_to_2021-08-29_GrowthPortfolio_3QRank","2020-09-28_to_2021-09-29_GrowthPortfolio_3QRank","2020-10-28_to_2021-10-29_GrowthPortfolio_3QRank","2020-11-30_to_2021-11-29_GrowthPortfolio_3QRank"
"P Information Ratio","-0.14","1.85","2.08","0.22","0.42","1.18","1.15","2.18","2.36","1.76","2.4","2.96","3.66","2.69","2.78","2.58","1.78","1.79","2.19","0.65","0.79","0.54","0.8","0.76","0.36","0.24","-0.4","0.16","0.19","0.38","-0.14","0.81","0.19","-0.42","0.23","0.54","0.67","1.11","0.37","0.18","1.04","0.27","0.91","2.01","2.25","2.91","3.21","3.01","0.11","-0.06","1.82","1.96","0.49","2.27","0.69","0.61","1.68"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.03","0.55","0.44","-0.22","-0.21","0.11","-0.08","0.29","0.52","0.23","0.3","1.13","0.93","0.77","0.62","0.81","0.63","0.58","1.1","0.79","0.34","0.4","0.42","0.22","0.27","0.02","-0.29","0.06","0.11","0.14","0.27","0.75","0.21","0.41","0.55","0.63","0.65","0.36","-0.01","0.23","0.52","0.45","0.11","0.97","1.04","1.34","1.06","1.38","0.61","0.54","0.98","0.75","0.77","1.2","1.03","0.64","0.87"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.9","1.06","0.98","1.25","1.32","1.16","1.32","1.45","1.06","1.17","1.15","0.97","1.08","1.17","1.14","1.08","1.16","1","0.89","0.98","1.18","1.14","1.1","1.25","1.23","1.25","1.24","1.19","1.23","1.15","1.12","0.79","0.86","0.75","0.67","0.51","0.6","0.88","0.89","1.05","1.13","1.02","1.14","1.03","1","1.17","1.01","1.04","0.9","0.84","0.9","0.87","0.75","0.82","0.75","0.84","0.86"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","39.81","64.34","67.7","78.73","76.39","78.19","70.19","41.68","44.74","54.76","55.86","72.9","81.18","86.92","83.31","87.86","81.28","64.67","61.27","75.57","79.66","77.24","80.84","90","88.26","88.54","90.64","90.94","94.03","94.55","93.65","79.67","82.89","80.29","60.84","55.19","70.31","85.43","87.78","87.59","91.01","88.83","93.19","91.93","92.54","96.08","97.07","85.62","82.2","71.58","80.49","79.87","69.61","78.22","72.51","78.05","74.67"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-6.8984","-6.2292","-5.9802","-7.6159","-8.0066","-6.6019","-6.4735","-4.0091","-4.616","-4.914","-4.8602","-10.2925","-10.7594","-10.4676","-10.2742","-10.2146","-10.4709","-10.1494","-10.4585","-14.4344","-14.43","-23.3575","-23.807","-24.1342","-24.4924","-25.1595","-25.2222","-23.8911","-24.8557","-24.2487","-23.5358","-15.0749","-15.6838","-5.2708","-4.5721","-11.5435","-33.7892","-35.0341","-34.9402","-35.9142","-37.6922","-34.6294","-38.0293","-36.1681","-35.4952","-38.688","-35.2183","-30.3893","-10.2838","-10.4362","-10.782","-10.9343","-10.9158","-10.1074","-9.9107","-9.9671","-8.7067"
"B Max Drawdown","-5.5957","-5.5957","-5.5957","-4.7928","-4.7928","-4.633","-3.8321","-2.7968","-2.7968","-2.7968","-2.7968","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1596","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7423","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6044","-9.6045","-7.4772","-5.2125","-5.2125"
"MD DIFF(P-B)","-1.3027","-0.6335","-0.3845","-2.8231","-3.2138","-1.9689","-2.6414","-1.2123","-1.8192","-2.1172","-2.0634","-0.133000000000001","-0.5999","-0.3081","-0.114700000000001","-0.0551000000000013","-0.311400000000001","0.0100999999999996","-0.299000000000001","-4.2748","-4.2555","-3.5793","-4.0288","-4.356","-4.7142","-5.3813","-5.444","-4.1129","-5.0775","-4.4705","-3.9013","1.3717","0.0585000000000004","1.5653","2.264","1.2123","0.135799999999996","-1.10910000000001","-1.0152","-1.9892","-3.7672","-0.7044","-4.1043","-2.24310000000001","-1.5702","-4.76300000000001","-1.2933","-1.869","-0.6793","-0.8317","-1.1775","-1.3298","-1.3114","-0.5029","-2.4335","-4.7546","-3.4942"
