"","2015-09-25_to_2018-09-26_ValuePortfolio_1QRank","2015-10-26_to_2018-10-26_ValuePortfolio_1QRank","2015-11-25_to_2018-11-26_ValuePortfolio_1QRank","2015-12-28_to_2018-12-26_ValuePortfolio_1QRank","2016-01-25_to_2019-01-26_ValuePortfolio_1QRank","2016-02-25_to_2019-02-26_ValuePortfolio_1QRank","2016-03-28_to_2019-03-26_ValuePortfolio_1QRank","2016-04-25_to_2019-04-26_ValuePortfolio_1QRank","2016-05-25_to_2019-05-26_ValuePortfolio_1QRank","2016-06-27_to_2019-06-26_ValuePortfolio_1QRank","2016-07-25_to_2019-07-26_ValuePortfolio_1QRank","2016-08-25_to_2019-08-26_ValuePortfolio_1QRank","2016-09-26_to_2019-09-26_ValuePortfolio_1QRank","2016-10-25_to_2019-10-26_ValuePortfolio_1QRank","2016-11-25_to_2019-11-26_ValuePortfolio_1QRank","2016-12-27_to_2019-12-26_ValuePortfolio_1QRank","2017-01-25_to_2020-01-26_ValuePortfolio_1QRank","2017-02-27_to_2020-02-26_ValuePortfolio_1QRank","2017-03-27_to_2020-03-26_ValuePortfolio_1QRank","2017-04-25_to_2020-04-26_ValuePortfolio_1QRank","2017-05-25_to_2020-05-26_ValuePortfolio_1QRank","2017-06-26_to_2020-06-26_ValuePortfolio_1QRank","2017-07-25_to_2020-07-26_ValuePortfolio_1QRank","2017-08-25_to_2020-08-26_ValuePortfolio_1QRank","2017-09-25_to_2020-09-26_ValuePortfolio_1QRank","2017-10-25_to_2020-10-26_ValuePortfolio_1QRank","2017-11-27_to_2020-11-26_ValuePortfolio_1QRank","2017-12-26_to_2020-12-26_ValuePortfolio_1QRank","2018-01-25_to_2021-01-26_ValuePortfolio_1QRank","2018-02-26_to_2021-02-26_ValuePortfolio_1QRank","2018-03-26_to_2021-03-26_ValuePortfolio_1QRank","2018-04-25_to_2021-04-26_ValuePortfolio_1QRank","2018-05-25_to_2021-05-26_ValuePortfolio_1QRank","2018-06-25_to_2021-06-26_ValuePortfolio_1QRank","2018-07-25_to_2021-07-26_ValuePortfolio_1QRank","2018-08-27_to_2021-08-26_ValuePortfolio_1QRank","2018-09-25_to_2021-09-26_ValuePortfolio_1QRank","2018-10-25_to_2021-10-26_ValuePortfolio_1QRank","2018-11-26_to_2021-11-26_ValuePortfolio_1QRank"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.1","-0.04","0.26","0.31","0.27","0.24","0.29","0.12","0.12","0.08","0.08","0.24","0.46","0.36","0.77","0.8","0.18","-0.45","-0.72","0","0.81","0.75","0.59","-0.5","-0.1","-0.23","-0.3","-0.06","0.02","0.05","-0.35","0.08","-0.18","-0.23","-0.71","0.29","0.49","0.43","-0.22"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.39","1.27","1.11","1.11","1.31","1.43","1.35","1.05","0.83","1.28","1.26","1.14","0.91","0.85","0.74","0.88","0.78","1.04","1.16","1.16","1.29","1.3","1.18","1.15","1.04","1.08","1.13","1.06","0.87","0.87","1.07","1.17","1.16","1.2","1.29","1.31","1.26","1.33","1.41"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","74.78","75.48","78.2","70.29","67.42","77.69","85.71","91.57","84.59","86.44","83.53","85.98","75.47","66.77","55.49","60.01","83.4","84.62","81.51","60.66","58.37","62.8","61.1","92.78","93.37","91.73","92.56","94.17","85.8","86.17","89.96","94.52","93.82","91.87","86.15","85.06","83.58","84.67","91.74"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-23.7399","-23.3583","-15.1836","-23.3123","-27.9492","-29.6452","-26.4819","-21.0843","-16.1311","-25.6107","-25.7328","-22.5284","-18.8046","-16.3801","-14.7054","-18.1341","-16.5538","-21.169","-45.6938","-44.1324","-46.1906","-45.4141","-42.6699","-38.3974","-34.8478","-36.9318","-39.3371","-37.4425","-37.6724","-37.872","-39.4281","-37.0024","-38.1353","-41.0984","-45.4898","-43.0941","-40.8091","-42.6396","-42.626"
"B Max Drawdown","-13.3051","-13.3051","-13.0099","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-10.4348","-10.0532","-2.1737","-3.5341","-8.171","-9.867","-6.7037","-1.3061","3.6471","-5.8325","-5.9546","-2.7502","0.973599999999998","3.3981","5.0728","1.6441","3.2244","-1.3908","-11.7688","-10.2074","-12.2656","-11.4891","-8.7449","-4.4724","-0.922800000000002","-3.00680000000001","-5.4121","-3.51750000000001","-3.74740000000001","-3.947","-5.5031","-3.0774","-4.2103","-7.1734","-11.5648","-9.1691","-6.8841","-8.7146","-8.701"
