"","2015-09-25_to_2017-09-26_VGPortfolio_1QRank","2015-10-26_to_2017-10-26_VGPortfolio_1QRank","2015-11-25_to_2017-11-26_VGPortfolio_1QRank","2015-12-28_to_2017-12-26_VGPortfolio_1QRank","2016-01-25_to_2018-01-26_VGPortfolio_1QRank","2016-02-25_to_2018-02-26_VGPortfolio_1QRank","2016-03-28_to_2018-03-26_VGPortfolio_1QRank","2016-04-25_to_2018-04-26_VGPortfolio_1QRank","2016-05-25_to_2018-05-26_VGPortfolio_1QRank","2016-06-27_to_2018-06-26_VGPortfolio_1QRank","2016-07-25_to_2018-07-26_VGPortfolio_1QRank","2016-08-25_to_2018-08-26_VGPortfolio_1QRank","2016-09-26_to_2018-09-26_VGPortfolio_1QRank","2016-10-25_to_2018-10-26_VGPortfolio_1QRank","2016-11-25_to_2018-11-26_VGPortfolio_1QRank","2016-12-27_to_2018-12-26_VGPortfolio_1QRank","2017-01-25_to_2019-01-26_VGPortfolio_1QRank","2017-02-27_to_2019-02-26_VGPortfolio_1QRank","2017-03-27_to_2019-03-26_VGPortfolio_1QRank","2017-04-25_to_2019-04-26_VGPortfolio_1QRank","2017-05-25_to_2019-05-26_VGPortfolio_1QRank","2017-06-26_to_2019-06-26_VGPortfolio_1QRank","2017-07-25_to_2019-07-26_VGPortfolio_1QRank","2017-08-25_to_2019-08-26_VGPortfolio_1QRank","2017-09-25_to_2019-09-26_VGPortfolio_1QRank","2017-10-25_to_2019-10-26_VGPortfolio_1QRank","2017-11-27_to_2019-11-26_VGPortfolio_1QRank","2017-12-26_to_2019-12-26_VGPortfolio_1QRank","2018-01-25_to_2020-01-26_VGPortfolio_1QRank","2018-02-26_to_2020-02-26_VGPortfolio_1QRank","2018-03-26_to_2020-03-26_VGPortfolio_1QRank","2018-04-25_to_2020-04-26_VGPortfolio_1QRank","2018-05-25_to_2020-05-26_VGPortfolio_1QRank","2018-06-25_to_2020-06-26_VGPortfolio_1QRank","2018-07-25_to_2020-07-26_VGPortfolio_1QRank","2018-08-27_to_2020-08-26_VGPortfolio_1QRank","2018-09-25_to_2020-09-26_VGPortfolio_1QRank","2018-10-25_to_2020-10-26_VGPortfolio_1QRank","2018-11-26_to_2020-11-26_VGPortfolio_1QRank","2018-12-26_to_2020-12-26_VGPortfolio_1QRank","2019-01-25_to_2021-01-26_VGPortfolio_1QRank","2019-02-25_to_2021-02-26_VGPortfolio_1QRank","2019-03-25_to_2021-03-26_VGPortfolio_1QRank","2019-04-25_to_2021-04-26_VGPortfolio_1QRank","2019-05-28_to_2021-05-26_VGPortfolio_1QRank","2019-06-25_to_2021-06-26_VGPortfolio_1QRank","2019-07-25_to_2021-07-26_VGPortfolio_1QRank","2019-08-26_to_2021-08-26_VGPortfolio_1QRank","2019-09-25_to_2021-09-26_VGPortfolio_1QRank","2019-10-25_to_2021-10-26_VGPortfolio_1QRank","2019-11-25_to_2021-11-26_VGPortfolio_1QRank"
"P Alpha Stat","0.24","0.15","0.15","0.33","0.28","0.1","0.22","0.33","0.34","0.49","0.53","0.48","0.47","0.37","0.12","0.13","-0.05","0.08","0.19","0.12","0.17","0.29","0.44","0.44","0.19","0.36","-0.05","0.08","0.29","-0.04","0.21","-0.04","-0.22","-0.25","-0.3","0.05","0.14","0.16","0.16","-0.14","0.19","0.31","0.55","0.39","0.25","0.26","0.16","0.27","0.29","0.43","0.45"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.12","1.28","1.29","1.26","1.27","1.14","1.06","1.04","1.02","1.07","1","0.97","1","0.97","1.04","1.01","1.04","1.1","1.19","1.2","1.19","1.13","1.11","1.11","1.11","1.05","1.09","1.04","0.99","0.96","0.97","1.11","1.2","1.25","1.26","1.2","1.21","1.1","1.16","1.2","1.21","1.21","1.2","1.2","1.21","1.3","1.34","1.35","1.18","1.22","1.14"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","89.93","94.87","94.03","90.67","78.53","80.47","79.62","84.15","82.03","86.69","84.22","74.52","80.92","74.11","87.77","82.37","91.69","95.22","92.63","92.05","90.24","89.18","90.95","90.44","91.54","89.62","94.95","93.05","90.04","93.07","92.15","94.78","96.56","96.15","95.6","95.89","96.35","94.5","94.33","92.98","93.56","94.82","95.05","94.88","93.56","91.16","91.59","91.55","91.63","91.75","92.4"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-16.2286","-17.0224","-16.24","-14.5056","-7.5103","-9.484","-9.3541","-10.4106","-10.0033","-10.248","-9.97","-10.231","-10.1215","-13.0668","-12.5222","-22.6102","-20.8328","-21.7487","-23.0565","-23.2702","-23.5288","-22.9013","-22.1389","-22.2167","-22.4577","-21.2489","-22.2015","-20.5979","-19.5864","-19.1057","-36.9274","-37.5043","-38.463","-40.218","-40.8203","-38.4215","-38.4948","-38.7474","-39.3514","-40.6758","-39.0681","-37.9691","-37.6586","-37.817","-39.2968","-39.9537","-40.6933","-41.0569","-38.266","-39.5097","-38.548"
"B Max Drawdown","-13.3051","-13.3051","-13.0099","-11.9941","-5.7292","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-2.9235","-3.7173","-3.2301","-2.5115","-1.7811","0.6755","0.805399999999999","-0.251100000000001","0.1562","-0.0884999999999998","0.189499999999999","-0.0715000000000003","0.0380000000000003","-2.9073","-2.3477","-2.832","-1.0546","-1.9705","-3.2783","-3.492","-3.7506","-3.1231","-2.3607","-2.4385","-2.6795","-1.4707","-2.4233","-0.819700000000001","0.191799999999997","0.672499999999999","-3.0024","-3.5793","-4.538","-6.29300000000001","-6.89530000000001","-4.4965","-4.5698","-4.8224","-5.4264","-6.75080000000001","-5.1431","-4.0441","-3.7336","-3.892","-5.3718","-6.0287","-6.7683","-7.1319","-4.341","-5.58470000000001","-4.623"
