"","1 Y 2016-06-27 to 2017-06-28","1 Y 2016-07-27 to 2017-07-28","1 Y 2016-08-29 to 2017-08-28","1 Y 2016-09-27 to 2017-09-28","1 Y 2016-10-27 to 2017-10-28","1 Y 2016-11-28 to 2017-11-28","1 Y 2016-12-27 to 2017-12-28","1 Y 2017-01-27 to 2018-01-28","1 Y 2017-02-27 to 2018-02-28","1 Y 2017-03-27 to 2018-03-28","1 Y 2017-04-27 to 2018-04-28","1 Y 2017-05-30 to 2018-05-28","1 Y 2017-06-27 to 2018-06-28","1 Y 2017-07-27 to 2018-07-28","1 Y 2017-08-28 to 2018-08-28","1 Y 2017-09-27 to 2018-09-28","1 Y 2017-10-27 to 2018-10-28","1 Y 2017-11-27 to 2018-11-28","1 Y 2017-12-27 to 2018-12-28","1 Y 2018-01-29 to 2019-01-28","1 Y 2018-02-27 to 2019-02-28","1 Y 2018-03-27 to 2019-03-28","1 Y 2018-04-27 to 2019-04-28","1 Y 2018-05-29 to 2019-05-28","1 Y 2018-06-27 to 2019-06-28","1 Y 2018-07-27 to 2019-07-28","1 Y 2018-08-27 to 2019-08-28","1 Y 2018-09-27 to 2019-09-28","1 Y 2018-10-29 to 2019-10-28","1 Y 2018-11-27 to 2019-11-28","1 Y 2018-12-27 to 2019-12-28","1 Y 2019-01-28 to 2020-01-28","1 Y 2019-02-27 to 2020-02-28","1 Y 2019-03-27 to 2020-03-28","1 Y 2019-04-29 to 2020-04-28","1 Y 2019-05-28 to 2020-05-28","1 Y 2019-06-27 to 2020-06-28","1 Y 2019-07-29 to 2020-07-28","1 Y 2019-08-27 to 2020-08-28","1 Y 2019-09-27 to 2020-09-28","1 Y 2019-10-28 to 2020-10-28","1 Y 2019-11-27 to 2020-11-28","1 Y 2019-12-27 to 2020-12-28","1 Y 2020-01-27 to 2021-01-28","1 Y 2020-02-27 to 2021-02-28","1 Y 2020-03-27 to 2021-03-28","1 Y 2020-04-27 to 2021-04-28","1 Y 2020-05-27 to 2021-05-28","1 Y 2020-06-29 to 2021-06-28","1 Y 2020-07-27 to 2021-07-28","1 Y 2020-08-27 to 2021-08-28","1 Y 2020-09-28 to 2021-09-28","1 Y 2020-10-27 to 2021-10-28","1 Y 2020-11-27 to 2021-11-28"
"P Information Ratio","1.44","0.19","0.45","0.98","1.03","1.15","1.48","0.92","0.13","1.15","0.42","0.19","0.52","0.34","0.27","0.3","-0.53","-0.05","-0.27","0.68","0.66","-0.76","-0.36","-0.18","0.34","0.36","0.44","1.28","0.65","-0.24","-0.16","-0.61","-1.49","-2.53","-1.14","-1.54","-1.54","-1.44","-1.65","-1.51","-1.36","-1.02","-0.51","-0.9","-0.06","1.49","1.56","1.04","0.92","0.46","1.24","1.02","-0.15","-0.79"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.03","0.03","-0.05","-0.09","-0.15","0","0.21","0.19","0.34","0.12","0.3","0.22","0.26","0.23","0.3","0.43","0.2","-0.19","-0.06","0.03","0.06","-0.1","-0.03","-0.06","0.08","0.08","0.14","0.2","0.21","0.06","0.05","0.07","-0.19","-0.15","-0.44","-0.74","-0.63","-0.73","-0.64","-0.98","-0.68","-0.58","-0.24","-0.46","-0.32","0.86","1.04","0.83","1.11","0.76","0.77","0.38","-0.21","-0.21"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.13","1.08","1.11","1.12","1.18","1.07","1.01","1.01","0.83","0.93","0.82","0.83","0.84","0.85","0.82","0.75","0.71","0.87","0.9","1","0.99","1.03","1.05","1.07","1.02","1.02","1.04","1.01","1.03","1.01","1.01","0.95","0.97","0.98","1.11","1.11","1.12","1.13","1.16","1.13","1.07","1.01","1.08","1.04","1.06","0.87","0.9","0.84","0.84","0.86","0.93","1.01","1.09","0.98"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","91.34","90.3","89.72","89.69","83.09","86.78","90.07","74.23","82.39","91.96","84.3","85.54","91.66","90.83","87.51","86.04","85.98","94.66","91.75","96.49","97.02","97.51","97.25","98.22","97.45","97.7","98.54","98.57","99.01","97.86","96.61","96.41","96.6","98.77","96.1","98.01","97.07","97.25","97.76","97.26","96.67","93.55","95.01","94.34","93.4","88.86","83.16","79.92","83.9","76.65","80.76","80.09","86.93","76.39"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-4.8763","-5.0277","-4.6861","-4.0212","-3.0286","-2.8897","-2.2737","-2.2836","-9.702","-9.6373","-9.5333","-9.5574","-9.5088","-9.5654","-9.409","-9.3839","-10.2795","-10.625","-18.8677","-19.4217","-18.9156","-19.1471","-19.1648","-19.8332","-18.9118","-18.9472","-19.2734","-17.948","-15.452","-15.4704","-6.1859","-5.9856","-12.8765","-37.1541","-38.3367","-38.1402","-38.6335","-38.5918","-38.3204","-38.2429","-37.8838","-37.5616","-37.7235","-38.0569","-32.662","-10.8688","-10.7341","-11.0472","-6.8523","-7.0142","-6.8952","-6.4652","-5.6696","-5.3409"
"B Max Drawdown","-4.7927","-4.7928","-4.633","-3.9694","-2.7968","-2.7968","-2.7968","-2.7968","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7424","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125"
"MD DIFF(P-B)","-0.0835999999999997","-0.234900000000001","-0.0530999999999997","-0.0518000000000005","-0.2318","-0.0928999999999998","0.5231","0.5132","0.4575","0.5222","0.626199999999999","0.6021","0.650699999999999","0.594099999999999","0.750499999999999","0.775599999999999","-0.120000000000001","-0.4505","0.910499999999999","0.356499999999997","0.862599999999997","0.6311","0.613399999999999","-0.0550000000000033","0.866399999999999","0.831","0.504799999999999","1.6865","0.9946","0.272","0.6502","0.8505","-0.120699999999999","-3.2291","-4.4117","-4.2152","-4.7085","-4.6668","-4.3954","-4.3179","-3.9588","-3.6366","-3.7985","-4.1319","-4.1417","-1.2643","-1.1296","-1.4427","2.7522","2.5903","2.7093","1.012","-0.4571","-0.1284"
