"","1 Y 2017-08-15 to 2018-08-16","1 Y 2017-09-15 to 2018-09-16","1 Y 2017-10-16 to 2018-10-16","1 Y 2017-11-15 to 2018-11-16","1 Y 2017-12-15 to 2018-12-16","1 Y 2018-01-15 to 2019-01-16","1 Y 2018-02-15 to 2019-02-16","1 Y 2018-03-15 to 2019-03-16","1 Y 2018-04-16 to 2019-04-16","1 Y 2018-05-15 to 2019-05-16","1 Y 2018-06-15 to 2019-06-16","1 Y 2018-07-16 to 2019-07-16","1 Y 2018-08-15 to 2019-08-16","1 Y 2018-09-17 to 2019-09-16","1 Y 2018-10-15 to 2019-10-16","1 Y 2018-11-15 to 2019-11-16","1 Y 2018-12-17 to 2019-12-16","1 Y 2019-01-15 to 2020-01-16","1 Y 2019-02-15 to 2020-02-16","1 Y 2019-03-15 to 2020-03-16","1 Y 2019-04-15 to 2020-04-16","1 Y 2019-05-15 to 2020-05-16","1 Y 2019-06-17 to 2020-06-16","1 Y 2019-07-15 to 2020-07-16","1 Y 2019-08-15 to 2020-08-16","1 Y 2019-09-16 to 2020-09-16","1 Y 2019-10-15 to 2020-10-16","1 Y 2019-11-15 to 2020-11-16","1 Y 2019-12-16 to 2020-12-16","1 Y 2020-01-15 to 2021-01-16","1 Y 2020-02-17 to 2021-02-16","1 Y 2020-03-16 to 2021-03-16","1 Y 2020-04-15 to 2021-04-16","1 Y 2020-05-15 to 2021-05-16","1 Y 2020-06-15 to 2021-06-16","1 Y 2020-07-15 to 2021-07-16","1 Y 2020-08-17 to 2021-08-16","1 Y 2020-09-15 to 2021-09-16"
"P Information Ratio","2.36","1.25","0.92","0.42","0.32","0.89","0.89","1.02","0.54","-0.41","-0.62","-0.57","-0.33","0.34","0.59","-0.37","-1.2","-0.63","-1.32","-1.8","-0.61","-0.58","-0.26","-0.73","-0.88","-0.29","-0.53","0.52","0.31","0.9","1.88","4.46","3.37","3.65","1.82","1.88","1.23","1.64"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.81","0.59","0.62","0.08","0.12","0.33","0.38","0.31","0.13","-0.36","-0.32","-0.26","-0.12","0.22","0.14","-0.19","-0.58","-0.42","-0.64","-0.2","-0.04","-0.34","-0.32","-0.66","-1.15","-0.5","-0.76","0.19","-0.05","0.17","-0.04","1.76","1.75","1.86","1.66","1.63","1.13","0.89"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.88","0.8","0.85","1.02","0.95","1.05","1.02","1.11","1.16","1.21","1.22","1.24","1.19","1.11","1.17","1.15","1.17","1.12","1.23","1.08","1.23","1.19","1.3","1.31","1.38","1.22","1.27","1.18","1.3","1.25","1.26","1.17","1.06","1.02","0.95","0.89","1.11","1.19"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","83.88","79.57","77.03","88.41","85.83","90.69","92.31","94.8","96.32","96.36","97.52","98.18","97.87","98.74","98.13","98.55","97.17","96.69","98.43","96.22","96.72","98.19","97.18","96.67","96.73","98.55","96.74","94.98","95.24","95.15","96.09","76.07","58.63","57.95","59.72","68.28","60.12","51.61"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-9.8916","-9.7404","-9.6362","-12.0205","-12.6485","-19.2977","-19.4068","-19.7375","-20.9544","-22.569","-23.3206","-23.2378","-22.31","-20.1876","-16.4025","-16.0351","-7.851","-8.0007","-8.965","-33.8584","-38.1192","-38.0959","-39.473","-39.9058","-41.845","-38.527","-40.367","-39.8295","-40.9207","-40.5537","-38.0553","-14.2265","-15.2864","-15.5838","-8.1964","-7.5048","-7.7878","-7.1027"
"B Max Drawdown","-10.1595","-10.1595","-10.1595","-10.1595","-11.2872","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-16.4466","-15.7424","-7.6609","-6.8361","-6.8361","-29.5327","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-11.5369","-9.6045","-9.6044","-9.6044","-9.6045","-9.6045","-7.4772"
"MD DIFF(P-B)","0.267899999999999","0.4191","0.523299999999999","-1.861","-1.3613","0.480499999999999","0.371399999999998","0.0406999999999975","-1.1762","-2.7908","-3.5424","-3.4596","-2.5318","-0.409400000000002","0.0441000000000003","-0.2927","-0.1901","-1.1646","-2.1289","-4.3257","-4.1942","-4.1709","-5.548","-5.9808","-7.92","-4.602","-6.442","-5.90450000000001","-6.9957","-6.6287","-4.13030000000001","-2.6896","-5.6819","-5.9794","1.408","2.0997","1.8167","0.3745"
