"","1 Y 2016-09-27 to 2018-09-28","1 Y 2016-10-27 to 2018-10-28","1 Y 2016-11-28 to 2018-11-28","1 Y 2016-12-27 to 2018-12-28","1 Y 2017-01-27 to 2019-01-28","1 Y 2017-02-27 to 2019-02-28","1 Y 2017-03-27 to 2019-03-28","1 Y 2017-04-27 to 2019-04-28","1 Y 2017-05-30 to 2019-05-28","1 Y 2017-06-27 to 2019-06-28","1 Y 2017-07-27 to 2019-07-28","1 Y 2017-08-28 to 2019-08-28","1 Y 2017-09-27 to 2019-09-28","1 Y 2017-10-27 to 2019-10-28","1 Y 2017-11-27 to 2019-11-28","1 Y 2017-12-27 to 2019-12-28","1 Y 2018-01-29 to 2020-01-28","1 Y 2018-02-27 to 2020-02-28","1 Y 2018-03-27 to 2020-03-28","1 Y 2018-04-27 to 2020-04-28","1 Y 2018-05-29 to 2020-05-28","1 Y 2018-06-27 to 2020-06-28","1 Y 2018-07-27 to 2020-07-28","1 Y 2018-08-27 to 2020-08-28","1 Y 2018-09-27 to 2020-09-28","1 Y 2018-10-29 to 2020-10-28","1 Y 2018-11-27 to 2020-11-28","1 Y 2018-12-27 to 2020-12-28","1 Y 2019-01-28 to 2021-01-28","1 Y 2019-02-27 to 2021-02-28","1 Y 2019-03-27 to 2021-03-28","1 Y 2019-04-29 to 2021-04-28","1 Y 2019-05-28 to 2021-05-28","1 Y 2019-06-27 to 2021-06-28","1 Y 2019-07-29 to 2021-07-28","1 Y 2019-08-27 to 2021-08-28","1 Y 2019-09-27 to 2021-09-28","1 Y 2019-10-28 to 2021-10-28","1 Y 2019-11-27 to 2021-11-28","2 Y 2016-09-27 to 2018-09-28","2 Y 2016-10-27 to 2018-10-28","2 Y 2016-11-28 to 2018-11-28","2 Y 2016-12-27 to 2018-12-28","2 Y 2017-01-27 to 2019-01-28","2 Y 2017-02-27 to 2019-02-28","2 Y 2017-03-27 to 2019-03-28","2 Y 2017-04-27 to 2019-04-28","2 Y 2017-05-30 to 2019-05-28","2 Y 2017-06-27 to 2019-06-28","2 Y 2017-07-27 to 2019-07-28","2 Y 2017-08-28 to 2019-08-28","2 Y 2017-09-27 to 2019-09-28","2 Y 2017-10-27 to 2019-10-28","2 Y 2017-11-27 to 2019-11-28","2 Y 2017-12-27 to 2019-12-28","2 Y 2018-01-29 to 2020-01-28","2 Y 2018-02-27 to 2020-02-28","2 Y 2018-03-27 to 2020-03-28","2 Y 2018-04-27 to 2020-04-28","2 Y 2018-05-29 to 2020-05-28","2 Y 2018-06-27 to 2020-06-28","2 Y 2018-07-27 to 2020-07-28","2 Y 2018-08-27 to 2020-08-28","2 Y 2018-09-27 to 2020-09-28","2 Y 2018-10-29 to 2020-10-28","2 Y 2018-11-27 to 2020-11-28","2 Y 2018-12-27 to 2020-12-28","2 Y 2019-01-28 to 2021-01-28","2 Y 2019-02-27 to 2021-02-28","2 Y 2019-03-27 to 2021-03-28","2 Y 2019-04-29 to 2021-04-28","2 Y 2019-05-28 to 2021-05-28","2 Y 2019-06-27 to 2021-06-28","2 Y 2019-07-29 to 2021-07-28","2 Y 2019-08-27 to 2021-08-28","2 Y 2019-09-27 to 2021-09-28","2 Y 2019-10-28 to 2021-10-28","2 Y 2019-11-27 to 2021-11-28"
"P Information Ratio","0.61","-0.18","0.37","-0.02","0.39","0.61","0.36","-0.05","0.18","0.03","0.43","0.78","0.05","0.39","-0.05","0.48","0.8","0.2","-1.29","-0.25","-0.09","-0.49","-0.12","-0.28","0.18","0.04","0.47","0.75","0.87","1.13","1.8","2.52","2.41","2.5","2","2.05","1.49","2.11","0.68","0.6","0.49","0.73","0.55","0.5","0.66","0.69","0.34","0.78","0.77","0.8","1.05","0.23","0.55","0.08","0.17","0.83","0.61","-0.58","-0.18","-0.23","-0.44","-0.15","-0.07","0.18","0.05","0.12","0.59","0.46","0.32","0.33","0.52","0.59","0.42","0.36","0.46","0.5","0.34","0.34"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.66","0.7","0.21","0.26","0.01","0.32","0.05","0.02","-0.23","-0.19","0.26","0.31","0.25","-0.21","-0.25","0.04","0.16","-0.32","-0.07","-0.44","-0.48","-0.19","-0.1","-0.2","-0.21","0.06","0.12","0.4","0.81","-0.23","1.42","1.21","0.85","1.06","1.07","0.83","0.24","0.89","1.37","0.34","0.64","0.3","0.36","0.03","0.11","0.31","0.12","0.23","0.22","0.3","0.34","0.14","0.14","0.02","0.12","0.23","0.11","-0.02","-0.35","-0.34","-0.17","-0.1","0","-0.06","-0.06","-0.12","-0.09","-0.02","-0.25","-0.11","0.22","-0.04","-0.11","0.01","-0.24","-0.04","-0.1","-0.13"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.73","0.75","0.9","0.9","1.03","1.11","1.2","1.18","1.18","1.15","1.24","1.25","1.19","1.24","1.22","1.15","0.98","0.96","0.83","1.24","1.27","1.34","1.37","1.31","1.3","1.29","1.29","1.33","1.32","1.45","1.21","1.24","1.11","1.11","1.09","1.16","1.26","1.05","0.61","0.94","0.85","0.93","0.93","1.04","1.1","1.09","1.07","1.08","1.08","1.13","1.13","1.08","1.1","1.1","1.05","1.02","1.03","1.01","1.18","1.2","1.25","1.28","1.23","1.22","1.26","1.26","1.32","1.29","1.32","1.35","1.32","1.34","1.36","1.36","1.38","1.33","1.28","1.3"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","59.41","58.39","73.55","74.14","83.81","88.42","94.51","93.56","92.58","93.63","95.5","95.85","95.69","91.42","92.15","86.49","76.48","74.28","82.14","86.12","91.64","88.79","89.09","88.15","89.35","86.78","87.17","89.03","91.06","91.85","79.94","77.96","71.56","73.69","72.92","64.96","64.37","62.63","40.46","62.23","61.02","74.4","74.62","86.6","89","88.65","87.14","84.46","86.92","87.59","87.52","88.29","86.34","88.02","88.42","87.29","84.21","89.01","89.1","92.25","90.03","90.26","89.8","90.07","88.58","88.78","88.71","88.44","88.12","86.53","89.51","86.65","86.79","87.05","85.39","85.98","84.73","83.72"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-10.1027","-12.1081","-12.5022","-19.7891","-19.9673","-20.4017","-19.6269","-19.5041","-20.048","-19.8406","-20.2023","-20.4141","-18.7616","-15.6937","-13.72","-6.5354","-5.9644","-12.8308","-36.3981","-36.5536","-35.9433","-36.4477","-36.9305","-36.2769","-36.455","-37.1258","-36.7524","-37.3196","-36.593","-31.4539","-8.7102","-8.0546","-8.2828","-8.031","-7.8916","-7.8813","-6.1674","-5.02","-5.0117","-10.1027","-12.1081","-12.5022","-19.7891","-19.9673","-20.4017","-19.6269","-19.5041","-20.048","-19.8406","-20.2023","-20.4141","-19.3195","-19.7685","-19.9786","-18.8814","-18.1964","-18.9859","-36.3981","-36.5536","-35.9433","-36.4477","-36.9305","-36.2769","-36.455","-37.1258","-36.7524","-37.3196","-36.593","-37.23","-38.2199","-36.638","-37.7604","-38.2826","-37.8674","-38.6892","-37.3232","-37.3703","-38.385"
"B Max Drawdown","-9.5506","-9.5506","-9.878","-15.8093","-16.4757","-16.4756","-16.4757","-16.4756","-16.4757","-16.4756","-16.4757","-16.4756","-16.326","-13.0069","-12.2737","-6.8361","-6.8361","-12.0311","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6044","-9.6045","-9.6045","-7.4469","-5.2125","-5.2125","-9.5506","-9.5506","-9.878","-15.8093","-16.4757","-16.4756","-16.4757","-16.4756","-16.4757","-16.4756","-16.4757","-16.4756","-16.4757","-16.4757","-16.4757","-16.4756","-16.4756","-16.4757","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-0.552100000000001","-2.5575","-2.6242","-3.9798","-3.4916","-3.9261","-3.1512","-3.0285","-3.5723","-3.365","-3.7266","-3.9385","-2.4356","-2.6868","-1.4463","0.3007","0.8717","-0.7997","-2.4731","-2.62860000000001","-2.0183","-2.5227","-3.0055","-2.3519","-2.53","-3.2008","-2.8274","-3.3946","-2.66800000000001","-2.9336","0.894299999999999","1.5499","1.3217","1.5734","1.7129","1.7232","1.2795","0.192500000000001","0.2008","-0.552100000000001","-2.5575","-2.6242","-3.9798","-3.4916","-3.9261","-3.1512","-3.0285","-3.5723","-3.365","-3.7266","-3.9385","-2.8438","-3.2928","-3.5029","-2.4058","-1.7208","-2.5102","-2.4731","-2.62860000000001","-2.0183","-2.5227","-3.0055","-2.3519","-2.53","-3.2008","-2.8274","-3.3946","-2.66800000000001","-3.305","-4.29490000000001","-2.713","-3.8354","-4.35760000000001","-3.94240000000001","-4.7642","-3.3982","-3.4453","-4.46"
