"","1 Y 2016-03-28 to 2019-03-29","1 Y 2016-04-28 to 2019-04-29","1 Y 2016-05-31 to 2019-05-29","1 Y 2016-06-28 to 2019-06-29","1 Y 2016-07-28 to 2019-07-29","1 Y 2016-08-29 to 2019-08-29","1 Y 2016-09-28 to 2019-09-29","1 Y 2016-10-28 to 2019-10-29","1 Y 2016-11-28 to 2019-11-29","1 Y 2016-12-28 to 2019-12-29","1 Y 2017-01-30 to 2020-01-29","1 Y 2017-02-28 to 2020-02-29","1 Y 2017-03-28 to 2020-03-29","1 Y 2017-04-28 to 2020-04-29","1 Y 2017-05-30 to 2020-05-29","1 Y 2017-06-28 to 2020-06-29","1 Y 2017-07-28 to 2020-07-29","1 Y 2017-08-28 to 2020-08-29","1 Y 2017-09-28 to 2020-09-29","1 Y 2017-10-30 to 2020-10-29","1 Y 2017-11-28 to 2020-11-29","1 Y 2017-12-28 to 2020-12-29","1 Y 2018-01-29 to 2021-01-29","1 Y 2018-02-28 to 2021-03-01","1 Y 2018-03-28 to 2021-03-29","1 Y 2018-04-30 to 2021-04-29","1 Y 2018-05-29 to 2021-05-29","1 Y 2018-06-28 to 2021-06-29","1 Y 2018-07-30 to 2021-07-29","1 Y 2018-08-28 to 2021-08-29","1 Y 2018-09-28 to 2021-09-29","1 Y 2018-10-29 to 2021-10-29","1 Y 2018-11-28 to 2021-11-29","2 Y 2016-03-28 to 2019-03-29","2 Y 2016-04-28 to 2019-04-29","2 Y 2016-05-31 to 2019-05-29","2 Y 2016-06-28 to 2019-06-29","2 Y 2016-07-28 to 2019-07-29","2 Y 2016-08-29 to 2019-08-29","2 Y 2016-09-28 to 2019-09-29","2 Y 2016-10-28 to 2019-10-29","2 Y 2016-11-28 to 2019-11-29","2 Y 2016-12-28 to 2019-12-29","2 Y 2017-01-30 to 2020-01-29","2 Y 2017-02-28 to 2020-02-29","2 Y 2017-03-28 to 2020-03-29","2 Y 2017-04-28 to 2020-04-29","2 Y 2017-05-30 to 2020-05-29","2 Y 2017-06-28 to 2020-06-29","2 Y 2017-07-28 to 2020-07-29","2 Y 2017-08-28 to 2020-08-29","2 Y 2017-09-28 to 2020-09-29","2 Y 2017-10-30 to 2020-10-29","2 Y 2017-11-28 to 2020-11-29","2 Y 2017-12-28 to 2020-12-29","2 Y 2018-01-29 to 2021-01-29","2 Y 2018-02-28 to 2021-03-01","2 Y 2018-03-28 to 2021-03-29","2 Y 2018-04-30 to 2021-04-29","2 Y 2018-05-29 to 2021-05-29","2 Y 2018-06-28 to 2021-06-29","2 Y 2018-07-30 to 2021-07-29","2 Y 2018-08-28 to 2021-08-29","2 Y 2018-09-28 to 2021-09-29","2 Y 2018-10-29 to 2021-10-29","2 Y 2018-11-28 to 2021-11-29","3 Y 2016-03-28 to 2019-03-29","3 Y 2016-04-28 to 2019-04-29","3 Y 2016-05-31 to 2019-05-29","3 Y 2016-06-28 to 2019-06-29","3 Y 2016-07-28 to 2019-07-29","3 Y 2016-08-29 to 2019-08-29","3 Y 2016-09-28 to 2019-09-29","3 Y 2016-10-28 to 2019-10-29","3 Y 2016-11-28 to 2019-11-29","3 Y 2016-12-28 to 2019-12-29","3 Y 2017-01-30 to 2020-01-29","3 Y 2017-02-28 to 2020-02-29","3 Y 2017-03-28 to 2020-03-29","3 Y 2017-04-28 to 2020-04-29","3 Y 2017-05-30 to 2020-05-29","3 Y 2017-06-28 to 2020-06-29","3 Y 2017-07-28 to 2020-07-29","3 Y 2017-08-28 to 2020-08-29","3 Y 2017-09-28 to 2020-09-29","3 Y 2017-10-30 to 2020-10-29","3 Y 2017-11-28 to 2020-11-29","3 Y 2017-12-28 to 2020-12-29","3 Y 2018-01-29 to 2021-01-29","3 Y 2018-02-28 to 2021-03-01","3 Y 2018-03-28 to 2021-03-29","3 Y 2018-04-30 to 2021-04-29","3 Y 2018-05-29 to 2021-05-29","3 Y 2018-06-28 to 2021-06-29","3 Y 2018-07-30 to 2021-07-29","3 Y 2018-08-28 to 2021-08-29","3 Y 2018-09-28 to 2021-09-29","3 Y 2018-10-29 to 2021-10-29","3 Y 2018-11-28 to 2021-11-29"
"P Information Ratio","-0.4","-0.15","-1.01","-0.93","-0.56","-1.38","0","1.39","0.57","0.97","0.74","1.84","0.69","1.14","1.15","0.45","0.66","0.45","-1.69","-1.54","-1.33","-1.49","-1.66","-2.59","2.2","1.76","0.51","1.19","1.56","0.75","1.22","0.75","0.18","0.21","0.49","0.19","-0.03","0.16","-0.9","0.15","1.13","0.58","0.68","0.57","1.33","0.71","0.84","0.8","0.24","0.53","0.53","-1.65","-1.91","-1.61","-1.45","-1.59","-1.64","-0.2","-0.33","-1.11","-0.93","-0.09","-0.47","0.13","-0.12","-0.06","0.71","0.7","0.4","0.58","0.42","-0.32","0.44","0.62","0.28","0.55","0.04","0.52","0.31","0.41","0.69","0.32","0.53","0.61","-1.16","-0.89","-0.86","-0.93","-0.58","-0.84","-0.12","-0.47","-0.56","-0.85","-0.19","-0.48","0.08","-0.05","-0.12"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.13","-0.3","-0.6","-0.92","-0.52","-0.74","0.44","1","0.69","1.4","0.89","0.69","2.17","1.32","2.13","1.58","0.6","0.51","-2.01","-1.19","-1.32","-0.95","-1.06","0","0.57","0.42","0.13","1.31","0.98","0.99","0.48","0.03","0.4","0.09","0.09","0.07","-0.27","-0.07","-0.47","0.15","0.7","0.56","0.6","0.32","0.32","1.36","0.71","1.22","0.91","0.67","0.68","-1.54","-1.15","-1.21","-0.81","-0.72","-0.66","-0.21","-0.21","-0.63","-0.57","-0.24","-0.35","-0.39","-0.44","-0.37","0.32","0.17","0.11","0.07","0.06","-0.27","0.21","0.39","0.39","0.5","0.08","0.04","0.82","0.36","0.83","0.74","0.56","0.59","-0.95","-0.57","-0.7","-0.48","-0.29","-0.36","-0.12","-0.24","-0.25","-0.51","-0.22","-0.29","-0.36","-0.41","-0.47"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.44","1.32","1.26","1.35","1.39","1.32","1.27","0.91","0.83","0.65","0.66","0.71","0.14","0.98","1.32","1.42","1.36","1.52","1.31","1.19","1.24","1.17","1.04","0.79","1.05","1.11","1.02","0.89","1.02","0.83","1.08","1.25","0.87","1.3","1.21","1.16","1.28","1.29","1.25","1.19","0.89","0.78","0.77","0.88","0.93","0.51","0.96","1.16","1.22","1.21","1.38","1.27","1.18","1.22","1.14","0.97","0.91","1.1","1.12","1.05","1.16","1.21","1.09","1.28","1.35","1.23","1.35","1.24","1.19","1.3","1.29","1.26","1.2","0.89","0.78","0.77","0.85","0.93","0.51","0.92","1.13","1.18","1.16","1.31","1.2","1.13","1.18","1.09","0.95","0.91","1.09","1.08","0.99","1.14","1.17","1.1","1.29","1.39","1.31"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","94.59","90.58","92.44","93.36","94.97","95.44","88.92","73.02","56.48","32.49","39.91","57.42","-6.8","42.56","47.88","54.67","53.52","58.43","93.84","93.31","94.19","96.89","95.39","90.19","91.04","93.34","88.24","77.49","82.89","62.16","62.97","64.74","37.66","86","86.49","87.21","89.52","89.1","93.61","86.89","74.46","59.75","60.7","73.29","81.55","33.24","56.48","52.75","57.69","59.25","65.35","94.51","93.87","94.27","95.1","91.8","89.57","92.2","93.58","91.2","87.23","91.14","85.17","89.88","84.71","83.38","74.83","80.37","81.16","81.16","81.51","87.95","82.6","72.16","58.96","59.48","69.99","79.33","31.79","54.35","51.1","55.6","56.46","61.85","88.55","88.87","90.86","92.87","88.99","88.07","91.62","92.38","88.31","88.98","91.23","88.81","91.85","87.15","86.23"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-27.0758","-26.272","-25.518","-27.2298","-26.8806","-26.1201","-23.1674","-15.649","-15.545","-8.4008","-6.8958","-12.7737","-39.1851","-41.244","-43.9788","-44.0058","-42.9427","-45.0522","-40.8329","-39.0072","-40.056","-38.1502","-37.9179","-33.2758","-10.9366","-10.7419","-11.0274","-7.8972","-8.0107","-7.4165","-7.551","-9.1859","-8.6325","-27.0758","-26.272","-25.518","-27.2298","-26.8806","-26.1201","-23.9113","-17.6831","-15.545","-15.998","-18.1791","-19.7482","-39.1851","-41.244","-43.9788","-44.0058","-42.9427","-45.0522","-41.6394","-39.0072","-40.056","-38.1502","-37.9179","-37.7269","-38.7178","-38.4996","-38.0456","-41.2536","-41.9944","-40.6578","-41.3523","-45.9075","-42.8429","-27.0758","-26.272","-25.518","-27.2298","-26.8806","-26.1201","-23.9113","-17.6831","-15.545","-15.998","-18.1791","-19.7482","-39.1851","-41.244","-43.9788","-44.0058","-42.9427","-45.0522","-42.2717","-39.2533","-40.4356","-38.1502","-37.9179","-37.7269","-38.7178","-38.4996","-38.0456","-41.2536","-41.9944","-40.6578","-41.3523","-45.9075","-42.8429"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7424","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-7.2976","-6.4938","-5.7398","-7.4516","-7.1024","-6.3419","-3.5329","0.797600000000001","0.1974","-1.5647","-0.0597000000000003","-0.0178999999999991","-5.2601","-7.319","-10.0538","-10.0808","-9.0177","-11.1272","-6.90790000000001","-5.0822","-6.131","-4.2252","-3.99290000000001","-4.7555","-1.3321","-1.1374","-1.4229","1.7073","1.5938","2.188","-0.0738000000000003","-3.9734","-3.42","-7.2976","-6.4938","-5.7398","-7.4516","-7.1024","-6.3419","-4.1331","2.0951","4.2332","3.7802","1.5991","0.0299999999999976","-5.2601","-7.319","-10.0538","-10.0808","-9.0177","-11.1272","-7.7144","-5.0822","-6.131","-4.2252","-3.99290000000001","-3.8019","-4.7928","-4.5746","-4.1206","-7.3286","-8.0694","-6.7328","-7.4273","-11.9825","-8.9179","-7.2976","-6.4938","-5.7398","-7.4516","-7.1024","-6.3419","-4.1331","2.0951","4.2332","3.7802","1.5991","0.0299999999999976","-5.2601","-7.319","-10.0538","-10.0808","-9.0177","-11.1272","-8.34670000000001","-5.32830000000001","-6.5106","-4.2252","-3.99290000000001","-3.8019","-4.7928","-4.5746","-4.1206","-7.3286","-8.0694","-6.7328","-7.4273","-11.9825","-8.9179"
