"","1 Y 2015-12-28 to 2017-12-29","1 Y 2016-01-28 to 2018-01-29","1 Y 2016-02-29 to 2018-03-01","1 Y 2016-03-28 to 2018-03-29","1 Y 2016-04-28 to 2018-04-29","1 Y 2016-05-31 to 2018-05-29","1 Y 2016-06-28 to 2018-06-29","1 Y 2016-07-28 to 2018-07-29","1 Y 2016-08-29 to 2018-08-29","1 Y 2016-09-28 to 2018-09-29","1 Y 2016-10-28 to 2018-10-29","1 Y 2016-11-28 to 2018-11-29","1 Y 2016-12-28 to 2018-12-29","1 Y 2017-01-30 to 2019-01-29","1 Y 2017-02-28 to 2019-03-01","1 Y 2017-03-28 to 2019-03-29","1 Y 2017-04-28 to 2019-04-29","1 Y 2017-05-30 to 2019-05-29","1 Y 2017-06-28 to 2019-06-29","1 Y 2017-07-28 to 2019-07-29","1 Y 2017-08-28 to 2019-08-29","1 Y 2017-09-28 to 2019-09-29","1 Y 2017-10-30 to 2019-10-29","1 Y 2017-11-28 to 2019-11-29","1 Y 2017-12-28 to 2019-12-29","1 Y 2018-01-29 to 2020-01-29","1 Y 2018-02-28 to 2020-02-29","1 Y 2018-03-28 to 2020-03-29","1 Y 2018-04-30 to 2020-04-29","1 Y 2018-05-29 to 2020-05-29","1 Y 2018-06-28 to 2020-06-29","1 Y 2018-07-30 to 2020-07-29","1 Y 2018-08-28 to 2020-08-29","1 Y 2018-09-28 to 2020-09-29","1 Y 2018-10-29 to 2020-10-29","1 Y 2018-11-28 to 2020-11-29","1 Y 2018-12-28 to 2020-12-29","1 Y 2019-01-28 to 2021-01-29","1 Y 2019-02-28 to 2021-03-01","1 Y 2019-03-28 to 2021-03-29","1 Y 2019-04-29 to 2021-04-29","1 Y 2019-05-28 to 2021-05-29","1 Y 2019-06-28 to 2021-06-29","1 Y 2019-07-29 to 2021-07-29","1 Y 2019-08-28 to 2021-08-29","1 Y 2019-09-30 to 2021-09-29","1 Y 2019-10-28 to 2021-10-29","1 Y 2019-11-29 to 2021-11-29","2 Y 2015-12-28 to 2017-12-29","2 Y 2016-01-28 to 2018-01-29","2 Y 2016-02-29 to 2018-03-01","2 Y 2016-03-28 to 2018-03-29","2 Y 2016-04-28 to 2018-04-29","2 Y 2016-05-31 to 2018-05-29","2 Y 2016-06-28 to 2018-06-29","2 Y 2016-07-28 to 2018-07-29","2 Y 2016-08-29 to 2018-08-29","2 Y 2016-09-28 to 2018-09-29","2 Y 2016-10-28 to 2018-10-29","2 Y 2016-11-28 to 2018-11-29","2 Y 2016-12-28 to 2018-12-29","2 Y 2017-01-30 to 2019-01-29","2 Y 2017-02-28 to 2019-03-01","2 Y 2017-03-28 to 2019-03-29","2 Y 2017-04-28 to 2019-04-29","2 Y 2017-05-30 to 2019-05-29","2 Y 2017-06-28 to 2019-06-29","2 Y 2017-07-28 to 2019-07-29","2 Y 2017-08-28 to 2019-08-29","2 Y 2017-09-28 to 2019-09-29","2 Y 2017-10-30 to 2019-10-29","2 Y 2017-11-28 to 2019-11-29","2 Y 2017-12-28 to 2019-12-29","2 Y 2018-01-29 to 2020-01-29","2 Y 2018-02-28 to 2020-02-29","2 Y 2018-03-28 to 2020-03-29","2 Y 2018-04-30 to 2020-04-29","2 Y 2018-05-29 to 2020-05-29","2 Y 2018-06-28 to 2020-06-29","2 Y 2018-07-30 to 2020-07-29","2 Y 2018-08-28 to 2020-08-29","2 Y 2018-09-28 to 2020-09-29","2 Y 2018-10-29 to 2020-10-29","2 Y 2018-11-28 to 2020-11-29","2 Y 2018-12-28 to 2020-12-29","2 Y 2019-01-28 to 2021-01-29","2 Y 2019-02-28 to 2021-03-01","2 Y 2019-03-28 to 2021-03-29","2 Y 2019-04-29 to 2021-04-29","2 Y 2019-05-28 to 2021-05-29","2 Y 2019-06-28 to 2021-06-29","2 Y 2019-07-29 to 2021-07-29","2 Y 2019-08-28 to 2021-08-29","2 Y 2019-09-30 to 2021-09-29","2 Y 2019-10-28 to 2021-10-29","2 Y 2019-11-29 to 2021-11-29"
"P Information Ratio","1.73","-0.03","-0.05","2.06","0.98","0.99","1.03","1.98","2.82","2.68","-0.1","0.16","-0.75","-0.61","-0.42","-0.87","0.12","0.26","0.66","0.71","0.07","0.8","2.09","1.16","1.69","1.44","1.4","0.65","0.42","1.27","1.12","1.28","0.9","1.52","2.35","1.77","0.15","1.84","0.91","1.2","3.42","0.83","3.06","1.56","0.96","0.54","2.53","1.74","1.14","0.24","0.33","2.05","1.18","0.94","0.01","1.72","1.88","2.19","1.3","0.57","-0.17","0.12","0.32","0.34","0.79","1.09","1.38","1.26","0.8","1.29","1.28","0.69","0.62","1.08","0.97","0.75","0.42","0.63","0.84","1.07","0.57","-0.02","0.9","0.77","-0.13","1.04","0.64","0.58","1.78","0.84","1.32","1.5","0.24","0.54","2.1","2.41"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.43","-0.2","0","0.46","0.28","0.41","0.48","0.94","0.9","1.06","0.7","0.1","-0.23","-0.52","-0.47","-0.41","-0.21","0.11","0.34","0.44","0.19","1.2","1.13","0.35","0.3","0.55","-0.05","0.83","0.04","0.61","1.13","0.76","0.6","0.45","0.81","0.77","0.34","1.22","1.17","1.48","1.75","0.58","1.11","0.67","0.68","0.58","-0.01","0.18","0.48","0.16","0.13","0.43","0.28","0.41","0.06","0.64","0.63","0.7","0.89","-0.01","-0.17","-0.22","0.04","0.09","0.11","0.49","0.62","0.53","0.31","0.89","0.72","0.22","0.21","0.52","0.17","0.62","0.08","0.24","0.6","0.58","0.33","-0.08","0.37","0.42","0.31","0.71","0.5","0.64","0.86","0.37","0.43","0.65","0.29","0.39","0.51","0.76"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.07","1.23","0.93","1.06","0.92","0.74","0.78","0.92","0.9","0.99","0.98","1.32","1.29","1.29","1.42","1.38","1.39","1.3","1.2","1.28","1.23","1.28","1.16","1.13","1.2","1.07","1.19","0.83","1.16","1.27","1.23","1.21","1.34","1.19","1.06","0.96","0.84","1.01","0.85","0.86","1.03","0.93","0.92","0.97","0.9","0.9","1.14","1.22","0.96","1.02","0.96","1.1","1.04","0.87","0.9","1.07","1.04","1.14","1.04","1.29","1.3","1.32","1.33","1.31","1.33","1.25","1.15","1.23","1.18","1.19","1.18","1.16","1.15","1.13","1.21","1.03","1.17","1.26","1.22","1.19","1.27","1.17","0.98","0.9","0.79","0.93","0.87","0.9","1.19","1.04","1.1","1.04","0.97","0.94","1.04","1.16"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","61.21","63.13","75.34","77.13","88.85","73.64","75.92","71.48","75.03","72","62.37","83.68","87.71","88.79","96.31","96.72","95.94","91.12","91.53","96.49","93.83","91.21","81.92","90.83","85.45","69.8","86.13","79.62","84.48","91","90.71","88.59","89.09","96.3","97.01","94.63","92.01","89.47","76.66","78.74","78.32","81.67","83.67","81.87","86.99","87.25","92.63","80.58","75.83","60.7","62.63","78.54","79.61","64.11","74.49","68.51","68.87","69.11","61.04","81.77","84.76","88.65","92.8","93.58","93.57","84.32","86.95","91.6","90.53","86.19","80.28","88.26","87.17","83.4","88.32","82.17","86.76","91.41","91.57","91.07","90.79","95.95","94.28","91.47","87.85","83.47","82.54","82.05","91.71","88.51","90.63","88.69","88.15","90.23","93.9","94.14"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-2.9136","-3.7006","-9.7991","-10.75","-9.8188","-9.5811","-9.9023","-10.4735","-10.42","-10.093","-17.7762","-17.0768","-27.353","-28.0959","-26.2587","-25.9161","-25.3197","-24.0424","-22.8906","-23.6698","-23.2003","-22.7971","-17.908","-17.158","-7.5512","-7.3956","-13.3433","-36.9972","-38.5422","-38.5595","-37.5145","-37.3509","-39.9657","-36.7002","-34.0679","-33.0198","-32.19","-34.8736","-31.6433","-9.9226","-9.8773","-8.7271","-8.159","-8.841","-7.7557","-8.5885","-9.4479","-8.8394","-10.2738","-6.5773","-9.7991","-10.75","-9.8188","-9.5811","-9.9023","-10.4735","-10.42","-10.093","-17.7762","-17.0768","-27.353","-28.0959","-26.2587","-25.9161","-25.3197","-24.0424","-22.8906","-23.6698","-23.2003","-22.7971","-23.6541","-23.7301","-24.8234","-24.0352","-24.613","-36.9972","-38.5422","-38.5595","-37.5145","-37.3509","-39.9657","-36.7002","-34.0679","-33.0198","-32.19","-34.8736","-34.9837","-35.496","-38.0435","-36.9651","-38.7188","-36.8987","-35.3351","-35.4657","-36.4673","-37.5501"
"B Max Drawdown","-2.7968","-2.7968","-10.1596","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7424","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6044","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125","-11.3543","-5.7292","-10.1596","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-0.1168","-0.9038","0.3605","-0.5905","0.3407","0.5784","0.257199999999999","-0.314","-0.2605","0.0664999999999996","-7.6167","-6.9023","-7.5748","-8.3177","-6.4805","-6.1379","-5.5415","-4.2642","-3.1124","-3.8916","-3.4221","-3.1626","-1.4614","-1.4156","-0.7151","-0.5595","-0.587499999999999","-3.0722","-4.6172","-4.6345","-3.5895","-3.42590000000001","-6.0407","-2.77520000000001","-0.142900000000004","0.905200000000001","1.735","-0.948600000000006","-3.123","-0.318099999999999","-0.2728","0.8774","1.4454","0.763500000000001","1.8488","-1.1113","-4.2354","-3.6269","1.0805","-0.848100000000001","0.3605","-0.5905","0.3407","0.5784","0.257199999999999","-0.314","-0.2605","0.0664999999999996","-7.6167","-6.9023","-7.5748","-8.3177","-6.4805","-6.1379","-5.5415","-4.2642","-3.1124","-3.8916","-3.4221","-3.0189","-3.8759","-3.9519","-5.0452","-4.257","-4.8348","-3.0722","-4.6172","-4.6345","-3.5895","-3.42590000000001","-6.0407","-2.77520000000001","-0.142900000000004","0.905200000000001","1.735","-0.948600000000006","-1.0587","-1.57100000000001","-4.1185","-3.0401","-4.7938","-2.9737","-1.4101","-1.5407","-2.5423","-3.6251"
