"","1 Y 2015-06-15 to 2017-06-16","1 Y 2015-07-15 to 2017-07-16","1 Y 2015-08-17 to 2017-08-16","1 Y 2015-09-15 to 2017-09-16","1 Y 2015-10-15 to 2017-10-16","1 Y 2015-11-16 to 2017-11-16","1 Y 2015-12-15 to 2017-12-16","1 Y 2016-01-15 to 2018-01-16","1 Y 2016-02-15 to 2018-02-16","1 Y 2016-03-15 to 2018-03-16","1 Y 2016-04-15 to 2018-04-16","1 Y 2016-05-16 to 2018-05-16","1 Y 2016-06-15 to 2018-06-16","1 Y 2016-07-15 to 2018-07-16","1 Y 2016-08-15 to 2018-08-16","1 Y 2016-09-15 to 2018-09-16","1 Y 2016-10-17 to 2018-10-16","1 Y 2016-11-15 to 2018-11-16","1 Y 2016-12-15 to 2018-12-16","1 Y 2017-01-16 to 2019-01-16","1 Y 2017-02-15 to 2019-02-16","1 Y 2017-03-15 to 2019-03-16","1 Y 2017-04-17 to 2019-04-16","1 Y 2017-05-15 to 2019-05-16","1 Y 2017-06-15 to 2019-06-16","1 Y 2017-07-17 to 2019-07-16","1 Y 2017-08-15 to 2019-08-16","1 Y 2017-09-15 to 2019-09-16","1 Y 2017-10-16 to 2019-10-16","1 Y 2017-11-15 to 2019-11-16","1 Y 2017-12-15 to 2019-12-16","1 Y 2018-01-15 to 2020-01-16","1 Y 2018-02-15 to 2020-02-16","1 Y 2018-03-15 to 2020-03-16","1 Y 2018-04-16 to 2020-04-16","1 Y 2018-05-15 to 2020-05-16","1 Y 2018-06-15 to 2020-06-16","1 Y 2018-07-16 to 2020-07-16","1 Y 2018-08-15 to 2020-08-16","1 Y 2018-09-17 to 2020-09-16","1 Y 2018-10-15 to 2020-10-16","1 Y 2018-11-15 to 2020-11-16","1 Y 2018-12-17 to 2020-12-16","1 Y 2019-01-15 to 2021-01-16","1 Y 2019-02-15 to 2021-02-16","1 Y 2019-03-15 to 2021-03-16","1 Y 2019-04-15 to 2021-04-16","1 Y 2019-05-15 to 2021-05-16","1 Y 2019-06-17 to 2021-06-16","1 Y 2019-07-15 to 2021-07-16","1 Y 2019-08-15 to 2021-08-16","1 Y 2019-09-16 to 2021-09-16","2 Y 2015-06-15 to 2017-06-16","2 Y 2015-07-15 to 2017-07-16","2 Y 2015-08-17 to 2017-08-16","2 Y 2015-09-15 to 2017-09-16","2 Y 2015-10-15 to 2017-10-16","2 Y 2015-11-16 to 2017-11-16","2 Y 2015-12-15 to 2017-12-16","2 Y 2016-01-15 to 2018-01-16","2 Y 2016-02-15 to 2018-02-16","2 Y 2016-03-15 to 2018-03-16","2 Y 2016-04-15 to 2018-04-16","2 Y 2016-05-16 to 2018-05-16","2 Y 2016-06-15 to 2018-06-16","2 Y 2016-07-15 to 2018-07-16","2 Y 2016-08-15 to 2018-08-16","2 Y 2016-09-15 to 2018-09-16","2 Y 2016-10-17 to 2018-10-16","2 Y 2016-11-15 to 2018-11-16","2 Y 2016-12-15 to 2018-12-16","2 Y 2017-01-16 to 2019-01-16","2 Y 2017-02-15 to 2019-02-16","2 Y 2017-03-15 to 2019-03-16","2 Y 2017-04-17 to 2019-04-16","2 Y 2017-05-15 to 2019-05-16","2 Y 2017-06-15 to 2019-06-16","2 Y 2017-07-17 to 2019-07-16","2 Y 2017-08-15 to 2019-08-16","2 Y 2017-09-15 to 2019-09-16","2 Y 2017-10-16 to 2019-10-16","2 Y 2017-11-15 to 2019-11-16","2 Y 2017-12-15 to 2019-12-16","2 Y 2018-01-15 to 2020-01-16","2 Y 2018-02-15 to 2020-02-16","2 Y 2018-03-15 to 2020-03-16","2 Y 2018-04-16 to 2020-04-16","2 Y 2018-05-15 to 2020-05-16","2 Y 2018-06-15 to 2020-06-16","2 Y 2018-07-16 to 2020-07-16","2 Y 2018-08-15 to 2020-08-16","2 Y 2018-09-17 to 2020-09-16","2 Y 2018-10-15 to 2020-10-16","2 Y 2018-11-15 to 2020-11-16","2 Y 2018-12-17 to 2020-12-16","2 Y 2019-01-15 to 2021-01-16","2 Y 2019-02-15 to 2021-02-16","2 Y 2019-03-15 to 2021-03-16","2 Y 2019-04-15 to 2021-04-16","2 Y 2019-05-15 to 2021-05-16","2 Y 2019-06-17 to 2021-06-16","2 Y 2019-07-15 to 2021-07-16","2 Y 2019-08-15 to 2021-08-16","2 Y 2019-09-16 to 2021-09-16"
"P Information Ratio","1.71","1.28","1.18","0.95","1.26","2.54","2.72","2.68","1.95","2.18","2.55","1.72","2.77","2.98","1.87","2.32","1.43","0.19","0.53","0.29","0.33","-0.05","0.32","-0.01","-0.35","-0.09","-0.43","-0.28","-0.15","0.68","1.39","0.99","1.26","0.47","0.5","2.31","2.03","1.89","2.13","2.13","3.57","3.56","4.57","4.05","3.54","4.36","2.2","0.52","0.78","0.9","0.56","1.58","0.8","0.46","0.48","0.26","0.95","1.42","0.74","1.35","1.01","1.37","1.89","1.55","2.22","2.27","1.72","2","1.82","1.58","1.27","1.1","1.03","1.06","1.39","0.92","0.88","0.64","0.39","0.64","0.37","0.52","0.59","0.54","0.51","0.28","0.36","1.54","1.27","1.34","1.67","1.43","2.24","2.19","2.73","2.53","2.42","1.61","1.39","0.76","0.79","0.85","0.33","0.9"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.55","0.31","0.24","0.46","1.47","1.51","1.79","1.04","0.46","0.51","0.84","0.36","0.88","0.92","0.76","0.97","0.91","0.19","0.29","0.28","0.13","-0.07","-0.04","-0.18","-0.05","-0.02","-0.21","-0.25","-0.04","0.04","-0.17","-0.36","-0.03","1.2","0.54","1.31","1.75","1.22","1.43","1.79","1.98","1.76","1.94","2.03","1.11","1.48","1.09","0.59","0.52","0.94","1.05","1.03","0.36","0.24","0.28","0.29","0.34","0.35","0.24","0.4","0.32","0.36","0.75","0.49","0.63","0.7","0.62","0.76","1.05","0.45","0.39","0.31","0.35","0.36","0.36","0.26","0.33","0.19","0.16","0.16","0.02","0.12","0.16","0.13","-0.02","0.57","0.37","0.8","1.03","0.94","0.94","0.99","1.16","1.11","1.11","1.17","0.8","0.76","0.77","0.45","0.41","0.66","0.43","0.5"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.05","1.13","1.12","1","0.43","0.64","0.57","0.77","1","1.02","0.99","1.03","0.94","0.99","0.9","0.93","0.93","1.25","1.18","1.2","1.39","1.36","1.41","1.38","1.33","1.45","1.41","1.41","1.38","1.35","1.48","1.44","1.29","0.97","1.16","1.16","1.2","1.15","1.15","1.18","1.15","1.08","1.07","1.11","1.22","1.13","1.04","0.94","0.94","0.78","0.78","0.83","0.92","0.89","0.89","0.91","1.07","1.11","1.14","1.02","0.94","1.01","1.01","1.02","0.98","1","0.92","0.94","0.88","1.25","1.17","1.18","1.32","1.29","1.33","1.31","1.28","1.37","1.33","1.34","1.38","1.36","1.38","1.38","1.36","1.21","1.24","1.18","1.19","1.18","1.17","1.19","1.12","1.06","1.04","1.07","1.13","1.13","1.07","1.06","1.03","0.94","0.9","0.94"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","70.08","68.91","63.43","51.5","-0.25","9.3","11.6","26.64","60.77","75.2","72.48","82.04","74.71","78.58","68.3","65.3","65.42","83.34","85.71","88.58","93.57","94.77","94","93.45","94.26","96.28","95.88","93.92","93.62","93.69","93.72","90.39","92.61","84.06","87.44","90.84","87.88","89.69","86.44","86.82","90.67","91.62","94.07","94.05","91.53","81.15","65.82","68.12","68.37","53.33","53.88","51.81","82.64","82.22","83.1","81.26","75.29","77.93","76.05","66.88","64.34","67.77","70.07","73.62","68.62","71.59","64.91","60.05","55.4","82.23","82.12","88.93","90.81","90.46","89.61","89.07","91.02","91.96","90.47","89.63","90.17","90.09","91.26","90.72","92.44","84.79","88.85","90.62","88.83","91.93","89.87","87.27","89.27","89.53","89.53","89.21","89.2","88.53","86.37","85.43","83.72","78.42","78.85","83.53"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-5.3552","-6.4947","-6.0099","-4.9786","-4.4632","-3.3185","-2.8348","-2.7456","-8.8788","-8.9927","-9.3379","-9.2985","-9.2904","-9.4048","-9.1101","-9.1268","-10.4628","-15.2593","-15.0745","-23.9802","-24.9106","-24.3445","-25.1199","-25.0465","-24.7664","-25.9466","-26.3294","-26.0614","-20.7644","-18.3334","-9.7475","-10.2566","-8.7546","-36.329","-39.2952","-37.2552","-36.9852","-36.2744","-36.3949","-37.2586","-36.9549","-36.4973","-35.0654","-34.8323","-36.3256","-9.9963","-10.4596","-8.6565","-8.6698","-8.2278","-7.8664","-7.5545","-18.553","-18.0746","-15.7348","-15.3197","-16.7383","-16.3696","-16.5143","-8.7623","-8.8788","-8.9927","-9.3379","-9.2985","-9.2904","-9.4048","-9.1101","-9.1268","-10.4628","-15.2593","-15.0745","-23.9802","-24.9106","-24.3445","-25.1199","-25.0465","-24.7664","-25.9466","-26.3294","-26.152","-26.2033","-25.8449","-26.6391","-26.9574","-26.755","-36.329","-39.2952","-37.2552","-36.9852","-36.2744","-36.3949","-37.2586","-36.9549","-36.4973","-35.0654","-34.8323","-36.3256","-36.8983","-35.6913","-35.6525","-34.9157","-35.0968","-34.714","-36.0226"
"B Max Drawdown","-5.3366","-4.7928","-4.6566","-4.2256","-3.0748","-2.7968","-2.7968","-2.7968","-10.1596","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-11.2872","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-16.4466","-15.7424","-7.661","-6.8361","-6.8361","-29.5327","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-11.5369","-9.6044","-9.6044","-9.6045","-9.6045","-9.6045","-7.4772","-14.0583","-14.0583","-13.3051","-13.3051","-13.3051","-13.0099","-11.9941","-5.7292","-10.1596","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-11.2872","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-29.5327","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
