"","1 Y 2016-12-28 to 2018-12-29","1 Y 2017-01-30 to 2019-01-29","1 Y 2017-02-28 to 2019-03-01","1 Y 2017-03-28 to 2019-03-29","1 Y 2017-04-28 to 2019-04-29","1 Y 2017-05-30 to 2019-05-29","1 Y 2017-06-28 to 2019-06-29","1 Y 2017-07-28 to 2019-07-29","1 Y 2017-08-28 to 2019-08-29","1 Y 2017-09-28 to 2019-09-29","1 Y 2017-10-30 to 2019-10-29","1 Y 2017-11-28 to 2019-11-29","1 Y 2017-12-28 to 2019-12-29","1 Y 2018-01-29 to 2020-01-29","1 Y 2018-02-28 to 2020-02-29","1 Y 2018-03-28 to 2020-03-29","1 Y 2018-04-30 to 2020-04-29","1 Y 2018-05-29 to 2020-05-29","1 Y 2018-06-28 to 2020-06-29","1 Y 2018-07-30 to 2020-07-29","1 Y 2018-08-28 to 2020-08-29","1 Y 2018-09-28 to 2020-09-29","1 Y 2018-10-29 to 2020-10-29","1 Y 2018-11-28 to 2020-11-29","1 Y 2018-12-28 to 2020-12-29","1 Y 2019-01-28 to 2021-01-29","1 Y 2019-02-28 to 2021-03-01","1 Y 2019-03-28 to 2021-03-29","1 Y 2019-04-29 to 2021-04-29","1 Y 2019-05-28 to 2021-05-29","1 Y 2019-06-28 to 2021-06-29","1 Y 2019-07-29 to 2021-07-29","1 Y 2019-08-28 to 2021-08-29","1 Y 2019-09-30 to 2021-09-29","1 Y 2019-10-28 to 2021-10-29","1 Y 2019-11-29 to 2021-11-29","2 Y 2016-12-28 to 2018-12-29","2 Y 2017-01-30 to 2019-01-29","2 Y 2017-02-28 to 2019-03-01","2 Y 2017-03-28 to 2019-03-29","2 Y 2017-04-28 to 2019-04-29","2 Y 2017-05-30 to 2019-05-29","2 Y 2017-06-28 to 2019-06-29","2 Y 2017-07-28 to 2019-07-29","2 Y 2017-08-28 to 2019-08-29","2 Y 2017-09-28 to 2019-09-29","2 Y 2017-10-30 to 2019-10-29","2 Y 2017-11-28 to 2019-11-29","2 Y 2017-12-28 to 2019-12-29","2 Y 2018-01-29 to 2020-01-29","2 Y 2018-02-28 to 2020-02-29","2 Y 2018-03-28 to 2020-03-29","2 Y 2018-04-30 to 2020-04-29","2 Y 2018-05-29 to 2020-05-29","2 Y 2018-06-28 to 2020-06-29","2 Y 2018-07-30 to 2020-07-29","2 Y 2018-08-28 to 2020-08-29","2 Y 2018-09-28 to 2020-09-29","2 Y 2018-10-29 to 2020-10-29","2 Y 2018-11-28 to 2020-11-29","2 Y 2018-12-28 to 2020-12-29","2 Y 2019-01-28 to 2021-01-29","2 Y 2019-02-28 to 2021-03-01","2 Y 2019-03-28 to 2021-03-29","2 Y 2019-04-29 to 2021-04-29","2 Y 2019-05-28 to 2021-05-29","2 Y 2019-06-28 to 2021-06-29","2 Y 2019-07-29 to 2021-07-29","2 Y 2019-08-28 to 2021-08-29","2 Y 2019-09-30 to 2021-09-29","2 Y 2019-10-28 to 2021-10-29","2 Y 2019-11-29 to 2021-11-29"
"P Information Ratio","-0.04","0.65","0.84","0.21","-0.18","0.63","1.14","0.87","1.09","1.94","1.6","1.02","0.86","0.75","-0.97","-1.89","-1.14","-1.58","-1.68","-1.12","-2.21","-2.18","-1.2","-0.41","-0.42","-0.33","0.28","0.81","0.7","0.91","0.72","0.41","1.39","1.45","0.87","-0.05","0.16","0.34","0.32","0.45","0.17","0.31","0.23","0.24","0.46","0.49","0.35","0.24","0.46","0.77","0.18","-0.79","-0.81","-0.98","-0.99","-0.57","-0.98","-0.7","-0.59","-0.24","-0.19","-0.45","-0.09","-0.21","-0.37","-0.36","-0.7","-0.56","-0.45","-0.25","-0.42","-0.51"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.02","-0.01","0.05","0.11","0.02","0.1","0.29","0.23","0.23","0.37","0.45","0.35","0.37","0.37","-0.1","-0.08","-0.32","-0.71","-0.58","-0.57","-0.72","-1.16","-0.67","-0.38","-0.22","-0.28","0.89","0.72","0.89","0.82","1.04","0.71","0.61","0.13","0.01","0.16","0.03","0.02","0.09","0.14","0.09","0.06","0.07","0.09","0.1","0.15","0.16","0.12","0.16","0.19","0.06","-0.04","-0.24","-0.33","-0.26","-0.25","-0.23","-0.43","-0.25","-0.19","-0.15","-0.24","-0.04","-0.14","-0.19","-0.23","-0.22","-0.26","-0.3","-0.29","-0.18","-0.21"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.95","0.96","1.02","1","1.02","1.03","1","1.01","1.02","0.97","0.94","0.96","0.94","0.9","0.94","0.98","1.13","1.1","1.09","1.09","1.11","1.06","1.05","1.07","1.09","1.1","0.9","0.85","0.83","0.83","0.83","0.85","0.97","1.11","1.08","0.97","0.98","0.96","0.98","0.97","0.97","0.98","0.96","0.98","0.98","0.94","0.93","0.93","0.95","0.97","0.97","1.01","1.1","1.06","1.06","1.05","1.06","1.04","1.04","1.06","1.09","1.08","1.05","1.01","1.04","1.03","1.05","1.05","1.09","1.11","1.06","1.06"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","93.15","95.94","97.29","97.38","97.39","97.39","97.1","97.55","97.76","98.72","98.05","96.45","92.32","88.66","97.16","98.99","98.4","98.19","97.7","97.5","97.65","96.55","95.55","93.95","95.2","95.2","92.63","88.67","79.04","81.96","83.31","79.83","87.15","89.34","94.14","87.1","92.71","95.62","95.59","95.69","95.25","95.01","95.23","95.75","95.79","96.85","96.4","95.52","95.29","94.68","96.67","98.49","98.02","97.7","97.39","97.33","97.3","95.79","96.08","95.59","95.85","95.46","95.15","94.1","92.46","93.19","92.41","92.6","93.28","95.54","95.47","95.2"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-18.8001","-18.7285","-18.7718","-18.4394","-18.6683","-18.8186","-18.7147","-19.1725","-19.0833","-17.7983","-14.7725","-14.9456","-5.4578","-5.6369","-12.4345","-37.2517","-37.8552","-37.9802","-37.853","-37.7044","-37.8847","-37.8924","-37.7566","-38.6332","-38.7555","-38.8461","-33.5734","-9.836","-10.6612","-10.2197","-7.3678","-7.4914","-7.5834","-6.957","-5.4065","-5.1763","-18.8001","-18.7285","-18.7718","-18.4394","-18.6683","-18.8186","-18.7147","-19.1725","-19.0833","-18.5686","-18.4196","-18.4704","-19.043","-19.1723","-18.6469","-37.2517","-37.8552","-37.9802","-37.853","-37.7044","-37.8847","-37.8924","-37.7566","-38.6332","-38.7555","-38.8461","-38.6001","-37.413","-38.8535","-38.0413","-38.384","-37.9374","-37.9896","-38.0274","-37.9103","-37.9958"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7424","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6044","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","0.978099999999998","1.0497","1.0064","1.3388","1.1099","0.959599999999998","1.0635","0.605699999999999","0.694899999999997","1.8362","1.6741","0.796799999999999","1.3783","1.1992","0.321300000000001","-3.3267","-3.93020000000001","-4.05520000000001","-3.928","-3.7794","-3.95970000000001","-3.9674","-3.8316","-4.70820000000001","-4.8305","-4.9211","-5.0531","-0.2315","-1.0567","-0.6152","2.2366","2.1131","2.0211","0.5202","-0.194","0.0362","0.978099999999998","1.0497","1.0064","1.3388","1.1099","0.959599999999998","1.0635","0.605699999999999","0.694899999999997","1.2096","1.3586","1.3078","0.735199999999999","0.605899999999998","1.1313","-3.3267","-3.93020000000001","-4.05520000000001","-3.928","-3.7794","-3.95970000000001","-3.9674","-3.8316","-4.70820000000001","-4.8305","-4.9211","-4.6751","-3.488","-4.9285","-4.1163","-4.459","-4.0124","-4.06460000000001","-4.1024","-3.9853","-4.07080000000001"
