"","1 Y 2017-06-27 to 2018-06-28","1 Y 2017-07-27 to 2018-07-28","1 Y 2017-08-28 to 2018-08-28","1 Y 2017-09-27 to 2018-09-28","1 Y 2017-10-27 to 2018-10-28","1 Y 2017-11-27 to 2018-11-28","1 Y 2017-12-27 to 2018-12-28","1 Y 2018-01-29 to 2019-01-28","1 Y 2018-02-27 to 2019-02-28","1 Y 2018-03-27 to 2019-03-28","1 Y 2018-04-27 to 2019-04-28","1 Y 2018-05-29 to 2019-05-28","1 Y 2018-06-27 to 2019-06-28","1 Y 2018-07-27 to 2019-07-28","1 Y 2018-08-27 to 2019-08-28","1 Y 2018-09-27 to 2019-09-28","1 Y 2018-10-29 to 2019-10-28","1 Y 2018-11-27 to 2019-11-28","1 Y 2018-12-27 to 2019-12-28","1 Y 2019-01-28 to 2020-01-28","1 Y 2019-02-27 to 2020-02-28","1 Y 2019-03-27 to 2020-03-28","1 Y 2019-04-29 to 2020-04-28","1 Y 2019-05-28 to 2020-05-28","1 Y 2019-06-27 to 2020-06-28","1 Y 2019-07-29 to 2020-07-28","1 Y 2019-08-27 to 2020-08-28","1 Y 2019-09-27 to 2020-09-28","1 Y 2019-10-28 to 2020-10-28","1 Y 2019-11-27 to 2020-11-28","1 Y 2019-12-27 to 2020-12-28","1 Y 2020-01-27 to 2021-01-28","1 Y 2020-02-27 to 2021-02-28","1 Y 2020-03-27 to 2021-03-28","1 Y 2020-04-27 to 2021-04-28","1 Y 2020-05-27 to 2021-05-28","1 Y 2020-06-29 to 2021-06-28","1 Y 2020-07-27 to 2021-07-28","1 Y 2020-08-27 to 2021-08-28","1 Y 2020-09-28 to 2021-09-28","1 Y 2020-10-27 to 2021-10-28","1 Y 2020-11-27 to 2021-11-28"
"P Information Ratio","1.46","1.26","1.22","0.73","0.02","0.57","-0.02","0.95","0.75","0.17","-0.25","-0.49","-0.34","-0.22","-0.11","-0.25","-0.16","-0.51","0.04","-0.22","-0.61","-1.74","-0.39","-0.22","-0.6","-0.3","-0.27","0.09","-0.46","0.13","0.19","0.45","0.49","3.93","2.76","2.36","2.15","1.62","1.65","1.61","2.03","0.81"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.97","1.01","0.88","0.76","0.73","0.3","0.28","0.17","0.34","-0.03","-0.07","-0.34","-0.27","0","-0.14","-0.03","-0.39","-0.3","-0.38","-0.38","-0.69","-0.37","-0.46","-0.59","-0.36","-0.31","-0.44","-0.49","-0.55","-0.34","-0.1","0.26","-0.83","1.5","1.65","1.06","1.54","1.44","0.9","0.51","1.62","1.89"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.76","0.75","0.69","0.71","0.76","0.88","0.85","0.98","1.05","1.14","1.15","1.1","1.07","1.14","1.15","1.12","1.22","1.22","1.23","1.13","1.1","0.96","1.28","1.33","1.38","1.39","1.46","1.39","1.34","1.38","1.37","1.43","1.56","1.4","1.29","1.11","1.07","1.1","1.26","1.34","1.07","0.42"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","54.46","56.96","49.89","55.8","60.24","77.77","78.05","84.47","90.07","95.1","95.81","93.38","93.72","94.81","94.25","94.19","91.73","91.16","86.44","78.3","77.15","83.64","89.14","92.44","89.88","90.68","90.69","90.01","88.57","88.63","89.48","91.49","92.92","81.31","66.36","61.47","58.4","56.54","53.67","43.24","36.13","13.71"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-10.2036","-10.135","-10.1732","-10.0174","-11.7079","-11.7596","-19.5206","-18.3971","-18.5132","-18.7936","-19.378","-18.9412","-18.233","-18.9105","-19.2244","-18.0737","-15.436","-13.7054","-7.2329","-7.3664","-13.2388","-36.7727","-36.3553","-36.5369","-37.0925","-36.8736","-37.9891","-37.6511","-37.6985","-38.3603","-37.5921","-38.4981","-32.7554","-11.2724","-11.6007","-11.1041","-8.3627","-8.3797","-8.5368","-6.7596","-5.1159","-4.5915"
"B Max Drawdown","-9.5506","-9.5506","-9.5506","-9.5506","-9.5507","-9.878","-15.8093","-16.4756","-16.4757","-16.4756","-16.4757","-16.4756","-16.4756","-16.4757","-16.4757","-16.326","-13.0069","-12.2736","-6.8361","-6.8361","-12.0311","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4469","-5.2125","-5.2125"
"MD DIFF(P-B)","-0.653","-0.5844","-0.6226","-0.466800000000001","-2.1572","-1.8816","-3.7113","-1.9215","-2.0375","-2.318","-2.9023","-2.4656","-1.7574","-2.4348","-2.7487","-1.7477","-2.4291","-1.4318","-0.3968","-0.5303","-1.2077","-2.8477","-2.4303","-2.61190000000001","-3.1675","-2.94860000000001","-4.0641","-3.7261","-3.77350000000001","-4.43530000000001","-3.6671","-4.5731","-4.2351","-1.6679","-1.9962","-1.4996","1.2418","1.2248","1.0677","0.6873","0.0966000000000005","0.621"
