"","2016-12-28_to_2017-12-29_GrowthPortfolio_6QRank","2017-01-30_to_2018-01-29_GrowthPortfolio_6QRank","2017-02-28_to_2018-03-01_GrowthPortfolio_6QRank","2017-03-28_to_2018-03-29_GrowthPortfolio_6QRank","2017-04-28_to_2018-04-29_GrowthPortfolio_6QRank","2017-05-30_to_2018-05-29_GrowthPortfolio_6QRank","2017-06-28_to_2018-06-29_GrowthPortfolio_6QRank","2017-07-28_to_2018-07-29_GrowthPortfolio_6QRank","2017-08-28_to_2018-08-29_GrowthPortfolio_6QRank","2017-09-28_to_2018-09-29_GrowthPortfolio_6QRank","2017-10-30_to_2018-10-29_GrowthPortfolio_6QRank","2017-11-28_to_2018-11-29_GrowthPortfolio_6QRank","2017-12-28_to_2018-12-29_GrowthPortfolio_6QRank","2018-01-29_to_2019-01-29_GrowthPortfolio_6QRank","2018-02-28_to_2019-03-01_GrowthPortfolio_6QRank","2018-03-28_to_2019-03-29_GrowthPortfolio_6QRank","2018-04-30_to_2019-04-29_GrowthPortfolio_6QRank","2018-05-29_to_2019-05-29_GrowthPortfolio_6QRank","2018-06-28_to_2019-06-29_GrowthPortfolio_6QRank","2018-07-30_to_2019-07-29_GrowthPortfolio_6QRank","2018-08-28_to_2019-08-29_GrowthPortfolio_6QRank","2018-09-28_to_2019-09-29_GrowthPortfolio_6QRank","2018-10-29_to_2019-10-29_GrowthPortfolio_6QRank","2018-11-28_to_2019-11-29_GrowthPortfolio_6QRank","2018-12-28_to_2019-12-29_GrowthPortfolio_6QRank","2019-01-28_to_2020-01-29_GrowthPortfolio_6QRank","2019-02-28_to_2020-02-29_GrowthPortfolio_6QRank","2019-03-28_to_2020-03-29_GrowthPortfolio_6QRank","2019-04-29_to_2020-04-29_GrowthPortfolio_6QRank","2019-05-28_to_2020-05-29_GrowthPortfolio_6QRank","2019-06-28_to_2020-06-29_GrowthPortfolio_6QRank","2019-07-29_to_2020-07-29_GrowthPortfolio_6QRank","2019-08-28_to_2020-08-29_GrowthPortfolio_6QRank","2019-09-30_to_2020-09-29_GrowthPortfolio_6QRank","2019-10-28_to_2020-10-29_GrowthPortfolio_6QRank","2019-11-29_to_2020-11-29_GrowthPortfolio_6QRank","2019-12-30_to_2020-12-29_GrowthPortfolio_6QRank","2020-01-28_to_2021-01-29_GrowthPortfolio_6QRank","2020-02-28_to_2021-03-01_GrowthPortfolio_6QRank","2020-03-30_to_2021-03-29_GrowthPortfolio_6QRank","2020-04-28_to_2021-04-29_GrowthPortfolio_6QRank","2020-05-28_to_2021-05-29_GrowthPortfolio_6QRank","2020-06-29_to_2021-06-29_GrowthPortfolio_6QRank","2020-07-28_to_2021-07-29_GrowthPortfolio_6QRank","2020-08-28_to_2021-08-29_GrowthPortfolio_6QRank","2020-09-28_to_2021-09-29_GrowthPortfolio_6QRank","2020-10-28_to_2021-10-29_GrowthPortfolio_6QRank","2020-11-30_to_2021-11-29_GrowthPortfolio_6QRank"
"P Information Ratio","2.78","2.21","2.82","3.21","2.42","2.95","3.73","2.47","2.4","2.15","-0.11","0.51","-0.08","0.17","0.35","0.04","0.61","0.61","0.68","0.98","0.84","0.14","1.6","0.85","1.02","1.13","0.9","0.48","1.03","1.07","0.87","0.9","-0.32","1.32","2.15","2.04","2.71","3.11","1.39","-0.05","1.07","1.06","2.15","0.83","1.89","1.22","0.69","2.03"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.99","0.69","0.89","0.96","0.96","0.77","1.22","1.06","0.77","0.86","0.67","0.25","0.06","0.21","0.04","0.09","0.2","0.24","0.32","0.52","0.45","0.48","0.58","0.29","0.7","0.33","-0.06","0.49","0.2","0.27","0.83","0.42","0.18","0.46","0.97","1.07","1.26","1.16","0.87","0.67","0.83","0.6","0.58","0.48","0.92","0.85","0.3","0.34"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.92","0.92","1","1.02","1.02","0.96","1.01","1.08","0.96","1.03","1.02","1.42","1.41","1.32","1.45","1.38","1.32","1.23","1.16","1.24","1.18","1.19","0.96","0.98","0.86","0.97","1.01","0.78","0.94","1.05","1.06","0.99","0.96","0.99","0.96","0.94","0.96","1.02","0.94","0.89","0.91","0.93","0.95","0.85","0.89","0.89","0.97","1.11"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","46.94","43.3","74.96","74.36","76.48","77.25","81.24","73.16","69.94","72.57","68.56","83.18","84.17","87.25","92.68","92.66","88.85","89.39","89.81","94.07","93.36","93.25","87.03","88.27","78.13","81.13","91.73","85.05","86.93","90.53","88.14","85.75","88.98","91.24","92.57","91.87","93.8","96.99","85.87","81.7","79.41","86.42","83.15","81","80.66","82.43","78.31","87.01"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-2.882","-2.8064","-10.6008","-10.5791","-10.381","-10.6026","-10.6582","-10.5937","-10.1894","-10.4693","-17.3573","-17.3936","-26.6225","-26.6329","-26.1976","-25.2649","-24.4476","-23.0732","-23.0791","-23.9217","-24","-24.7417","-17.9727","-16.7238","-5.8882","-6.4529","-12.6407","-35.6264","-35.3252","-35.1622","-34.5847","-35.2441","-34.6619","-35.2235","-34.0899","-34.3419","-34.8373","-35.8006","-31.084","-10.6406","-11.2971","-11.274","-11.406","-11.1953","-10.7643","-10.488","-10.9225","-9.1367"
"B Max Drawdown","-2.7968","-2.7968","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1596","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7423","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6044","-9.6045","-7.4772","-5.2125","-5.2125"
"MD DIFF(P-B)","-0.0851999999999999","-0.00959999999999983","-0.4413","-0.419600000000001","-0.221500000000001","-0.443100000000001","-0.498700000000001","-0.434200000000001","-0.0298999999999996","-0.309800000000001","-7.1977","-7.2191","-6.8443","-6.8547","-6.4194","-5.4867","-4.6694","-3.295","-3.3009","-4.1435","-4.2218","-5.1072","-1.5261","-0.9815","0.9479","0.3832","0.1151","-1.7014","-1.40020000000001","-1.2372","-0.659700000000001","-1.31910000000001","-0.736900000000006","-1.2985","-0.164900000000003","-0.416900000000005","-0.912300000000002","-1.87560000000001","-2.5637","-1.0361","-1.6926","-1.6695","-1.8015","-1.5909","-1.1598","-3.0108","-5.71","-3.9242"
