"","2016-06-27_to_2019-06-28_CorePortfolio_4QRank","2016-07-27_to_2019-07-28_CorePortfolio_4QRank","2016-08-29_to_2019-08-28_CorePortfolio_4QRank","2016-09-27_to_2019-09-28_CorePortfolio_4QRank","2016-10-27_to_2019-10-28_CorePortfolio_4QRank","2016-11-28_to_2019-11-28_CorePortfolio_4QRank","2016-12-27_to_2019-12-28_CorePortfolio_4QRank","2017-01-27_to_2020-01-28_CorePortfolio_4QRank","2017-02-27_to_2020-02-28_CorePortfolio_4QRank","2017-03-27_to_2020-03-28_CorePortfolio_4QRank","2017-04-27_to_2020-04-28_CorePortfolio_4QRank","2017-05-30_to_2020-05-28_CorePortfolio_4QRank","2017-06-27_to_2020-06-28_CorePortfolio_4QRank","2017-07-27_to_2020-07-28_CorePortfolio_4QRank","2017-08-28_to_2020-08-28_CorePortfolio_4QRank","2017-09-27_to_2020-09-28_CorePortfolio_4QRank","2017-10-27_to_2020-10-28_CorePortfolio_4QRank","2017-11-27_to_2020-11-28_CorePortfolio_4QRank","2017-12-27_to_2020-12-28_CorePortfolio_4QRank","2018-01-29_to_2021-01-28_CorePortfolio_4QRank","2018-02-27_to_2021-02-28_CorePortfolio_4QRank","2018-03-27_to_2021-03-28_CorePortfolio_4QRank","2018-04-27_to_2021-04-28_CorePortfolio_4QRank","2018-05-29_to_2021-05-28_CorePortfolio_4QRank","2018-06-27_to_2021-06-28_CorePortfolio_4QRank","2018-07-27_to_2021-07-28_CorePortfolio_4QRank","2018-08-27_to_2021-08-28_CorePortfolio_4QRank","2018-09-27_to_2021-09-28_CorePortfolio_4QRank","2018-10-29_to_2021-10-28_CorePortfolio_4QRank","2018-11-27_to_2021-11-28_CorePortfolio_4QRank"
"P Alpha Stat","0.15","0.08","0.09","0.12","0.13","0.11","0.2","0.16","0.12","0.1","-0.03","-0.07","0.01","-0.1","0.02","0.26","0.35","-0.08","-0.12","0.51","-0.07","-0.09","0.04","-0.07","0.06","-0.06","-0.14","-0.12","-0.08","-0.14"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.06","1.01","1.01","1","0.98","0.97","0.95","1","0.97","0.97","1.02","1.02","1.05","1.01","1","1.02","1.01","0.98","0.98","1.1","0.99","1.03","1.03","1.05","1.04","1.02","1.04","1.01","1.05","1.04"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","95.89","96.3","96.2","95.77","95.98","96.44","95.66","96.03","95.6","95.88","95.28","96.65","97","96.58","96.39","91.23","89.2","94.44","94.64","91.88","94.84","96.13","96.39","96.21","96.66","95.03","94.88","94.53","95.61","95.52"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-19.7553","-18.9469","-19.3371","-19.0689","-18.9767","-18.9289","-18.4619","-19.5395","-19.2009","-37.5943","-37.7487","-38.1343","-37.9592","-37.4415","-36.2368","-37.5563","-37.892","-37.2452","-37.2957","-38.3392","-37.3693","-38.0529","-37.5359","-37.7079","-37.3667","-37.3597","-38.2428","-37.9772","-38.1309","-38.4009"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","0.0228999999999999","0.831299999999999","0.441099999999999","0.709299999999999","0.801499999999997","0.849299999999999","1.3163","0.238699999999998","0.577299999999997","-3.6693","-3.8237","-4.20930000000001","-4.03420000000001","-3.5165","-2.31180000000001","-3.6313","-3.96700000000001","-3.3202","-3.3707","-4.4142","-3.44430000000001","-4.1279","-3.6109","-3.78290000000001","-3.4417","-3.4347","-4.31780000000001","-4.05220000000001","-4.2059","-4.4759"
