"","2018-01-09_to_2019-01-10_ALLPortfolio_6QRank","2018-02-09_to_2019-02-10_ALLPortfolio_6QRank","2018-03-09_to_2019-03-10_ALLPortfolio_6QRank","2018-04-09_to_2019-04-10_ALLPortfolio_6QRank","2018-05-09_to_2019-05-10_ALLPortfolio_6QRank","2018-06-11_to_2019-06-10_ALLPortfolio_6QRank","2018-07-09_to_2019-07-10_ALLPortfolio_6QRank","2018-08-09_to_2019-08-10_ALLPortfolio_6QRank","2018-09-10_to_2019-09-10_ALLPortfolio_6QRank","2018-10-09_to_2019-10-10_ALLPortfolio_6QRank","2018-11-09_to_2019-11-10_ALLPortfolio_6QRank","2018-12-10_to_2019-12-10_ALLPortfolio_6QRank","2019-01-09_to_2020-01-10_ALLPortfolio_6QRank","2019-02-11_to_2020-02-10_ALLPortfolio_6QRank","2019-03-11_to_2020-03-10_ALLPortfolio_6QRank","2019-04-09_to_2020-04-10_ALLPortfolio_6QRank","2019-05-09_to_2020-05-10_ALLPortfolio_6QRank","2019-06-10_to_2020-06-10_ALLPortfolio_6QRank","2019-07-09_to_2020-07-10_ALLPortfolio_6QRank","2019-08-09_to_2020-08-10_ALLPortfolio_6QRank","2019-09-09_to_2020-09-10_ALLPortfolio_6QRank","2019-10-09_to_2020-10-10_ALLPortfolio_6QRank","2019-11-11_to_2020-11-10_ALLPortfolio_6QRank","2019-12-09_to_2020-12-10_ALLPortfolio_6QRank","2020-01-09_to_2021-01-10_ALLPortfolio_6QRank","2020-02-10_to_2021-02-10_ALLPortfolio_6QRank","2020-03-09_to_2021-03-10_ALLPortfolio_6QRank","2020-04-09_to_2021-04-10_ALLPortfolio_6QRank","2020-05-11_to_2021-05-10_ALLPortfolio_6QRank","2020-06-09_to_2021-06-10_ALLPortfolio_6QRank","2020-07-09_to_2021-07-10_ALLPortfolio_6QRank","2020-08-10_to_2021-08-10_ALLPortfolio_6QRank","2020-09-09_to_2021-09-10_ALLPortfolio_6QRank"
"P Information Ratio","0.4","0.62","0.37","0.11","0.05","-0.16","-0.43","-0.04","-0.21","0.3","-0.1","-0.31","-1","-1.99","-1.8","-1.37","-0.76","-0.47","-0.56","-0.49","-0.72","-0.57","-0.3","0.12","0.67","0.75","2.37","2.91","3.32","2.18","2.65","1.5","1.86"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.16","0.28","0.07","-0.11","-0.2","-0.12","0","-0.04","0.03","0.02","-0.15","-0.4","-0.36","-0.54","-0.3","-0.49","-0.5","-0.39","-0.41","-0.49","-0.79","-0.74","-0.28","-0.19","0.11","-0.59","1.5","1.83","1.7","1.58","1.68","1.14","1.03"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.1","1.16","1.18","1.18","1.12","1.09","1.11","1.15","1.15","1.14","1.15","1.21","1.1","1.13","1.06","1.24","1.24","1.27","1.26","1.29","1.27","1.25","1.22","1.21","1.24","1.3","1.1","1.02","1.01","0.99","1.04","1.15","1.14"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","94.38","95.57","96.44","96.73","95.98","96.67","98.37","98.01","98.23","97.42","96.99","95.53","95.83","97.04","96.79","96.93","97.77","97.19","97.16","97.61","97.42","95.31","93.41","94.42","95.39","94.47","77.34","63.51","62.65","68.54","61.9","62.78","54.56"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-21.3286","-21.566","-21.1374","-21.2496","-20.828","-20.568","-20.9039","-21.5871","-21.598","-17.3374","-16.8374","-12.1473","-7.2551","-7.6282","-21.0639","-39.3703","-39.0299","-39.1873","-39.2776","-40.2164","-40.5431","-40.6952","-40.3149","-39.5943","-39.8968","-40.1204","-28.1578","-13.8257","-14.0923","-8.2847","-8.5486","-8.4817","-7.1775"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-16.4466","-15.7424","-11.3151","-6.8361","-6.8361","-18.8884","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-22.3726","-9.6045","-9.6044","-9.6045","-9.6045","-9.6044","-7.4772"
"MD DIFF(P-B)","-1.5504","-1.7878","-1.3592","-1.4714","-1.0498","-0.789800000000003","-1.1257","-1.8089","-1.8198","-0.890799999999999","-1.095","-0.8322","-0.419","-0.7921","-2.1755","-5.4453","-5.1049","-5.2623","-5.3526","-6.2914","-6.61810000000001","-6.7702","-6.3899","-5.6693","-5.9718","-6.1954","-5.7852","-4.2212","-4.4879","1.3198","1.0559","1.1227","0.2997"
