"","2015-12-28_to_2018-12-29_ValuePortfolio_2QRank","2016-01-28_to_2019-01-29_ValuePortfolio_2QRank","2016-02-29_to_2019-03-01_ValuePortfolio_2QRank","2016-03-28_to_2019-03-29_ValuePortfolio_2QRank","2016-04-28_to_2019-04-29_ValuePortfolio_2QRank","2016-05-31_to_2019-05-29_ValuePortfolio_2QRank","2016-06-28_to_2019-06-29_ValuePortfolio_2QRank","2016-07-28_to_2019-07-29_ValuePortfolio_2QRank","2016-08-29_to_2019-08-29_ValuePortfolio_2QRank","2016-09-28_to_2019-09-29_ValuePortfolio_2QRank","2016-10-28_to_2019-10-29_ValuePortfolio_2QRank","2016-11-28_to_2019-11-29_ValuePortfolio_2QRank","2016-12-28_to_2019-12-29_ValuePortfolio_2QRank","2017-01-30_to_2020-01-29_ValuePortfolio_2QRank","2017-02-28_to_2020-02-29_ValuePortfolio_2QRank","2017-03-28_to_2020-03-29_ValuePortfolio_2QRank","2017-04-28_to_2020-04-29_ValuePortfolio_2QRank","2017-05-30_to_2020-05-29_ValuePortfolio_2QRank","2017-06-28_to_2020-06-29_ValuePortfolio_2QRank","2017-07-28_to_2020-07-29_ValuePortfolio_2QRank","2017-08-28_to_2020-08-29_ValuePortfolio_2QRank","2017-09-28_to_2020-09-29_ValuePortfolio_2QRank","2017-10-30_to_2020-10-29_ValuePortfolio_2QRank","2017-11-28_to_2020-11-29_ValuePortfolio_2QRank","2017-12-28_to_2020-12-29_ValuePortfolio_2QRank","2018-01-29_to_2021-01-29_ValuePortfolio_2QRank","2018-02-28_to_2021-03-01_ValuePortfolio_2QRank","2018-03-28_to_2021-03-29_ValuePortfolio_2QRank","2018-04-30_to_2021-04-29_ValuePortfolio_2QRank","2018-05-29_to_2021-05-29_ValuePortfolio_2QRank","2018-06-28_to_2021-06-29_ValuePortfolio_2QRank","2018-07-30_to_2021-07-29_ValuePortfolio_2QRank","2018-08-28_to_2021-08-29_ValuePortfolio_2QRank","2018-09-28_to_2021-09-29_ValuePortfolio_2QRank","2018-10-29_to_2021-10-29_ValuePortfolio_2QRank","2018-11-28_to_2021-11-29_ValuePortfolio_2QRank"
"P Information Ratio","0.33","1.06","0.97","0.98","0.75","0.09","0.64","0.64","0.41","0.39","0.54","0.73","0.53","0.42","-0.55","-0.57","-0.93","0.54","0.32","0.5","0.6","-0.81","-0.58","-0.84","-0.19","-0.43","-0.87","-0.24","0.47","-0.89","-0.45","-0.31","-0.03","-0.23","-0.04","-0.04"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.1","0.35","0.33","0.4","0.19","-0.02","0.08","0.18","0.18","0.33","0.22","0.54","0.65","0.33","-0.19","-0.07","-0.67","0.62","0.65","0.49","0.56","-0.47","-0.32","-0.44","-0.12","-0.22","-0.3","-0.25","0.14","-0.51","-0.31","-0.42","-0.22","-0.4","-0.44","-0.44"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.29","1.3","1.37","1.25","1.24","1.23","1.34","1.05","0.94","0.97","1.04","0.85","0.67","0.78","0.91","0.85","1.09","1.29","1.28","1.26","1.36","1.09","1.12","1.04","1.06","0.92","0.83","1.17","1.11","1.04","1.2","1.29","1.25","1.24","1.39","1.36"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","65.53","72.48","75.81","80.19","82.59","81.18","82.63","88.35","84.6","81.32","73.19","67.12","45.23","64.89","85.35","82.4","83.77","57.07","61.56","61.29","64.36","91.09","91.62","91.88","92.96","88.11","83.9","92.57","92.67","89.37","91.1","92.24","92.92","87.23","86","85.76"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-25.1938","-26.8188","-27.894","-25.7199","-25.238","-26.5506","-26.6284","-20.9972","-19.4592","-19.7368","-20.6014","-17.6641","-13.7801","-16.0328","-18.4035","-35.3496","-37.6357","-46.7859","-45.3866","-44.562","-45.5558","-36.8983","-37.2198","-38.1744","-38.27","-37.5709","-36.8218","-39.1458","-39.4498","-39.2614","-41.7003","-41.4051","-40.6368","-41.3418","-46.1168","-43.8659"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-5.4156","-7.0406","-8.1158","-5.9417","-5.4598","-6.7724","-6.8502","-1.219","0.318999999999999","0.0413999999999994","-0.823200000000003","2.1141","5.9981","3.7454","1.3747","-1.42460000000001","-3.7107","-12.8609","-11.4616","-10.637","-11.6308","-2.9733","-3.2948","-4.2494","-4.34500000000001","-3.6459","-2.89680000000001","-5.2208","-5.52480000000001","-5.3364","-7.7753","-7.4801","-6.7118","-7.4168","-12.1918","-9.94090000000001"
