"","2016-12-28_to_2019-12-29_CorePortfolio_6QRank","2017-01-30_to_2020-01-29_CorePortfolio_6QRank","2017-02-28_to_2020-02-29_CorePortfolio_6QRank","2017-03-28_to_2020-03-29_CorePortfolio_6QRank","2017-04-28_to_2020-04-29_CorePortfolio_6QRank","2017-05-30_to_2020-05-29_CorePortfolio_6QRank","2017-06-28_to_2020-06-29_CorePortfolio_6QRank","2017-07-28_to_2020-07-29_CorePortfolio_6QRank","2017-08-28_to_2020-08-29_CorePortfolio_6QRank","2017-09-28_to_2020-09-29_CorePortfolio_6QRank","2017-10-30_to_2020-10-29_CorePortfolio_6QRank","2017-11-28_to_2020-11-29_CorePortfolio_6QRank","2017-12-28_to_2020-12-29_CorePortfolio_6QRank","2018-01-29_to_2021-01-29_CorePortfolio_6QRank","2018-02-28_to_2021-03-01_CorePortfolio_6QRank","2018-03-28_to_2021-03-29_CorePortfolio_6QRank","2018-04-30_to_2021-04-29_CorePortfolio_6QRank","2018-05-29_to_2021-05-29_CorePortfolio_6QRank","2018-06-28_to_2021-06-29_CorePortfolio_6QRank","2018-07-30_to_2021-07-29_CorePortfolio_6QRank","2018-08-28_to_2021-08-29_CorePortfolio_6QRank","2018-09-28_to_2021-09-29_CorePortfolio_6QRank","2018-10-29_to_2021-10-29_CorePortfolio_6QRank","2018-11-28_to_2021-11-29_CorePortfolio_6QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.13","0.3","-0.05","-0.22","-0.37","-0.37","-0.51","-0.26","-0.63","-0.27","-0.25","0.6","1.05","1.24","0.16","0.21","0.15","-0.18","-0.2","-0.1","-0.04","-0.15","-0.22","-0.2"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.07","0.07","0.05","0.06","-0.11","-0.15","-0.11","-0.13","-0.12","-0.14","-0.08","0.14","0.34","0.53","0.05","0.01","-0.01","-0.1","-0.02","-0.06","-0.03","-0.07","-0.08","-0.13"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.98","0.96","0.95","0.96","1.04","1.03","1.03","1.04","1.04","1.01","0.97","0.99","1.04","1.08","1","1.03","1.07","1.02","1.03","1.03","1.04","1.02","1.04","1.07"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","95.98","95.89","95.78","96.42","96.24","96.44","96.27","96.43","96.53","96.28","95.54","92.93","93.27","91.61","96.25","97.17","96.76","94.79","94.79","95.79","95.4","94.04","95.45","95.38"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-18.8001","-18.7285","-18.7718","-37.7559","-37.8071","-37.8664","-37.9429","-37.7913","-37.7008","-37.4386","-37.1551","-37.9686","-37.5145","-37.9023","-36.73","-37.2517","-37.8552","-37.9802","-37.853","-37.7044","-37.8847","-37.8924","-37.7566","-38.6332"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","0.978099999999998","1.0497","1.0064","-3.8309","-3.8821","-3.9414","-4.0179","-3.8663","-3.7758","-3.5136","-3.2301","-4.0436","-3.5895","-3.9773","-2.805","-3.3267","-3.93020000000001","-4.05520000000001","-3.928","-3.7794","-3.95970000000001","-3.9674","-3.8316","-4.70820000000001"
