"","1 Y 2017-04-18 to 2019-04-19","1 Y 2017-05-18 to 2019-05-19","1 Y 2017-06-19 to 2019-06-19","1 Y 2017-07-18 to 2019-07-19","1 Y 2017-08-18 to 2019-08-19","1 Y 2017-09-18 to 2019-09-19","1 Y 2017-10-18 to 2019-10-19","1 Y 2017-11-20 to 2019-11-19","1 Y 2017-12-18 to 2019-12-19","1 Y 2018-01-18 to 2020-01-19","1 Y 2018-02-20 to 2020-02-19","1 Y 2018-03-19 to 2020-03-19","1 Y 2018-04-18 to 2020-04-19","1 Y 2018-05-18 to 2020-05-19","1 Y 2018-06-18 to 2020-06-19","1 Y 2018-07-18 to 2020-07-19","1 Y 2018-08-20 to 2020-08-19","1 Y 2018-09-18 to 2020-09-19","1 Y 2018-10-18 to 2020-10-19","1 Y 2018-11-19 to 2020-11-19","1 Y 2018-12-18 to 2020-12-19","1 Y 2019-01-18 to 2021-01-19","1 Y 2019-02-19 to 2021-02-19","1 Y 2019-03-18 to 2021-03-19","1 Y 2019-04-18 to 2021-04-19","1 Y 2019-05-20 to 2021-05-19","1 Y 2019-06-18 to 2021-06-19","1 Y 2019-07-18 to 2021-07-19","1 Y 2019-08-19 to 2021-08-19","1 Y 2019-09-18 to 2021-09-19","1 Y 2019-10-18 to 2021-10-19","1 Y 2019-11-18 to 2021-11-19","1 Y 2019-12-18 to 2021-12-19","2 Y 2017-04-18 to 2019-04-19","2 Y 2017-05-18 to 2019-05-19","2 Y 2017-06-19 to 2019-06-19","2 Y 2017-07-18 to 2019-07-19","2 Y 2017-08-18 to 2019-08-19","2 Y 2017-09-18 to 2019-09-19","2 Y 2017-10-18 to 2019-10-19","2 Y 2017-11-20 to 2019-11-19","2 Y 2017-12-18 to 2019-12-19","2 Y 2018-01-18 to 2020-01-19","2 Y 2018-02-20 to 2020-02-19","2 Y 2018-03-19 to 2020-03-19","2 Y 2018-04-18 to 2020-04-19","2 Y 2018-05-18 to 2020-05-19","2 Y 2018-06-18 to 2020-06-19","2 Y 2018-07-18 to 2020-07-19","2 Y 2018-08-20 to 2020-08-19","2 Y 2018-09-18 to 2020-09-19","2 Y 2018-10-18 to 2020-10-19","2 Y 2018-11-19 to 2020-11-19","2 Y 2018-12-18 to 2020-12-19","2 Y 2019-01-18 to 2021-01-19","2 Y 2019-02-19 to 2021-02-19","2 Y 2019-03-18 to 2021-03-19","2 Y 2019-04-18 to 2021-04-19","2 Y 2019-05-20 to 2021-05-19","2 Y 2019-06-18 to 2021-06-19","2 Y 2019-07-18 to 2021-07-19","2 Y 2019-08-19 to 2021-08-19","2 Y 2019-09-18 to 2021-09-19","2 Y 2019-10-18 to 2021-10-19","2 Y 2019-11-18 to 2021-11-19","2 Y 2019-12-18 to 2021-12-19"
"P Information Ratio","-0.02","0.19","-0.2","0.18","0.81","0.06","0.35","-0.21","0.51","0.78","1.94","-1.3","-0.39","0.23","0.11","-0.64","0.02","0.38","1.28","1.22","1.74","1.86","1.33","5.5","3.68","3.13","2.91","2.7","2.09","2.51","2.33","2.93","1.22","0.59","0.95","0.94","1.06","1.32","0.67","0.52","0.01","0.21","0.59","0.94","-0.52","-0.34","-0.23","-0.34","-0.76","-0.4","0.17","0.8","0.7","1.13","1.07","0.58","0.48","0.4","0.92","0.61","0.53","0.44","0.56","0.81","1.21","0.72"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.08","-0.31","-0.23","0.22","0.43","0.12","0.17","-0.24","-0.08","0.17","0.14","0.08","-0.12","-0.12","0.1","-0.27","-0.13","0.05","0.36","0.57","0.78","0.8","0.39","1.34","1.22","0.88","1.16","1.29","1.12","0.97","0.73","1.11","0.72","0.11","0.2","0.31","0.39","0.53","0.21","0.19","-0.03","-0.02","0.17","0.12","0.01","-0.18","-0.24","-0.16","-0.27","-0.25","-0.03","0.08","0.15","0.22","0.16","0.05","0.08","0.13","0.16","0.05","0.12","0.01","-0.01","0.14","0.29","0.21"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.25","1.26","1.16","1.21","1.24","1.22","1.16","1.15","1.13","0.94","0.96","0.91","1.12","1.15","1.2","1.19","1.19","1.17","1.17","1.15","1.17","1.16","1.21","1.04","1.01","1.11","0.95","0.94","1.03","1.01","1.09","0.92","0.97","1.17","1.19","1.12","1.14","1.16","1.14","1.13","1.12","1.12","1.09","1.12","1.07","1.15","1.16","1.18","1.19","1.19","1.18","1.17","1.15","1.17","1.15","1.16","1.18","1.15","1.21","1.17","1.19","1.22","1.19","1.2","1.28","1.27"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","93.56","93.5","91.25","94.7","92.17","95.49","90.21","94.33","91.85","86.68","90.09","95.31","92.71","96.65","95.94","98.57","98.24","94.21","94.25","91.89","94.53","94.53","94.31","93.36","87.84","87.89","87.13","86.39","84.18","80.48","85.29","74.78","80.86","91.73","89.03","87.8","89.18","86.81","91.23","88.26","91.32","91.96","89.84","91.18","93.58","94.12","96.48","96.23","98.34","98.01","95.87","95.17","93.38","94.22","94.07","93.84","94.66","94.52","94.38","93.59","93.06","92.31","93.12","93.22","92.9","93.55"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-23.8282","-24.1037","-24.3508","-24.0172","-24.8243","-23.9618","-19","-17.7292","-7.1943","-6.6095","-6.7566","-34.4575","-37.4301","-36.9976","-37.1818","-36.8388","-37.111","-37.7374","-38.1885","-38.6957","-38.0841","-38.1498","-37.9176","-9.7961","-9.6311","-9.4158","-8.9261","-8.7833","-8.6679","-6.4814","-6.5361","-5.2527","-7.0501","-23.8282","-24.1037","-24.3508","-24.0172","-24.8243","-24.2769","-24.0741","-23.9205","-24.0532","-23.0948","-23.5989","-34.4575","-37.4301","-36.9976","-37.1818","-36.8388","-37.111","-37.7374","-38.1885","-38.6957","-38.0841","-38.1498","-37.9486","-38.2164","-37.5882","-38.5184","-38.1248","-38.4264","-39.825","-38.9396","-39.3536","-40.7457","-40.6777"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-16.4466","-15.7424","-6.8361","-6.8361","-6.8361","-29.5327","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.6719","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4772","-5.6395","-5.2125","-5.2125","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-29.5327","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-4.05","-4.3255","-4.5726","-4.239","-5.0461","-4.1836","-2.5534","-1.9868","-0.3582","0.2266","0.0795000000000003","-4.9248","-3.50510000000001","-3.0726","-3.25680000000001","-2.9138","-3.186","-3.8124","-4.2635","-4.77070000000001","-4.1591","-4.2248","-4.2457","-0.191599999999999","-0.0266000000000002","0.188699999999999","0.6784","0.821199999999999","0.9366","0.9958","-0.8966","-0.0401999999999996","-1.8376","-4.05","-4.3255","-4.5726","-4.239","-5.0461","-4.4987","-4.2959","-4.1423","-4.275","-3.3166","-3.8207","-4.9248","-3.50510000000001","-3.0726","-3.25680000000001","-2.9138","-3.186","-3.8124","-4.2635","-4.77070000000001","-4.1591","-4.2248","-4.0236","-4.2914","-3.6632","-4.5934","-4.1998","-4.5014","-5.90000000000001","-5.0146","-5.4286","-6.8207","-6.7527"
