"","2016-03-28_to_2017-03-29_VGPortfolio_3QRank","2016-04-28_to_2017-04-29_VGPortfolio_3QRank","2016-05-31_to_2017-05-29_VGPortfolio_3QRank","2016-06-28_to_2017-06-29_VGPortfolio_3QRank","2016-07-28_to_2017-07-29_VGPortfolio_3QRank","2016-08-29_to_2017-08-29_VGPortfolio_3QRank","2016-09-28_to_2017-09-29_VGPortfolio_3QRank","2016-10-28_to_2017-10-29_VGPortfolio_3QRank","2016-11-28_to_2017-11-29_VGPortfolio_3QRank","2016-12-28_to_2017-12-29_VGPortfolio_3QRank","2017-01-30_to_2018-01-29_VGPortfolio_3QRank","2017-02-28_to_2018-03-01_VGPortfolio_3QRank","2017-03-28_to_2018-03-29_VGPortfolio_3QRank","2017-04-28_to_2018-04-29_VGPortfolio_3QRank","2017-05-30_to_2018-05-29_VGPortfolio_3QRank","2017-06-28_to_2018-06-29_VGPortfolio_3QRank","2017-07-28_to_2018-07-29_VGPortfolio_3QRank","2017-08-28_to_2018-08-29_VGPortfolio_3QRank","2017-09-28_to_2018-09-29_VGPortfolio_3QRank","2017-10-30_to_2018-10-29_VGPortfolio_3QRank","2017-11-28_to_2018-11-29_VGPortfolio_3QRank","2017-12-28_to_2018-12-29_VGPortfolio_3QRank","2018-01-29_to_2019-01-29_VGPortfolio_3QRank","2018-02-28_to_2019-03-01_VGPortfolio_3QRank","2018-03-28_to_2019-03-29_VGPortfolio_3QRank","2018-04-30_to_2019-04-29_VGPortfolio_3QRank","2018-05-29_to_2019-05-29_VGPortfolio_3QRank","2018-06-28_to_2019-06-29_VGPortfolio_3QRank","2018-07-30_to_2019-07-29_VGPortfolio_3QRank","2018-08-28_to_2019-08-29_VGPortfolio_3QRank","2018-09-28_to_2019-09-29_VGPortfolio_3QRank","2018-10-29_to_2019-10-29_VGPortfolio_3QRank","2018-11-28_to_2019-11-29_VGPortfolio_3QRank","2018-12-28_to_2019-12-29_VGPortfolio_3QRank","2019-01-28_to_2020-01-29_VGPortfolio_3QRank","2019-02-28_to_2020-02-29_VGPortfolio_3QRank","2019-03-28_to_2020-03-29_VGPortfolio_3QRank","2019-04-29_to_2020-04-29_VGPortfolio_3QRank","2019-05-28_to_2020-05-29_VGPortfolio_3QRank","2019-06-28_to_2020-06-29_VGPortfolio_3QRank","2019-07-29_to_2020-07-29_VGPortfolio_3QRank","2019-08-28_to_2020-08-29_VGPortfolio_3QRank","2019-09-30_to_2020-09-29_VGPortfolio_3QRank","2019-10-28_to_2020-10-29_VGPortfolio_3QRank","2019-11-29_to_2020-11-29_VGPortfolio_3QRank","2019-12-30_to_2020-12-29_VGPortfolio_3QRank","2020-01-28_to_2021-01-29_VGPortfolio_3QRank","2020-02-28_to_2021-03-01_VGPortfolio_3QRank","2020-03-30_to_2021-03-29_VGPortfolio_3QRank","2020-04-28_to_2021-04-29_VGPortfolio_3QRank","2020-05-28_to_2021-05-29_VGPortfolio_3QRank","2020-06-29_to_2021-06-29_VGPortfolio_3QRank","2020-07-28_to_2021-07-29_VGPortfolio_3QRank","2020-08-28_to_2021-08-29_VGPortfolio_3QRank","2020-09-28_to_2021-09-29_VGPortfolio_3QRank","2020-10-28_to_2021-10-29_VGPortfolio_3QRank","2020-11-30_to_2021-11-29_VGPortfolio_3QRank"
"P Information Ratio","1.96","2.62","2.35","1.83","1.24","1.23","1.5","1.03","0.92","1.16","0.09","1.44","1.17","0.37","2.17","2.01","1.83","2.15","1.62","1.42","0.97","0.38","1.28","1.23","0.41","-0.34","-0.13","-0.29","-0.19","-0.07","-0.15","1.22","-0.16","-0.32","-1.52","-1.72","-2.07","-0.79","-0.6","-0.63","-0.29","-0.36","-0.1","-0.28","0.59","0.62","0.95","1.85","3.85","2.51","2.7","2.34","1.85","2.16","2.44","2.03","0.88"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.31","0.37","0.29","0.09","0.12","0.15","-0.03","-0.22","0.09","0.05","-0.19","0.29","0.09","0.19","0.42","0.62","0.78","1.01","0.75","0.72","0.34","0.28","0.36","0.2","0.16","-0.08","-0.16","-0.17","-0.04","0.06","0","0.2","-0.22","-0.79","-0.72","-0.82","-0.32","-0.49","-0.52","-0.55","-0.46","-0.48","-0.58","-0.56","0","0.39","0.26","1.44","1.84","1.47","1.39","1.51","1.46","1.1","0.79","1.26","1.46"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.3","1.27","1.18","1.34","1.29","1.24","1.31","1.39","0.98","1.14","1.15","0.98","0.95","0.93","0.94","0.93","1","0.83","0.81","0.89","1.07","0.99","1.01","1.1","1.14","1.13","1.09","1.15","1.16","1.13","1.19","1.14","1.19","1.33","1.23","1.17","1.04","1.21","1.2","1.3","1.33","1.33","1.32","1.26","1.27","1.36","1.34","1.15","1.32","1.14","1.13","1.1","1.2","1.3","1.3","1.21","0.63"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","80.16","89.58","86.48","79.98","78.92","77.94","72.06","59.37","63.51","67.47","87.17","91.04","90.94","87.24","84.44","79.38","82.67","68.12","77.59","84.53","86.85","84.03","89.03","95.51","96.7","95.97","94.9","97.22","97.58","98.45","98.66","97.49","97.26","96.9","95.79","96.81","94.6","95.94","97.66","96.42","96.17","96.98","97.44","94.93","92.2","93.79","94.62","87.42","78.9","69.41","67.82","63.26","68.71","70.95","62.3","56.24","41.57"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-6.9445","-6.9477","-6.9533","-5.1809","-5.4097","-4.8278","-4.18","-3.4321","-3.4893","-3.3132","-3.4662","-10.2004","-10.0011","-10.0842","-10.1841","-10.1933","-10.2856","-10.2567","-10.6062","-11.3638","-12.0092","-21.5444","-19.8835","-20.0846","-21.2068","-21.9138","-20.5585","-22.1631","-21.8879","-21.7672","-21.5019","-16.7598","-16.9372","-8.478","-8.8328","-12.927","-38.4798","-38.5527","-38.4864","-39.7347","-40.1696","-40.2579","-40.2065","-40.1831","-39.7495","-40.5528","-40.529","-35.5628","-15.7158","-15.4384","-15.0222","-8.9897","-8.8854","-8.9279","-7.3072","-7.3195","-6.1771"
"B Max Drawdown","-5.5957","-5.5957","-5.5957","-4.7928","-4.7928","-4.633","-3.8321","-2.7968","-2.7968","-2.7968","-2.7968","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1596","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7423","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6044","-9.6045","-7.4772","-5.2125","-5.2125"
"MD DIFF(P-B)","-1.3488","-1.352","-1.3576","-0.388100000000001","-0.6169","-0.1948","-0.3479","-0.6353","-0.6925","-0.5164","-0.6694","-0.0409000000000006","0.1584","0.0753000000000004","-0.0246000000000013","-0.0338000000000012","-0.126100000000001","-0.0972000000000008","-0.4467","-1.2042","-1.8347","-1.7662","-0.105300000000003","-0.3064","-1.4286","-2.1356","-0.7803","-2.3849","-2.1097","-1.989","-1.8674","-0.313199999999998","-1.1949","-1.6419","-1.9967","-0.171199999999999","-4.5548","-4.6277","-4.56140000000001","-5.8097","-6.24460000000001","-6.3329","-6.2815","-6.25810000000001","-5.8245","-6.6278","-6.60400000000001","-7.0425","-6.1113","-5.8339","-5.4177","0.614800000000001","0.718999999999999","0.676600000000001","0.17","-2.107","-0.9646"
