"","2016-03-28_to_2017-03-29_CorePortfolio_3QRank","2016-04-28_to_2017-04-29_CorePortfolio_3QRank","2016-05-31_to_2017-05-29_CorePortfolio_3QRank","2016-06-28_to_2017-06-29_CorePortfolio_3QRank","2016-07-28_to_2017-07-29_CorePortfolio_3QRank","2016-08-29_to_2017-08-29_CorePortfolio_3QRank","2016-09-28_to_2017-09-29_CorePortfolio_3QRank","2016-10-28_to_2017-10-29_CorePortfolio_3QRank","2016-11-28_to_2017-11-29_CorePortfolio_3QRank","2016-12-28_to_2017-12-29_CorePortfolio_3QRank","2017-01-30_to_2018-01-29_CorePortfolio_3QRank","2017-02-28_to_2018-03-01_CorePortfolio_3QRank","2017-03-28_to_2018-03-29_CorePortfolio_3QRank","2017-04-28_to_2018-04-29_CorePortfolio_3QRank","2017-05-30_to_2018-05-29_CorePortfolio_3QRank","2017-06-28_to_2018-06-29_CorePortfolio_3QRank","2017-07-28_to_2018-07-29_CorePortfolio_3QRank","2017-08-28_to_2018-08-29_CorePortfolio_3QRank","2017-09-28_to_2018-09-29_CorePortfolio_3QRank","2017-10-30_to_2018-10-29_CorePortfolio_3QRank","2017-11-28_to_2018-11-29_CorePortfolio_3QRank","2017-12-28_to_2018-12-29_CorePortfolio_3QRank","2018-01-29_to_2019-01-29_CorePortfolio_3QRank","2018-02-28_to_2019-03-01_CorePortfolio_3QRank","2018-03-28_to_2019-03-29_CorePortfolio_3QRank","2018-04-30_to_2019-04-29_CorePortfolio_3QRank","2018-05-29_to_2019-05-29_CorePortfolio_3QRank","2018-06-28_to_2019-06-29_CorePortfolio_3QRank","2018-07-30_to_2019-07-29_CorePortfolio_3QRank","2018-08-28_to_2019-08-29_CorePortfolio_3QRank","2018-09-28_to_2019-09-29_CorePortfolio_3QRank","2018-10-29_to_2019-10-29_CorePortfolio_3QRank","2018-11-28_to_2019-11-29_CorePortfolio_3QRank","2018-12-28_to_2019-12-29_CorePortfolio_3QRank","2019-01-28_to_2020-01-29_CorePortfolio_3QRank","2019-02-28_to_2020-02-29_CorePortfolio_3QRank","2019-03-28_to_2020-03-29_CorePortfolio_3QRank","2019-04-29_to_2020-04-29_CorePortfolio_3QRank","2019-05-28_to_2020-05-29_CorePortfolio_3QRank","2019-06-28_to_2020-06-29_CorePortfolio_3QRank","2019-07-29_to_2020-07-29_CorePortfolio_3QRank","2019-08-28_to_2020-08-29_CorePortfolio_3QRank","2019-09-30_to_2020-09-29_CorePortfolio_3QRank","2019-10-28_to_2020-10-29_CorePortfolio_3QRank","2019-11-29_to_2020-11-29_CorePortfolio_3QRank","2019-12-30_to_2020-12-29_CorePortfolio_3QRank","2020-01-28_to_2021-01-29_CorePortfolio_3QRank","2020-02-28_to_2021-03-01_CorePortfolio_3QRank","2020-03-30_to_2021-03-29_CorePortfolio_3QRank","2020-04-28_to_2021-04-29_CorePortfolio_3QRank","2020-05-28_to_2021-05-29_CorePortfolio_3QRank","2020-06-29_to_2021-06-29_CorePortfolio_3QRank","2020-07-28_to_2021-07-29_CorePortfolio_3QRank","2020-08-28_to_2021-08-29_CorePortfolio_3QRank","2020-09-28_to_2021-09-29_CorePortfolio_3QRank","2020-10-28_to_2021-10-29_CorePortfolio_3QRank","2020-11-30_to_2021-11-29_CorePortfolio_3QRank"
"P Information Ratio","1.78","0.69","0.54","1.69","1.05","0.05","0.53","2.93","2.5","1.92","1.18","0.31","2.22","1.43","0.61","0.39","0.01","-0.47","-0.88","-0.74","-0.87","-0.49","0.21","0.57","-0.43","-0.1","-0.11","0.25","0.35","0.61","1.43","0.47","-0.05","0.66","-0.22","-0.69","-2.17","-1.14","-1.22","-1.56","-1.63","-2.04","-1.68","-1.09","-1","-1.32","-0.85","-0.18","1.59","1.59","1.38","1.13","0.69","1.4","1.24","0.57","-0.34"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.07","-0.1","-0.13","0.11","0.11","-0.13","-0.09","0.14","0.3","0.38","0.25","0.08","0.21","0.5","0.34","0.24","0.2","0.13","0.09","0.04","-0.31","-0.09","-0.05","-0.01","-0.03","0.01","-0.04","0.06","0.07","0.12","0.26","0.1","0.04","0.23","0.17","-0.02","-0.1","-0.36","-0.73","-0.6","-0.77","-0.84","-1.06","-0.61","-0.56","-0.56","-0.48","0.79","0.87","1.06","0.94","1.2","0.87","0.81","0.47","-0.04","0.05"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.15","1.13","1.2","1.11","1.09","1.12","1.1","1.05","0.93","0.95","0.97","0.93","0.94","0.8","0.79","0.82","0.79","0.83","0.83","0.79","0.86","0.93","1.03","1.09","1.07","1.06","1.06","0.99","0.99","1.02","0.99","1.06","1.02","0.98","0.92","0.94","1","1.13","1.16","1.12","1.11","1.15","1.1","1.07","1.05","1.02","1.05","0.86","0.88","0.89","0.85","0.84","0.86","0.93","1.01","1.12","0.97"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","94.49","93.23","91.16","92.29","90.51","92.1","94.1","92.24","87.46","85.93","81.04","93.22","94.55","90.06","87.2","88.03","89.66","87.73","90.94","88.43","94.96","95.08","97.13","98.56","98.29","97.16","97.86","97.59","98.26","97.9","98.21","98.59","98.07","96.38","95.38","96.43","97.86","96.78","97.82","97.64","97.36","97.28","96.3","95.97","95.58","95.09","94.66","89.33","88.92","82.99","79.53","83.9","75.64","81.39","80.46","88.04","77.41"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-6.5053","-6.3753","-6.425","-4.9031","-4.9174","-5.1732","-4.2837","-2.6725","-2.3222","-2.5949","-2.3819","-9.5393","-9.6551","-9.5929","-9.5541","-9.5669","-9.4597","-9.5625","-9.2294","-10.9126","-10.5726","-19.385","-20.043","-20.179","-19.5892","-18.9118","-19.6857","-18.6853","-18.7905","-18.8978","-17.3301","-16.0247","-15.6118","-5.971","-5.7958","-12.8643","-38.8232","-38.5105","-38.8537","-38.0915","-38.0498","-38.7393","-37.9157","-37.8644","-38.3553","-37.6242","-37.9978","-32.4615","-10.6658","-10.7102","-11.0428","-6.7988","-6.8753","-6.9376","-6.3735","-5.6929","-5.073"
"B Max Drawdown","-5.5957","-5.5957","-5.5957","-4.7928","-4.7928","-4.633","-3.8321","-2.7968","-2.7968","-2.7968","-2.7968","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1596","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7423","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6044","-9.6045","-7.4772","-5.2125","-5.2125"
"MD DIFF(P-B)","-0.9096","-0.7796","-0.8293","-0.110300000000001","-0.1246","-0.5402","-0.4516","0.1243","0.4746","0.2019","0.4149","0.620199999999999","0.5044","0.566599999999999","0.605399999999999","0.592599999999999","0.6998","0.597","0.930099999999999","-0.753","-0.398099999999999","0.393199999999997","-0.264800000000001","-0.4008","0.188999999999997","0.866399999999999","0.0924999999999976","1.0929","0.987699999999997","0.880399999999998","2.3044","0.421900000000001","0.1305","0.8651","1.0403","-0.108499999999999","-4.8982","-4.5855","-4.92870000000001","-4.16650000000001","-4.1248","-4.8143","-3.9907","-3.93940000000001","-4.4303","-3.6992","-4.0728","-3.9412","-1.0613","-1.1057","-1.4383","2.8057","2.7291","2.6669","1.1037","-0.480399999999999","0.1395"
