"","1 Y 2017-01-10 to 2018-01-11","1 Y 2017-02-10 to 2018-02-11","1 Y 2017-03-10 to 2018-03-11","1 Y 2017-04-10 to 2018-04-11","1 Y 2017-05-10 to 2018-05-11","1 Y 2017-06-12 to 2018-06-11","1 Y 2017-07-10 to 2018-07-11","1 Y 2017-08-10 to 2018-08-11","1 Y 2017-09-11 to 2018-09-11","1 Y 2017-10-10 to 2018-10-11","1 Y 2017-11-10 to 2018-11-11","1 Y 2017-12-11 to 2018-12-11","1 Y 2018-01-10 to 2019-01-11","1 Y 2018-02-12 to 2019-02-11","1 Y 2018-03-12 to 2019-03-11","1 Y 2018-04-10 to 2019-04-11","1 Y 2018-05-10 to 2019-05-11","1 Y 2018-06-11 to 2019-06-11","1 Y 2018-07-10 to 2019-07-11","1 Y 2018-08-10 to 2019-08-11","1 Y 2018-09-10 to 2019-09-11","1 Y 2018-10-10 to 2019-10-11","1 Y 2018-11-12 to 2019-11-11","1 Y 2018-12-10 to 2019-12-11","1 Y 2019-01-10 to 2020-01-11","1 Y 2019-02-11 to 2020-02-11","1 Y 2019-03-11 to 2020-03-11","1 Y 2019-04-10 to 2020-04-11","1 Y 2019-05-10 to 2020-05-11","1 Y 2019-06-10 to 2020-06-11","1 Y 2019-07-10 to 2020-07-11","1 Y 2019-08-12 to 2020-08-11","1 Y 2019-09-10 to 2020-09-11","1 Y 2019-10-10 to 2020-10-11","1 Y 2019-11-11 to 2020-11-11","1 Y 2019-12-10 to 2020-12-11","1 Y 2020-01-10 to 2021-01-11","1 Y 2020-02-10 to 2021-02-11","1 Y 2020-03-10 to 2021-03-11","1 Y 2020-04-10 to 2021-04-11","1 Y 2020-05-11 to 2021-05-11","1 Y 2020-06-10 to 2021-06-11","1 Y 2020-07-10 to 2021-07-11","1 Y 2020-08-10 to 2021-08-11","1 Y 2020-09-10 to 2021-09-11"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.16","0.13","0.27","0.53","0.6","0.8","0.69","0.87","0.49","0.61","0.16","0.09","0.24","0.4","0.09","-0.02","-0.15","-0.02","-0.12","-0.1","-0.28","-0.23","-0.19","-0.38","-0.46","-0.53","-0.35","-0.52","-0.4","-0.53","-0.45","-0.63","-0.73","-0.84","-0.16","0.12","0.24","-0.45","1.54","1.49","1.56","1.5","1.47","1.19","0.88"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.14","0.98","0.89","0.84","0.89","0.91","0.92","0.81","0.87","0.83","0.98","0.96","1.07","1.06","1.14","1.17","1.09","1.09","1.17","1.2","1.18","1.21","1.15","1.19","1.17","1.11","1.03","1.21","1.2","1.25","1.24","1.27","1.29","1.24","1.26","1.27","1.22","1.28","1.08","1.02","0.98","0.97","1.04","1.09","1.08"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","84.47","88.49","92.97","88.82","89.03","83.82","80.87","77.03","90.48","85.99","90.09","89.46","91.98","94.9","97.2","97.39","96.23","96.54","98.39","98.39","98.46","98.41","98.07","96.52","97.48","98.31","98.35","97.14","98.31","97.78","97.84","97.46","97.23","95.1","94.85","95.91","96.18","95.33","78.86","62.48","60.78","61.96","61.24","56.1","54.11"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-3.2736","-9.4126","-9.4395","-9.7174","-10.0194","-9.9341","-10.0683","-9.8901","-9.9914","-9.5422","-11.4593","-11.5469","-20.7052","-19.5559","-20.4046","-21.2102","-20.4166","-20.2601","-22.0476","-22.61","-22.1642","-17.6438","-16.1989","-11.3017","-7.8369","-7.7451","-21.4738","-38.6159","-38.07","-39.3264","-38.6385","-39.7376","-40.1998","-40.196","-40.1874","-39.8172","-39.427","-39.6029","-23.2209","-14.0618","-14.4981","-8.3723","-8.4652","-8.1692","-6.7467"
"B Max Drawdown","-2.7968","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-16.4466","-15.7424","-11.3151","-6.8361","-6.8361","-19.0414","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-18.3842","-9.6045","-9.6044","-9.6045","-9.6045","-9.6044","-7.4772"
"MD DIFF(P-B)","-0.4768","0.7469","0.719999999999999","0.4421","0.1401","0.225399999999999","0.0911999999999988","0.269399999999999","0.168099999999999","0.6173","-1.2998","-1.3724","-0.927000000000003","0.222299999999997","-0.6264","-1.432","-0.638400000000001","-0.481900000000003","-2.2694","-2.8318","-2.386","-1.1972","-0.456499999999998","0.013399999999999","-1.0008","-0.909","-2.4324","-4.69090000000001","-4.145","-5.4014","-4.7135","-5.8126","-6.27480000000001","-6.271","-6.2624","-5.8922","-5.502","-5.6779","-4.8367","-4.4573","-4.8937","1.2322","1.1393","1.4352","0.7305"
