"","2017-06-27_to_2018-06-28_CorePortfolio_8QRank","2017-07-27_to_2018-07-28_CorePortfolio_8QRank","2017-08-28_to_2018-08-28_CorePortfolio_8QRank","2017-09-27_to_2018-09-28_CorePortfolio_8QRank","2017-10-27_to_2018-10-28_CorePortfolio_8QRank","2017-11-27_to_2018-11-28_CorePortfolio_8QRank","2017-12-27_to_2018-12-28_CorePortfolio_8QRank","2018-01-29_to_2019-01-28_CorePortfolio_8QRank","2018-02-27_to_2019-02-28_CorePortfolio_8QRank","2018-03-27_to_2019-03-28_CorePortfolio_8QRank","2018-04-27_to_2019-04-28_CorePortfolio_8QRank","2018-05-29_to_2019-05-28_CorePortfolio_8QRank","2018-06-27_to_2019-06-28_CorePortfolio_8QRank","2018-07-27_to_2019-07-28_CorePortfolio_8QRank","2018-08-27_to_2019-08-28_CorePortfolio_8QRank","2018-09-27_to_2019-09-28_CorePortfolio_8QRank","2018-10-29_to_2019-10-28_CorePortfolio_8QRank","2018-11-27_to_2019-11-28_CorePortfolio_8QRank","2018-12-27_to_2019-12-28_CorePortfolio_8QRank","2019-01-28_to_2020-01-28_CorePortfolio_8QRank","2019-02-27_to_2020-02-28_CorePortfolio_8QRank","2019-03-27_to_2020-03-28_CorePortfolio_8QRank","2019-04-29_to_2020-04-28_CorePortfolio_8QRank","2019-05-28_to_2020-05-28_CorePortfolio_8QRank","2019-06-27_to_2020-06-28_CorePortfolio_8QRank","2019-07-29_to_2020-07-28_CorePortfolio_8QRank","2019-08-27_to_2020-08-28_CorePortfolio_8QRank","2019-09-27_to_2020-09-28_CorePortfolio_8QRank","2019-10-28_to_2020-10-28_CorePortfolio_8QRank","2019-11-27_to_2020-11-28_CorePortfolio_8QRank","2019-12-27_to_2020-12-28_CorePortfolio_8QRank","2020-01-27_to_2021-01-28_CorePortfolio_8QRank","2020-02-27_to_2021-02-28_CorePortfolio_8QRank","2020-03-27_to_2021-03-28_CorePortfolio_8QRank","2020-04-27_to_2021-04-28_CorePortfolio_8QRank","2020-05-27_to_2021-05-28_CorePortfolio_8QRank","2020-06-29_to_2021-06-28_CorePortfolio_8QRank","2020-07-27_to_2021-07-28_CorePortfolio_8QRank","2020-08-27_to_2021-08-28_CorePortfolio_8QRank","2020-09-28_to_2021-09-28_CorePortfolio_8QRank","2020-10-27_to_2021-10-28_CorePortfolio_8QRank","2020-11-27_to_2021-11-28_CorePortfolio_8QRank"
"P Information Ratio","-0.48","-0.88","-0.39","-0.85","-0.76","-0.18","-0.08","0.48","1.05","-0.03","0.09","0.17","0.52","0.51","1.3","2.05","1.55","0.1","0.07","-0.87","-1.38","-2.64","-1.3","-1.45","-1.82","-1.56","-2.4","-2.23","-1.49","-0.86","-1.01","-0.99","-0.23","1.21","0.82","1.12","0.87","0.48","1.08","0.91","0.05","-0.75"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.06","-0.02","0.17","0.07","0.04","-0.21","-0.01","0","0.18","0.05","0.08","0.03","0.07","0.11","0.25","0.36","0.34","0.14","-0.03","0","-0.2","-0.11","-0.55","-0.83","-0.75","-0.82","-0.91","-1.23","-0.83","-0.55","-0.5","-0.48","-0.34","0.73","0.77","0.69","1","0.67","0.62","0.29","-0.15","-0.11"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.82","0.85","0.82","0.81","0.8","0.87","0.91","0.97","1.01","1.04","1.03","1.01","1.03","1.01","1.01","1.04","1.03","1.02","1.06","0.96","0.95","0.98","1.14","1.14","1.13","1.13","1.13","1.1","1.07","1.02","1.07","1.05","1.06","0.89","0.91","0.9","0.87","0.91","0.98","1.03","1.11","0.94"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","88.96","88.87","90.5","90.15","89.46","95.81","93.52","96.22","96.2","97.97","96.54","97.76","97.89","97.77","98.47","98.77","98.45","98.31","96.58","96.1","95.72","98.51","96.41","97.24","97.26","96.71","97","97.14","96.19","94.78","95.42","95.17","94.44","87.12","82.36","81.93","85.03","77.92","81.88","81.11","86.51","73.01"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-9.4045","-9.4442","-9.477","-9.5231","-10.0759","-10.1941","-18.735","-19.1752","-19.1329","-19.274","-18.5885","-18.8515","-19.6207","-18.9917","-18.6777","-17.6899","-15.1284","-15.1348","-6.7042","-6.3597","-12.5806","-38.5776","-38.7674","-38.9572","-38.6723","-39.0335","-38.7639","-38.36","-38.2682","-37.8678","-38.185","-37.541","-32.2999","-10.9853","-11.1449","-11.1396","-6.9992","-6.9958","-6.9935","-6.4271","-5.4096","-5.1425"
"B Max Drawdown","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7424","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125"
"MD DIFF(P-B)","0.754999999999999","0.715299999999999","0.682499999999999","0.6364","0.0835999999999988","-0.0196000000000005","1.0432","0.602999999999998","0.645299999999999","0.504199999999997","1.1897","0.926699999999997","0.157499999999999","0.786499999999997","1.1005","1.9446","1.3182","0.6076","0.1319","0.4764","0.1752","-4.6526","-4.8424","-5.0322","-4.7473","-5.1085","-4.8389","-4.435","-4.3432","-3.94280000000001","-4.26000000000001","-3.616","-3.7796","-1.3808","-1.5404","-1.5351","2.6053","2.6087","2.611","1.0501","-0.1971","0.0700000000000003"
