"","1 Y 2018-06-28 to 2020-06-29","1 Y 2018-07-30 to 2020-07-29","1 Y 2018-08-28 to 2020-08-29","1 Y 2018-09-28 to 2020-09-29","1 Y 2018-10-29 to 2020-10-29","1 Y 2018-11-28 to 2020-11-29","1 Y 2018-12-28 to 2020-12-29","1 Y 2019-01-28 to 2021-01-29","1 Y 2019-02-28 to 2021-03-01","1 Y 2019-03-28 to 2021-03-29","1 Y 2019-04-29 to 2021-04-29","1 Y 2019-05-28 to 2021-05-29","1 Y 2019-06-28 to 2021-06-29","1 Y 2019-07-29 to 2021-07-29","1 Y 2019-08-28 to 2021-08-29","1 Y 2019-09-30 to 2021-09-29","1 Y 2019-10-28 to 2021-10-29","1 Y 2019-11-29 to 2021-11-29","2 Y 2018-06-28 to 2020-06-29","2 Y 2018-07-30 to 2020-07-29","2 Y 2018-08-28 to 2020-08-29","2 Y 2018-09-28 to 2020-09-29","2 Y 2018-10-29 to 2020-10-29","2 Y 2018-11-28 to 2020-11-29","2 Y 2018-12-28 to 2020-12-29","2 Y 2019-01-28 to 2021-01-29","2 Y 2019-02-28 to 2021-03-01","2 Y 2019-03-28 to 2021-03-29","2 Y 2019-04-29 to 2021-04-29","2 Y 2019-05-28 to 2021-05-29","2 Y 2019-06-28 to 2021-06-29","2 Y 2019-07-29 to 2021-07-29","2 Y 2019-08-28 to 2021-08-29","2 Y 2019-09-30 to 2021-09-29","2 Y 2019-10-28 to 2021-10-29","2 Y 2019-11-29 to 2021-11-29"
"P Information Ratio","-1.81","-1.32","-2.81","-2.05","-1.33","-0.98","-1.04","-0.4","0.72","2.58","1.78","1.39","1.18","1.19","1.33","1.24","1.3","0.21","-0.92","-0.55","-0.94","-0.35","-0.57","-0.64","-0.82","-0.49","0.1","0.25","0.12","0.07","-0.33","-0.06","-0.57","-0.49","-0.32","-0.27"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.65","-0.63","-0.72","-0.99","-0.75","-0.62","-0.52","-0.26","1.08","1.07","1.06","1.08","1.2","0.82","0.8","0.51","0.03","0.19","-0.24","-0.25","-0.19","-0.29","-0.24","-0.27","-0.31","-0.2","0.02","0.02","0.06","-0.06","-0.08","-0.1","-0.32","-0.34","-0.24","-0.2"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.06","1.05","1.06","1.04","1.03","1","1.04","1.04","0.89","0.92","0.92","0.81","0.81","0.91","0.89","0.96","1.09","0.98","1.02","1.02","1.01","1.01","1.02","0.99","1.04","1.02","1.05","1.07","1.06","1.03","1.04","1.08","1.05","1.07","1.08","1.09"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","96.96","96.86","97.57","97.34","94.48","91.48","93.39","94.79","90.98","91.39","88.93","81.42","86.2","86.68","82.9","82.13","91.12","86.55","96.49","96.38","96.59","96.11","94.65","93.43","94.04","94.64","94.14","94.26","94.5","92.45","92.68","93.94","91.56","92.16","93.92","93.99"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-37.3055","-37.3851","-37.0833","-37.2612","-37.7767","-37.8536","-38.0319","-37.8459","-33.1374","-10.2853","-10.3636","-10.0482","-6.9351","-7.3143","-7.2189","-6.5245","-5.2772","-5.1166","-37.3055","-37.3851","-37.0833","-37.2612","-37.7767","-37.8536","-38.0319","-37.8459","-38.1336","-38.6271","-38.4599","-38.0033","-38.3632","-38.5996","-38.5147","-38.8048","-38.876","-39.1445"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6044","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-3.3805","-3.4601","-3.1583","-3.33620000000001","-3.8517","-3.9286","-4.1069","-3.9209","-4.6171","-0.6808","-0.7591","-0.4437","2.6693","2.2902","2.3856","0.9527","-0.0646999999999993","0.0959000000000003","-3.3805","-3.4601","-3.1583","-3.33620000000001","-3.8517","-3.9286","-4.1069","-3.9209","-4.2086","-4.7021","-4.5349","-4.07830000000001","-4.4382","-4.67460000000001","-4.5897","-4.8798","-4.951","-5.2195"
