"","1 Y 2017-06-27 to 2020-06-28","1 Y 2017-07-27 to 2020-07-28","1 Y 2017-08-28 to 2020-08-28","1 Y 2017-09-27 to 2020-09-28","1 Y 2017-10-27 to 2020-10-28","1 Y 2017-11-27 to 2020-11-28","1 Y 2017-12-27 to 2020-12-28","1 Y 2018-01-29 to 2021-01-28","1 Y 2018-02-27 to 2021-02-28","1 Y 2018-03-27 to 2021-03-28","1 Y 2018-04-27 to 2021-04-28","1 Y 2018-05-29 to 2021-05-28","1 Y 2018-06-27 to 2021-06-28","1 Y 2018-07-27 to 2021-07-28","1 Y 2018-08-27 to 2021-08-28","1 Y 2018-09-27 to 2021-09-28","1 Y 2018-10-29 to 2021-10-28","1 Y 2018-11-27 to 2021-11-28","2 Y 2017-06-27 to 2020-06-28","2 Y 2017-07-27 to 2020-07-28","2 Y 2017-08-28 to 2020-08-28","2 Y 2017-09-27 to 2020-09-28","2 Y 2017-10-27 to 2020-10-28","2 Y 2017-11-27 to 2020-11-28","2 Y 2017-12-27 to 2020-12-28","2 Y 2018-01-29 to 2021-01-28","2 Y 2018-02-27 to 2021-02-28","2 Y 2018-03-27 to 2021-03-28","2 Y 2018-04-27 to 2021-04-28","2 Y 2018-05-29 to 2021-05-28","2 Y 2018-06-27 to 2021-06-28","2 Y 2018-07-27 to 2021-07-28","2 Y 2018-08-27 to 2021-08-28","2 Y 2018-09-27 to 2021-09-28","2 Y 2018-10-29 to 2021-10-28","2 Y 2018-11-27 to 2021-11-28","3 Y 2017-06-27 to 2020-06-28","3 Y 2017-07-27 to 2020-07-28","3 Y 2017-08-28 to 2020-08-28","3 Y 2017-09-27 to 2020-09-28","3 Y 2017-10-27 to 2020-10-28","3 Y 2017-11-27 to 2020-11-28","3 Y 2017-12-27 to 2020-12-28","3 Y 2018-01-29 to 2021-01-28","3 Y 2018-02-27 to 2021-02-28","3 Y 2018-03-27 to 2021-03-28","3 Y 2018-04-27 to 2021-04-28","3 Y 2018-05-29 to 2021-05-28","3 Y 2018-06-27 to 2021-06-28","3 Y 2018-07-27 to 2021-07-28","3 Y 2018-08-27 to 2021-08-28","3 Y 2018-09-27 to 2021-09-28","3 Y 2018-10-29 to 2021-10-28","3 Y 2018-11-27 to 2021-11-28"
"P Information Ratio","0.83","1","0.9","1.48","1.93","2.03","2.84","2.87","1.47","4.44","2.84","1.9","2.18","2.2","2.14","1.6","1.89","1.48","0.57","0.83","0.85","0.9","1.46","1.12","1.88","1.82","0.56","1.02","0.48","0.91","0.91","0.86","0.86","0.69","1.58","1.68","0.88","1.02","1.04","0.99","1.24","0.95","1.29","1.48","0.65","0.73","0.16","0.5","0.49","0.51","0.46","0.36","1.17","1.11"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","1.5","0.75","0.85","0.92","1.5","1.11","1.76","2.31","0.23","1.72","0.91","0.88","0.92","1.2","1.26","0.91","0.21","0.49","0.72","0.61","0.69","0.48","0.7","0.39","0.73","1.03","-0.01","0.49","0.06","0.23","0.21","0.27","0.32","0.19","0.48","0.63","0.72","0.61","0.62","0.41","0.55","0.31","0.54","0.84","0.1","0.29","-0.06","0.1","0.06","0.14","0.12","0.06","0.22","0.3"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.27","1.25","1.27","1.23","1.24","1.19","1.24","1.25","1.23","1.03","0.99","0.97","0.94","0.98","1","0.98","1.18","1.14","1.21","1.23","1.24","1.22","1.21","1.17","1.2","1.2","1.16","1.13","1.11","1.12","1.09","1.15","1.15","1.13","1.2","1.2","1.19","1.19","1.2","1.19","1.2","1.16","1.18","1.2","1.15","1.14","1.13","1.12","1.09","1.14","1.16","1.13","1.2","1.2"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","78.54","76.5","77.18","87.01","85.42","89.81","90.72","87.14","96.32","90.41","90.14","78.75","80.78","78.22","72.31","69.12","77.13","68.43","83.77","83.51","83.77","90.06","86.81","90.84","88.78","84.17","95.24","92.13","96.09","91.4","92.03","90.65","89.08","89.87","90.79","91.82","83.28","82.51","82.77","88.91","86.97","90.36","89.76","87.12","95.52","93.05","95.98","92.76","93.52","92.78","91.85","92.37","92.16","92.95"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-39.0304","-38.7855","-39.4845","-38.3267","-39.4567","-38.2832","-38.5143","-39.2996","-32.7593","-9.0774","-9.0313","-8.9077","-8.786","-8.8102","-8.8112","-7.4457","-8.4886","-7.873","-39.0304","-38.7855","-39.4845","-38.3267","-39.4567","-38.2832","-38.5143","-39.2996","-38.2912","-37.5238","-36.6932","-37.2344","-36.7437","-38.0193","-38.6194","-38.3534","-39.0572","-38.3219","-39.0304","-38.7855","-39.4845","-38.3267","-39.4567","-38.2832","-38.5143","-39.2996","-38.2912","-37.5238","-36.6932","-37.2344","-36.7437","-38.0193","-38.6194","-38.3534","-39.0572","-38.3219"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-5.1054","-4.8605","-5.5595","-4.40170000000001","-5.5317","-4.3582","-4.5893","-5.3746","-4.239","0.527099999999999","0.5732","0.6968","0.8185","0.7943","0.7933","0.0314999999999994","-3.2761","-2.6605","-5.1054","-4.8605","-5.5595","-4.40170000000001","-5.5317","-4.3582","-4.5893","-5.3746","-4.36620000000001","-3.5988","-2.7682","-3.3094","-2.8187","-4.0943","-4.6944","-4.4284","-5.1322","-4.3969","-5.1054","-4.8605","-5.5595","-4.40170000000001","-5.5317","-4.3582","-4.5893","-5.3746","-4.36620000000001","-3.5988","-2.7682","-3.3094","-2.8187","-4.0943","-4.6944","-4.4284","-5.1322","-4.3969"
