"","1 Y 2016-06-27 to 2019-06-28","1 Y 2016-07-27 to 2019-07-28","1 Y 2016-08-29 to 2019-08-28","1 Y 2016-09-27 to 2019-09-28","1 Y 2016-10-27 to 2019-10-28","1 Y 2016-11-28 to 2019-11-28","1 Y 2016-12-27 to 2019-12-28","1 Y 2017-01-27 to 2020-01-28","1 Y 2017-02-27 to 2020-02-28","1 Y 2017-03-27 to 2020-03-28","1 Y 2017-04-27 to 2020-04-28","1 Y 2017-05-30 to 2020-05-28","1 Y 2017-06-27 to 2020-06-28","1 Y 2017-07-27 to 2020-07-28","1 Y 2017-08-28 to 2020-08-28","1 Y 2017-09-27 to 2020-09-28","1 Y 2017-10-27 to 2020-10-28","1 Y 2017-11-27 to 2020-11-28","1 Y 2017-12-27 to 2020-12-28","1 Y 2018-01-29 to 2021-01-28","1 Y 2018-02-27 to 2021-02-28","1 Y 2018-03-27 to 2021-03-28","1 Y 2018-04-27 to 2021-04-28","1 Y 2018-05-29 to 2021-05-28","1 Y 2018-06-27 to 2021-06-28","1 Y 2018-07-27 to 2021-07-28","1 Y 2018-08-27 to 2021-08-28","1 Y 2018-09-27 to 2021-09-28","1 Y 2018-10-29 to 2021-10-28","1 Y 2018-11-27 to 2021-11-28","2 Y 2016-06-27 to 2019-06-28","2 Y 2016-07-27 to 2019-07-28","2 Y 2016-08-29 to 2019-08-28","2 Y 2016-09-27 to 2019-09-28","2 Y 2016-10-27 to 2019-10-28","2 Y 2016-11-28 to 2019-11-28","2 Y 2016-12-27 to 2019-12-28","2 Y 2017-01-27 to 2020-01-28","2 Y 2017-02-27 to 2020-02-28","2 Y 2017-03-27 to 2020-03-28","2 Y 2017-04-27 to 2020-04-28","2 Y 2017-05-30 to 2020-05-28","2 Y 2017-06-27 to 2020-06-28","2 Y 2017-07-27 to 2020-07-28","2 Y 2017-08-28 to 2020-08-28","2 Y 2017-09-27 to 2020-09-28","2 Y 2017-10-27 to 2020-10-28","2 Y 2017-11-27 to 2020-11-28","2 Y 2017-12-27 to 2020-12-28","2 Y 2018-01-29 to 2021-01-28","2 Y 2018-02-27 to 2021-02-28","2 Y 2018-03-27 to 2021-03-28","2 Y 2018-04-27 to 2021-04-28","2 Y 2018-05-29 to 2021-05-28","2 Y 2018-06-27 to 2021-06-28","2 Y 2018-07-27 to 2021-07-28","2 Y 2018-08-27 to 2021-08-28","2 Y 2018-09-27 to 2021-09-28","2 Y 2018-10-29 to 2021-10-28","2 Y 2018-11-27 to 2021-11-28","3 Y 2016-06-27 to 2019-06-28","3 Y 2016-07-27 to 2019-07-28","3 Y 2016-08-29 to 2019-08-28","3 Y 2016-09-27 to 2019-09-28","3 Y 2016-10-27 to 2019-10-28","3 Y 2016-11-28 to 2019-11-28","3 Y 2016-12-27 to 2019-12-28","3 Y 2017-01-27 to 2020-01-28","3 Y 2017-02-27 to 2020-02-28","3 Y 2017-03-27 to 2020-03-28","3 Y 2017-04-27 to 2020-04-28","3 Y 2017-05-30 to 2020-05-28","3 Y 2017-06-27 to 2020-06-28","3 Y 2017-07-27 to 2020-07-28","3 Y 2017-08-28 to 2020-08-28","3 Y 2017-09-27 to 2020-09-28","3 Y 2017-10-27 to 2020-10-28","3 Y 2017-11-27 to 2020-11-28","3 Y 2017-12-27 to 2020-12-28","3 Y 2018-01-29 to 2021-01-28","3 Y 2018-02-27 to 2021-02-28","3 Y 2018-03-27 to 2021-03-28","3 Y 2018-04-27 to 2021-04-28","3 Y 2018-05-29 to 2021-05-28","3 Y 2018-06-27 to 2021-06-28","3 Y 2018-07-27 to 2021-07-28","3 Y 2018-08-27 to 2021-08-28","3 Y 2018-09-27 to 2021-09-28","3 Y 2018-10-29 to 2021-10-28","3 Y 2018-11-27 to 2021-11-28"
"P Information Ratio","-1.13","-0.69","-0.39","-0.16","0.87","0.67","1.06","0.4","1.42","0.4","0.7","1.09","0.62","0.83","0.51","-2.2","-1.78","-1.38","-1.39","-1.77","-1.13","1.05","0.4","1.06","0.02","1.1","1.45","1.47","0.62","0.35","-0.11","0.2","0.2","0.1","0.67","0.61","0.8","0.63","1.3","0.43","0.43","0.82","0.44","0.73","0.62","-1.47","-2.17","-1.68","-1.54","-2.36","-1.42","-1.18","-0.87","-0.75","-1.62","-0.78","-0.5","-0.16","-0.18","0.17","0.57","0.56","0.13","0.12","0.44","0.44","0.74","0.27","0.53","0.17","0.22","0.7","0.48","0.6","0.61","-1.05","-1.07","-1.07","-1.09","-1.2","-0.73","-0.68","-0.78","-0.47","-1.17","-0.83","-0.45","-0.03","-0.03","0"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-1.13","-0.6","-0.1","0.26","0.46","0.32","1.02","0.77","0.78","1.89","0.9","2.06","2.51","0.88","0.7","-1.81","-1.47","-1.54","-1.08","-1.58","-1.18","0.07","0.56","0.36","0.83","0.63","0.63","0.7","0.12","0.5","-0.32","-0.06","0.04","0.12","0.34","0.28","0.54","0.4","0.53","1.09","0.32","1.19","1.28","0.94","0.85","-0.92","-1.37","-1.45","-1.01","-1.31","-0.9","-0.75","-0.48","-0.48","-0.77","-0.68","-0.47","-0.51","-0.34","-0.29","0.07","0.13","-0.05","0.01","0.14","0.16","0.44","0.25","0.23","0.67","0.12","0.83","0.99","0.67","0.66","-0.69","-0.71","-0.93","-0.66","-0.76","-0.47","-0.46","-0.4","-0.21","-0.49","-0.54","-0.29","-0.25","-0.33","-0.4"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.38","1.38","1.32","1.29","1.15","1.06","0.87","0.61","0.58","0.35","1.05","1.27","1.27","1.28","1.49","1.2","1.23","1.25","1.22","1.13","1.22","1.03","0.94","1.02","0.83","1.09","1.01","1","1.13","0.83","1.31","1.29","1.22","1.19","1.09","1.01","0.94","0.81","0.77","0.67","1.03","1.14","1.09","1.15","1.33","1.1","1.19","1.24","1.19","1.07","1.11","1.11","1.1","1.09","1.05","1.22","1.16","1.21","1.24","1.29","1.36","1.29","1.22","1.21","1.09","1","0.94","0.79","0.78","0.67","1","1.11","1.06","1.1","1.25","1.07","1.13","1.19","1.14","1.04","1.09","1.1","1.08","1.03","1.02","1.15","1.1","1.18","1.3","1.34"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","92.73","95.47","93.23","89.65","78.68","71.04","43.94","40.9","41.9","8.8","49.5","48.22","51.57","51.71","56.1","95.51","93.86","91.37","95.96","94.18","94.69","92.78","89.65","88.33","81.17","85.62","80.84","65.64","65.17","47.2","88.06","89.7","89.88","85.96","80.11","74.21","70.07","76.17","73.67","48.16","62.92","54.03","55.73","58.24","61.94","92.93","93.75","92.14","94.62","91.88","92.39","92.54","92.79","92.63","88.52","90.55","91.26","89.1","84.07","86.09","78.42","81.3","85.41","80.81","76.58","73.55","68.59","71.93","69.77","45.6","60.4","52.62","53.17","54.88","57.8","87.11","88.34","88.22","91.93","88.64","90.73","91.57","91.34","90.51","89.05","90.49","91.68","90.58","86.58","88.45"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-27.7785","-26.9078","-24.852","-23.7803","-18.3881","-17.2526","-9.654","-6.3172","-12.6899","-41.6988","-41.5669","-43.4399","-41.6407","-41.6984","-44.7405","-38.0391","-39.231","-40.562","-38.7338","-39.778","-34.4004","-10.9481","-10.7613","-10.7767","-7.5058","-8.3429","-8.4838","-6.4722","-8.1732","-7.5994","-27.7785","-26.9078","-24.852","-24.5158","-21.8628","-21.5021","-19.6015","-16.9199","-16.4886","-41.6988","-41.5669","-43.4399","-41.6407","-41.6984","-44.7405","-38.0391","-39.231","-40.562","-38.7338","-39.778","-39.3485","-38.187","-38.148","-38.0999","-39.7732","-41.6599","-40.4788","-41.2495","-44.1515","-43.6785","-27.7785","-26.9078","-24.852","-24.5158","-21.8628","-21.5021","-19.6015","-16.9199","-16.4886","-41.6988","-41.5669","-43.4399","-41.6407","-41.6984","-44.7405","-38.0391","-40.7172","-43.5414","-38.7338","-39.778","-39.3485","-38.187","-38.148","-38.0999","-39.7732","-41.6599","-40.4788","-41.2495","-44.1515","-43.6785"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7424","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-8.0003","-7.1296","-5.0738","-4.1458","-1.9415","-1.5102","-2.8179","0.5189","0.065900000000001","-7.7738","-7.6419","-9.5149","-7.71570000000001","-7.7734","-10.8155","-4.1141","-5.306","-6.637","-4.80880000000001","-5.853","-5.8801","-1.3436","-1.1568","-1.1722","2.0987","1.2616","1.1207","1.005","-2.9607","-2.3869","-8.0003","-7.1296","-5.0738","-4.7376","-2.0846","-1.7239","0.176699999999997","2.8583","3.2896","-7.7738","-7.6419","-9.5149","-7.71570000000001","-7.7734","-10.8155","-4.1141","-5.306","-6.637","-4.80880000000001","-5.853","-5.4235","-4.262","-4.22300000000001","-4.1749","-5.84820000000001","-7.7349","-6.5538","-7.3245","-10.2265","-9.7535","-8.0003","-7.1296","-5.0738","-4.7376","-2.0846","-1.7239","0.176699999999997","2.8583","3.2896","-7.7738","-7.6419","-9.5149","-7.71570000000001","-7.7734","-10.8155","-4.1141","-6.7922","-9.61640000000001","-4.80880000000001","-5.853","-5.4235","-4.262","-4.22300000000001","-4.1749","-5.84820000000001","-7.7349","-6.5538","-7.3245","-10.2265","-9.7535"
