"","1 Y 2015-09-25 to 2017-09-26","1 Y 2015-10-26 to 2017-10-26","1 Y 2015-11-25 to 2017-11-26","1 Y 2015-12-28 to 2017-12-26","1 Y 2016-01-25 to 2018-01-26","1 Y 2016-02-25 to 2018-02-26","1 Y 2016-03-28 to 2018-03-26","1 Y 2016-04-25 to 2018-04-26","1 Y 2016-05-25 to 2018-05-26","1 Y 2016-06-27 to 2018-06-26","1 Y 2016-07-25 to 2018-07-26","1 Y 2016-08-25 to 2018-08-26","1 Y 2016-09-26 to 2018-09-26","1 Y 2016-10-25 to 2018-10-26","1 Y 2016-11-25 to 2018-11-26","1 Y 2016-12-27 to 2018-12-26","1 Y 2017-01-25 to 2019-01-26","1 Y 2017-02-27 to 2019-02-26","1 Y 2017-03-27 to 2019-03-26","1 Y 2017-04-25 to 2019-04-26","1 Y 2017-05-25 to 2019-05-26","1 Y 2017-06-26 to 2019-06-26","1 Y 2017-07-25 to 2019-07-26","1 Y 2017-08-25 to 2019-08-26","1 Y 2017-09-25 to 2019-09-26","1 Y 2017-10-25 to 2019-10-26","1 Y 2017-11-27 to 2019-11-26","1 Y 2017-12-26 to 2019-12-26","1 Y 2018-01-25 to 2020-01-26","1 Y 2018-02-26 to 2020-02-26","1 Y 2018-03-26 to 2020-03-26","1 Y 2018-04-25 to 2020-04-26","1 Y 2018-05-25 to 2020-05-26","1 Y 2018-06-25 to 2020-06-26","1 Y 2018-07-25 to 2020-07-26","1 Y 2018-08-27 to 2020-08-26","1 Y 2018-09-25 to 2020-09-26","1 Y 2018-10-25 to 2020-10-26","1 Y 2018-11-26 to 2020-11-26","1 Y 2018-12-26 to 2020-12-26","1 Y 2019-01-25 to 2021-01-26","1 Y 2019-02-25 to 2021-02-26","1 Y 2019-03-25 to 2021-03-26","1 Y 2019-04-25 to 2021-04-26","1 Y 2019-05-28 to 2021-05-26","1 Y 2019-06-25 to 2021-06-26","1 Y 2019-07-25 to 2021-07-26","1 Y 2019-08-26 to 2021-08-26","1 Y 2019-09-25 to 2021-09-26","1 Y 2019-10-25 to 2021-10-26","1 Y 2019-11-25 to 2021-11-26","2 Y 2015-09-25 to 2017-09-26","2 Y 2015-10-26 to 2017-10-26","2 Y 2015-11-25 to 2017-11-26","2 Y 2015-12-28 to 2017-12-26","2 Y 2016-01-25 to 2018-01-26","2 Y 2016-02-25 to 2018-02-26","2 Y 2016-03-28 to 2018-03-26","2 Y 2016-04-25 to 2018-04-26","2 Y 2016-05-25 to 2018-05-26","2 Y 2016-06-27 to 2018-06-26","2 Y 2016-07-25 to 2018-07-26","2 Y 2016-08-25 to 2018-08-26","2 Y 2016-09-26 to 2018-09-26","2 Y 2016-10-25 to 2018-10-26","2 Y 2016-11-25 to 2018-11-26","2 Y 2016-12-27 to 2018-12-26","2 Y 2017-01-25 to 2019-01-26","2 Y 2017-02-27 to 2019-02-26","2 Y 2017-03-27 to 2019-03-26","2 Y 2017-04-25 to 2019-04-26","2 Y 2017-05-25 to 2019-05-26","2 Y 2017-06-26 to 2019-06-26","2 Y 2017-07-25 to 2019-07-26","2 Y 2017-08-25 to 2019-08-26","2 Y 2017-09-25 to 2019-09-26","2 Y 2017-10-25 to 2019-10-26","2 Y 2017-11-27 to 2019-11-26","2 Y 2017-12-26 to 2019-12-26","2 Y 2018-01-25 to 2020-01-26","2 Y 2018-02-26 to 2020-02-26","2 Y 2018-03-26 to 2020-03-26","2 Y 2018-04-25 to 2020-04-26","2 Y 2018-05-25 to 2020-05-26","2 Y 2018-06-25 to 2020-06-26","2 Y 2018-07-25 to 2020-07-26","2 Y 2018-08-27 to 2020-08-26","2 Y 2018-09-25 to 2020-09-26","2 Y 2018-10-25 to 2020-10-26","2 Y 2018-11-26 to 2020-11-26","2 Y 2018-12-26 to 2020-12-26","2 Y 2019-01-25 to 2021-01-26","2 Y 2019-02-25 to 2021-02-26","2 Y 2019-03-25 to 2021-03-26","2 Y 2019-04-25 to 2021-04-26","2 Y 2019-05-28 to 2021-05-26","2 Y 2019-06-25 to 2021-06-26","2 Y 2019-07-25 to 2021-07-26","2 Y 2019-08-26 to 2021-08-26","2 Y 2019-09-25 to 2021-09-26","2 Y 2019-10-25 to 2021-10-26","2 Y 2019-11-25 to 2021-11-26"
"P Information Ratio","1.06","2.15","1.37","1.52","1.21","0.69","1.5","1.15","0.88","1.5","0.83","1.36","1.01","-0.44","0.04","-0.33","0.44","0.95","0.6","0.12","0.09","-0.25","0.66","0.52","0.27","0.75","-0.11","0.86","0.23","-0.85","0.63","-0.04","0.09","-0.53","-0.19","0.12","0.4","0.27","0.61","0.55","0.7","1.5","1.92","2.82","2","2.93","2.47","2.18","2.54","2.43","1.32","0.97","1.17","1.1","1.48","2.14","1.51","0.88","1.04","1.02","1.26","1.12","1.03","0.84","0.2","0.46","0.08","0.33","0.58","0.54","0.5","0.66","0.71","0.9","0.82","0.34","0.6","-0.04","0.24","0.38","0.15","0.59","-0.13","-0.25","-0.37","-0.19","0.07","0.32","0.52","0.33","0.29","0.44","0.51","0.77","0.63","0.6","0.72","0.56","0.72","0.65","0.68","0.63"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.6","-0.22","-0.01","0.2","-0.39","-0.44","-0.01","0.7","0.46","0.83","0.62","0.76","0.76","0.58","0.21","0.27","-0.03","0.36","0.1","0.09","-0.31","-0.21","0.36","0.35","0.3","0.08","-0.12","-0.14","0.19","-0.47","0.13","-0.25","-0.37","-0.27","-0.27","-0.05","0.03","-0.01","0.22","0.21","0.83","0.1","1.38","0.99","0.86","1.07","0.98","0.88","0.63","0.94","1.15","0.42","0.4","0.32","0.58","0.16","0","-0.07","0.47","0.35","0.55","0.48","0.45","0.4","0.46","0.32","0.29","0.01","0.06","0.25","0.19","0.16","0.19","0.38","0.33","0.18","0.25","0.04","0.14","0.27","-0.01","0.05","-0.26","-0.39","-0.2","-0.23","0.02","0.03","-0.01","-0.05","-0.25","0","-0.08","0.21","0.22","0.02","0.02","0.07","-0.03","0.08","0.14","0.16"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.75","1.57","1.23","1.18","1.33","1.16","1.08","0.79","0.77","0.79","0.8","0.73","0.76","0.74","0.85","0.85","0.96","1.07","1.21","1.22","1.19","1.16","1.2","1.2","1.18","1.15","1.17","1.17","0.94","0.89","0.78","1.21","1.3","1.36","1.39","1.35","1.31","1.24","1.3","1.35","1.32","1.43","1.22","1.26","1.09","1.16","1.18","1.3","1.21","1.18","0.74","0.93","1","1.01","0.98","1.19","1.15","1.25","0.98","0.98","0.99","0.98","0.92","0.97","0.9","0.91","0.89","0.98","1.06","1.11","1.12","1.1","1.08","1.09","1.1","1.07","1.03","1.05","1.02","0.99","0.94","0.96","1.16","1.24","1.29","1.3","1.26","1.25","1.2","1.25","1.31","1.3","1.31","1.3","1.32","1.31","1.36","1.39","1.42","1.29","1.31","1.24"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","86.76","81.72","69.36","62.23","72.48","75.11","94.41","70.93","73.24","63.24","65.6","56.72","62.16","65.56","75.5","74.84","82.25","88.91","93.12","93.54","92.69","93.01","95.84","95.9","95.69","88.99","92.56","87.17","75.37","75.68","81.39","86.17","91.49","87.6","87.89","87.52","88.2","85.68","87.3","88.66","89.91","92.73","83.24","77.3","73.54","75.81","73.76","70.98","68.68","73.15","71.85","80.58","78.77","80.68","82.43","70.83","74.84","82.67","69.82","69.72","66.82","67.25","59.95","63.66","61.79","74.25","74.71","84.84","89.09","87.96","87.77","84.9","86.08","86.44","87.87","87.39","84.42","87.94","87.08","84.69","84.68","87.62","89.57","92.41","89.96","89.97","89.45","89.84","88.02","88.72","88.33","87.74","88.88","88.62","90.12","86.77","86.66","86.89","86.41","85.91","86.52","86.46"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-4.5411","-3.1404","-3.2745","-3.2059","-3.8717","-9.6452","-9.5361","-10.2306","-9.9549","-10.1331","-9.9384","-10.1095","-10.0406","-12.4854","-11.9736","-19.761","-18.6001","-19.158","-20.0664","-20.1296","-20.4097","-19.8328","-19.364","-19.5751","-19.1026","-14.9229","-13.2197","-6.8596","-5.9915","-7.4991","-35.538","-35.8452","-36.5221","-37.8533","-38.307","-36.6857","-36.6503","-36.81","-37.2885","-38.2897","-37.1973","-30.6452","-8.2205","-8.1105","-8.3111","-7.7806","-8.0481","-7.8924","-6.0412","-5.3084","-5.0469","-15.7136","-16.2394","-15.6572","-14.0396","-6.7769","-9.6452","-9.5361","-10.2306","-9.9549","-10.1331","-9.9384","-10.1095","-10.0406","-12.4854","-11.9736","-19.761","-18.6001","-19.158","-20.0664","-20.1296","-20.4097","-19.8328","-19.364","-19.5751","-19.5316","-18.6916","-19.4324","-18.2349","-17.2256","-17.0217","-35.538","-35.8452","-36.5221","-37.8533","-38.307","-36.6857","-36.6503","-36.81","-37.2885","-38.2897","-37.1973","-36.4257","-36.1561","-36.1998","-37.2436","-37.653","-38.0286","-38.4679","-36.7035","-37.186","-36.3892"
"B Max Drawdown","-3.8091","-2.543","-2.412","-2.412","-2.412","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.878","-15.8093","-16.4757","-16.4756","-16.4757","-16.4757","-16.4757","-16.4756","-16.4757","-16.4756","-16.326","-13.0069","-12.2737","-6.8361","-6.8361","-7.6175","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4469","-5.2125","-5.2125","-13.3051","-13.3051","-13.0099","-11.9941","-5.6874","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.878","-15.8093","-16.4757","-16.4756","-16.4757","-16.4757","-16.4757","-16.4756","-16.4757","-16.4756","-16.4756","-16.4757","-16.4757","-16.4756","-16.4757","-16.4757","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-0.732","-0.5974","-0.8625","-0.7939","-1.4597","-0.0946000000000016","0.0145","-0.680000000000001","-0.404300000000001","-0.582500000000001","-0.3878","-0.558900000000001","-0.49","-2.9348","-2.0956","-3.9517","-2.1244","-2.6824","-3.5907","-3.6539","-3.934","-3.3572","-2.8883","-3.0995","-2.7766","-1.916","-0.946","-0.0235000000000003","0.8446","0.118399999999999","-1.613","-1.9202","-2.5971","-3.9283","-4.38200000000001","-2.7607","-2.7253","-2.88500000000001","-3.3635","-4.36470000000001","-3.2723","-2.1249","1.384","1.494","1.2934","1.8239","1.5564","1.7121","1.4057","-0.0958999999999994","0.1656","-2.4085","-2.9343","-2.6473","-2.0455","-1.0895","-0.0946000000000016","0.0145","-0.680000000000001","-0.404300000000001","-0.582500000000001","-0.3878","-0.558900000000001","-0.49","-2.9348","-2.0956","-3.9517","-2.1244","-2.6824","-3.5907","-3.6539","-3.934","-3.3572","-2.8883","-3.0995","-3.056","-2.2159","-2.9567","-1.7593","-0.7499","-0.545999999999999","-1.613","-1.9202","-2.5971","-3.9283","-4.38200000000001","-2.7607","-2.7253","-2.88500000000001","-3.3635","-4.36470000000001","-3.2723","-2.5007","-2.2311","-2.27480000000001","-3.3186","-3.728","-4.1036","-4.5429","-2.7785","-3.261","-2.46420000000001"
