"","1 Y 2017-11-14 to 2018-11-15","1 Y 2017-12-14 to 2018-12-15","1 Y 2018-01-15 to 2019-01-15","1 Y 2018-02-14 to 2019-02-15","1 Y 2018-03-14 to 2019-03-15","1 Y 2018-04-16 to 2019-04-15","1 Y 2018-05-14 to 2019-05-15","1 Y 2018-06-14 to 2019-06-15","1 Y 2018-07-16 to 2019-07-15","1 Y 2018-08-14 to 2019-08-15","1 Y 2018-09-14 to 2019-09-15","1 Y 2018-10-15 to 2019-10-15","1 Y 2018-11-14 to 2019-11-15","1 Y 2018-12-14 to 2019-12-15","1 Y 2019-01-14 to 2020-01-15","1 Y 2019-02-14 to 2020-02-15","1 Y 2019-03-14 to 2020-03-15","1 Y 2019-04-15 to 2020-04-15","1 Y 2019-05-14 to 2020-05-15","1 Y 2019-06-14 to 2020-06-15","1 Y 2019-07-15 to 2020-07-15","1 Y 2019-08-14 to 2020-08-15","1 Y 2019-09-16 to 2020-09-15","1 Y 2019-10-14 to 2020-10-15","1 Y 2019-11-14 to 2020-11-15","1 Y 2019-12-16 to 2020-12-15","1 Y 2020-01-14 to 2021-01-15","1 Y 2020-02-14 to 2021-02-15","1 Y 2020-03-16 to 2021-03-15","1 Y 2020-04-14 to 2021-04-15","1 Y 2020-05-14 to 2021-05-15","1 Y 2020-06-15 to 2021-06-15","1 Y 2020-07-14 to 2021-07-15","1 Y 2020-08-14 to 2021-08-15","1 Y 2020-09-14 to 2021-09-15"
"P Information Ratio","1.42","-0.33","0.83","0.99","0.87","-0.15","0.49","0.4","-0.79","-0.69","-0.42","-0.07","-0.13","-0.23","-0.66","-1.23","-0.96","-1.42","-0.92","-0.63","-0.6","-0.19","-0.44","-0.72","-0.53","-0.04","-0.13","0.38","3.86","2.99","3.63","1.37","1.25","1.28","0.69"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.46","0.24","0.33","0.89","0.37","0.01","-0.1","-0.08","-0.47","-0.52","-0.44","-0.73","-0.51","-2.38","-1.95","-2.43","-1.42","-1.29","-1.03","-1.13","-1.03","-1.01","-1.26","-2.34","-1.08","-0.56","-0.53","-1.23","2.37","2.4","2.34","2.93","2.51","1.49","0.12"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.78","0.73","0.89","0.85","0.95","1.03","0.9","0.87","1.29","1.32","1.33","1.55","1.63","2.03","1.86","1.74","1.33","1.46","1.38","1.46","1.51","1.76","1.7","1.72","1.71","1.53","1.56","1.58","1.75","1.61","1.42","1.29","1.5","1.59","1.37"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","74.32","68.57","74.97","76.23","81.2","87.6","81.37","86.02","91.38","88.87","88.29","91.76","86.17","83.3","80.38","70.5","72.72","87.42","88.32","86.22","85.92","83.87","87.1","85.84","87.62","89.82","90.4","92.64","55.77","35.49","28.41","24.1","28","24.34","30.77"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-9.9563","-11.7856","-16.7965","-14.2014","-15.9788","-18.6385","-17.3728","-16.836","-23.3187","-23.6975","-23.2016","-17.8613","-17.1371","-16.7611","-14.0727","-15.7291","-35.975","-39.5718","-37.3631","-39.3973","-39.3969","-44.9328","-43.0282","-46.6464","-45.2939","-40.392","-41.5255","-37.3556","-20.4353","-22.0042","-22.4093","-14.7348","-10.9235","-10.1639","-7.6562"
"B Max Drawdown","-9.878","-10.0305","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-16.4466","-15.7424","-7.6609","-6.8362","-6.8361","-26.7416","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-11.5369","-9.6045","-9.6045","-9.6044","-9.6044","-9.6045","-7.4469"
"MD DIFF(P-B)","-0.0783000000000005","-1.7551","2.9817","5.5768","3.7994","1.1397","2.4054","2.9422","-3.5405","-3.9193","-3.4234","-1.4147","-1.3947","-9.1002","-7.2365","-8.893","-9.2334","-5.64680000000001","-3.43810000000001","-5.4723","-5.47190000000001","-11.0078","-9.1032","-12.7214","-11.3689","-6.46700000000001","-7.6005","-3.43060000000001","-8.8984","-12.3997","-12.8048","-5.1304","-1.3191","-0.5594","-0.2093"
