"","2015-12-28_to_2016-12-29_GrowthPortfolio_2QRank","2016-01-28_to_2017-01-29_GrowthPortfolio_2QRank","2016-02-29_to_2017-03-01_GrowthPortfolio_2QRank","2016-03-28_to_2017-03-29_GrowthPortfolio_2QRank","2016-04-28_to_2017-04-29_GrowthPortfolio_2QRank","2016-05-31_to_2017-05-29_GrowthPortfolio_2QRank","2016-06-28_to_2017-06-29_GrowthPortfolio_2QRank","2016-07-28_to_2017-07-29_GrowthPortfolio_2QRank","2016-08-29_to_2017-08-29_GrowthPortfolio_2QRank","2016-09-28_to_2017-09-29_GrowthPortfolio_2QRank","2016-10-28_to_2017-10-29_GrowthPortfolio_2QRank","2016-11-28_to_2017-11-29_GrowthPortfolio_2QRank","2016-12-28_to_2017-12-29_GrowthPortfolio_2QRank","2017-01-30_to_2018-01-29_GrowthPortfolio_2QRank","2017-02-28_to_2018-03-01_GrowthPortfolio_2QRank","2017-03-28_to_2018-03-29_GrowthPortfolio_2QRank","2017-04-28_to_2018-04-29_GrowthPortfolio_2QRank","2017-05-30_to_2018-05-29_GrowthPortfolio_2QRank","2017-06-28_to_2018-06-29_GrowthPortfolio_2QRank","2017-07-28_to_2018-07-29_GrowthPortfolio_2QRank","2017-08-28_to_2018-08-29_GrowthPortfolio_2QRank","2017-09-28_to_2018-09-29_GrowthPortfolio_2QRank","2017-10-30_to_2018-10-29_GrowthPortfolio_2QRank","2017-11-28_to_2018-11-29_GrowthPortfolio_2QRank","2017-12-28_to_2018-12-29_GrowthPortfolio_2QRank","2018-01-29_to_2019-01-29_GrowthPortfolio_2QRank","2018-02-28_to_2019-03-01_GrowthPortfolio_2QRank","2018-03-28_to_2019-03-29_GrowthPortfolio_2QRank","2018-04-30_to_2019-04-29_GrowthPortfolio_2QRank","2018-05-29_to_2019-05-29_GrowthPortfolio_2QRank","2018-06-28_to_2019-06-29_GrowthPortfolio_2QRank","2018-07-30_to_2019-07-29_GrowthPortfolio_2QRank","2018-08-28_to_2019-08-29_GrowthPortfolio_2QRank","2018-09-28_to_2019-09-29_GrowthPortfolio_2QRank","2018-10-29_to_2019-10-29_GrowthPortfolio_2QRank","2018-11-28_to_2019-11-29_GrowthPortfolio_2QRank","2018-12-28_to_2019-12-29_GrowthPortfolio_2QRank","2019-01-28_to_2020-01-29_GrowthPortfolio_2QRank","2019-02-28_to_2020-02-29_GrowthPortfolio_2QRank","2019-03-28_to_2020-03-29_GrowthPortfolio_2QRank","2019-04-29_to_2020-04-29_GrowthPortfolio_2QRank","2019-05-28_to_2020-05-29_GrowthPortfolio_2QRank","2019-06-28_to_2020-06-29_GrowthPortfolio_2QRank","2019-07-29_to_2020-07-29_GrowthPortfolio_2QRank","2019-08-28_to_2020-08-29_GrowthPortfolio_2QRank","2019-09-30_to_2020-09-29_GrowthPortfolio_2QRank","2019-10-28_to_2020-10-29_GrowthPortfolio_2QRank","2019-11-29_to_2020-11-29_GrowthPortfolio_2QRank","2019-12-30_to_2020-12-29_GrowthPortfolio_2QRank","2020-01-28_to_2021-01-29_GrowthPortfolio_2QRank","2020-02-28_to_2021-03-01_GrowthPortfolio_2QRank","2020-03-30_to_2021-03-29_GrowthPortfolio_2QRank","2020-04-28_to_2021-04-29_GrowthPortfolio_2QRank","2020-05-28_to_2021-05-29_GrowthPortfolio_2QRank","2020-06-29_to_2021-06-29_GrowthPortfolio_2QRank","2020-07-28_to_2021-07-29_GrowthPortfolio_2QRank","2020-08-28_to_2021-08-29_GrowthPortfolio_2QRank","2020-09-28_to_2021-09-29_GrowthPortfolio_2QRank","2020-10-28_to_2021-10-29_GrowthPortfolio_2QRank","2020-11-30_to_2021-11-29_GrowthPortfolio_2QRank"
"P Information Ratio","0.79","0.34","0.61","1.91","1.28","0.83","-1.2","1.39","1.06","1.67","3.62","1.41","1.05","1.81","2.47","3.76","2.82","2.17","2.43","2.33","2","2.01","0.63","0.26","-0.16","0.75","0.64","0.77","0.42","-0.1","0.34","0.66","0.1","-1.74","-0.33","-0.12","-0.45","-0.02","0.39","0.24","0.87","0.87","0.32","1.39","-0.08","0.56","1.68","3.31","2.79","3.04","4.78","0.4","0.11","0.36","0.9","0.24","2.31","3.62","3.25","1.2"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.29","0.31","0.24","0.22","0.14","0.18","-0.53","0.11","0.1","-0.01","0.78","0.04","-0.2","0.3","0.8","0.93","0.74","0.84","1.14","0.97","0.65","1.05","1.16","0.03","-0.07","0.47","0.16","0.59","0.28","-0.23","0.15","0.33","0.02","-0.74","0.04","0.16","0.76","0.68","0.71","0.46","0.24","0.13","0.38","0.61","0.21","0.06","0.74","1.09","1.7","1.32","2.33","0.81","0.63","0.46","0.32","0.83","1.26","1.67","1.07","1.16"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.92","0.97","1","1.2","1.27","1.12","1.16","1.47","1.43","1.55","1.22","1.22","1.33","1.13","0.99","0.96","1.11","1.03","0.92","1.09","0.94","0.88","0.81","1.21","1.12","1.12","1.26","1.22","1.22","1.28","1.22","1.17","1.15","1.19","0.82","0.79","0.59","0.53","0.49","0.57","1.15","1.06","1.17","1.06","1.02","0.98","1.02","1.13","1.18","1.14","1.08","0.91","0.82","0.88","0.87","0.68","0.79","1","1.12","0.85"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","77.26","58.07","46.76","80.54","73.74","58.82","79.66","70.83","66.24","70.01","48.85","51.12","55.19","43.12","83.33","84.46","89.74","59.86","63.73","74.92","72.26","62.31","57.71","82.3","78.87","82.74","90.1","88.13","88.54","90.44","91.75","93.88","94.35","96.59","93.31","85.91","69.81","58.04","46.2","65.71","93.31","91.45","93.15","90.26","89.08","91.19","94.24","96.87","94.45","93.97","88.09","80.27","67.86","73.68","76.09","73.62","80.23","68.75","83.26","41.69"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-10.2738","-6.5773","-6.6411","-5.9647","-7.538","-7.3481","-7.761","-7.2742","-6.6642","-6.7843","-3.3554","-5.2706","-6.2975","-5.8258","-10.1805","-10.0388","-10.9629","-10.0127","-9.7979","-9.9638","-10.0076","-10.0436","-15.7114","-15.5081","-24.8234","-24.0352","-24.613","-23.2852","-23.8907","-25.6777","-24.403","-23.6156","-23.7584","-25.5918","-16.0516","-14.8067","-4.4556","-3.8648","-11.5188","-35.496","-38.0435","-36.9651","-38.7188","-36.8987","-35.3351","-35.4657","-36.4673","-37.5501","-36.7859","-37.0647","-33.2381","-11.0732","-10.5251","-11.6018","-11.7534","-10.3225","-9.0803","-6.7775","-7.0632","-7.5758"
"B Max Drawdown","-11.3543","-5.7292","-5.5958","-5.5957","-5.5957","-5.5957","-4.7928","-4.7928","-4.633","-3.8321","-2.7968","-2.7968","-2.7968","-2.7968","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1596","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7423","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6044","-9.6045","-7.4772","-5.2125","-5.2125"
"MD DIFF(P-B)","1.0805","-0.848100000000001","-1.0453","-0.369","-1.9423","-1.7524","-2.9682","-2.4814","-2.0312","-2.9522","-0.5586","-2.4738","-3.5007","-3.029","-0.0210000000000008","0.120699999999999","-0.8034","0.146799999999999","0.361599999999999","0.195699999999999","0.151899999999999","0.1159","-5.5518","-5.3336","-5.0452","-4.257","-4.8348","-3.507","-4.1125","-5.8995","-4.6248","-3.8374","-3.9802","-5.9573","0.395","0.935600000000001","2.3805","2.9713","1.237","-1.57100000000001","-4.1185","-3.0401","-4.7938","-2.9737","-1.4101","-1.5407","-2.5423","-3.6251","-2.8609","-3.1397","-4.7178","-1.4687","-0.9206","-1.9973","-2.1489","-0.7181","0.5242","0.6997","-1.8507","-2.3633"
