"","1 Y 2016-06-27 to 2017-06-28","1 Y 2016-07-27 to 2017-07-28","1 Y 2016-08-29 to 2017-08-28","1 Y 2016-09-27 to 2017-09-28","1 Y 2016-10-27 to 2017-10-28","1 Y 2016-11-28 to 2017-11-28","1 Y 2016-12-27 to 2017-12-28","1 Y 2017-01-27 to 2018-01-28","1 Y 2017-02-27 to 2018-02-28","1 Y 2017-03-27 to 2018-03-28","1 Y 2017-04-27 to 2018-04-28","1 Y 2017-05-30 to 2018-05-28","1 Y 2017-06-27 to 2018-06-28","1 Y 2017-07-27 to 2018-07-28","1 Y 2017-08-28 to 2018-08-28","1 Y 2017-09-27 to 2018-09-28","1 Y 2017-10-27 to 2018-10-28","1 Y 2017-11-27 to 2018-11-28","1 Y 2017-12-27 to 2018-12-28","1 Y 2018-01-29 to 2019-01-28","1 Y 2018-02-27 to 2019-02-28","1 Y 2018-03-27 to 2019-03-28","1 Y 2018-04-27 to 2019-04-28","1 Y 2018-05-29 to 2019-05-28","1 Y 2018-06-27 to 2019-06-28","1 Y 2018-07-27 to 2019-07-28","1 Y 2018-08-27 to 2019-08-28","1 Y 2018-09-27 to 2019-09-28","1 Y 2018-10-29 to 2019-10-28","1 Y 2018-11-27 to 2019-11-28","1 Y 2018-12-27 to 2019-12-28","1 Y 2019-01-28 to 2020-01-28","1 Y 2019-02-27 to 2020-02-28","1 Y 2019-03-27 to 2020-03-28","1 Y 2019-04-29 to 2020-04-28","1 Y 2019-05-28 to 2020-05-28","1 Y 2019-06-27 to 2020-06-28","1 Y 2019-07-29 to 2020-07-28","1 Y 2019-08-27 to 2020-08-28","1 Y 2019-09-27 to 2020-09-28","1 Y 2019-10-28 to 2020-10-28","1 Y 2019-11-27 to 2020-11-28","1 Y 2019-12-27 to 2020-12-28","1 Y 2020-01-27 to 2021-01-28","1 Y 2020-02-27 to 2021-02-28","1 Y 2020-03-27 to 2021-03-28","1 Y 2020-04-27 to 2021-04-28","1 Y 2020-05-27 to 2021-05-28","1 Y 2020-06-29 to 2021-06-28","1 Y 2020-07-27 to 2021-07-28","1 Y 2020-08-27 to 2021-08-28","1 Y 2020-09-28 to 2021-09-28","1 Y 2020-10-27 to 2021-10-28","1 Y 2020-11-27 to 2021-11-28"
"P Information Ratio","2.49","1.82","1.25","1.46","2.31","1.85","1.73","0.21","1.19","1.64","1.26","2.54","1.95","1.46","1.52","0.39","0.87","0.48","0.26","0.8","0.98","0.62","-0.02","-0.09","-0.42","-0.32","0.21","0.16","0.8","-0.12","0.24","-1.1","-1.26","-2.51","-0.6","-0.44","-0.66","-0.38","-0.75","-0.45","-0.32","0.43","0.18","0.96","0.8","4.09","3.04","2.95","2.68","2.21","2.31","2.44","2.46","1.19"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.17","0.25","0.03","-0.06","0.22","0.55","0.31","-0.08","0.01","0.23","0.49","0.6","0.59","0.75","0.79","0.25","0.52","0.17","0.24","0.25","0.44","0.26","-0.01","-0.12","-0.18","-0.08","0.05","0.1","0.04","-0.26","-0.51","-0.56","-0.53","-0.25","-0.37","-0.5","-0.48","-0.53","-0.79","-0.81","-0.58","-0.07","-0.09","0.26","-0.14","1.77","1.57","1.44","1.64","1.59","1.15","0.91","1.42","1.77"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.34","1.3","1.26","1.29","1.19","0.77","1.03","1.09","1.07","0.97","0.91","0.88","0.9","0.91","0.83","0.92","0.99","1.06","1.03","1.05","1.16","1.19","1.15","1.07","1.1","1.11","1.11","1.15","1.19","1.21","1.28","1.18","1.12","1.07","1.24","1.27","1.3","1.3","1.33","1.27","1.27","1.32","1.28","1.34","1.4","1.31","1.14","1.13","1.1","1.19","1.31","1.3","1.26","0.62"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","84.53","78.36","87.16","84.85","65.36","57.87","61.91","67.51","85","84.39","84.34","82.95","76.92","78.01","69.4","87.85","88.59","88.74","84.62","90.68","92.39","96.25","94.82","95.31","97.04","97.52","98.09","98.11","96.88","97.53","96.14","96.9","98.12","95.96","95.62","97.08","96.7","97.07","96.37","96.97","94.16","94.68","94.04","94.61","93.15","81.96","67.76","69.53","66.07","70.37","70.47","60.98","56.41","39.27"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-5.2774","-5.0156","-5.5778","-4.7303","-3.4597","-3.3877","-3.6462","-3.8932","-9.9555","-10.0342","-10.1818","-10.1738","-10.2955","-10.136","-10.4388","-10.3477","-11.8424","-12.044","-22.1646","-20.7557","-21.4922","-21.628","-21.4543","-20.2972","-21.816","-21.6641","-21.1651","-20.5879","-17.5813","-17.195","-8.088","-8.1478","-12.9042","-40.8791","-38.8188","-39.5304","-39.1621","-39.2898","-41.0637","-40.1578","-40.5821","-41.2791","-40.3798","-40.451","-35.322","-14.9613","-15.9686","-14.6374","-8.8924","-8.6817","-9.0116","-7.0777","-7.4088","-6.3164"
"B Max Drawdown","-4.7927","-4.7928","-4.633","-3.9694","-2.7968","-2.7968","-2.7968","-2.7968","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7424","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125"
"MD DIFF(P-B)","-0.4847","-0.2228","-0.9448","-0.7609","-0.6629","-0.5909","-0.8494","-1.0964","0.203999999999999","0.125299999999999","-0.0223000000000013","-0.0143000000000004","-0.136000000000001","0.0235000000000003","-0.279300000000001","-0.1882","-1.6829","-1.8695","-2.3864","-0.977500000000003","-1.714","-1.8498","-1.6761","-0.519000000000002","-2.0378","-1.8859","-1.3869","-0.953400000000002","-1.1347","-1.4526","-1.2519","-1.3117","-0.148399999999999","-6.9541","-4.89380000000001","-5.6054","-5.23710000000001","-5.3648","-7.1387","-6.2328","-6.6571","-7.3541","-6.45480000000001","-6.526","-6.8017","-5.3568","-6.3641","-5.0329","0.7121","0.922800000000001","0.5929","0.3995","-2.1963","-1.1039"
