"","1 Y 2018-05-10 to 2019-05-11","1 Y 2018-06-11 to 2019-06-11","1 Y 2018-07-10 to 2019-07-11","1 Y 2018-08-10 to 2019-08-11","1 Y 2018-09-10 to 2019-09-11","1 Y 2018-10-10 to 2019-10-11","1 Y 2018-11-12 to 2019-11-11","1 Y 2018-12-10 to 2019-12-11","1 Y 2019-01-10 to 2020-01-11","1 Y 2019-02-11 to 2020-02-11","1 Y 2019-03-11 to 2020-03-11","1 Y 2019-04-10 to 2020-04-11","1 Y 2019-05-10 to 2020-05-11","1 Y 2019-06-10 to 2020-06-11","1 Y 2019-07-10 to 2020-07-11","1 Y 2019-08-12 to 2020-08-11","1 Y 2019-09-10 to 2020-09-11","1 Y 2019-10-10 to 2020-10-11","1 Y 2019-11-11 to 2020-11-11","1 Y 2019-12-10 to 2020-12-11","1 Y 2020-01-10 to 2021-01-11","1 Y 2020-02-10 to 2021-02-11","1 Y 2020-03-10 to 2021-03-11","1 Y 2020-04-10 to 2021-04-11","1 Y 2020-05-11 to 2021-05-11","1 Y 2020-06-10 to 2021-06-11","1 Y 2020-07-10 to 2021-07-11","1 Y 2020-08-10 to 2021-08-11","1 Y 2020-09-10 to 2021-09-11"
"P Information Ratio","0.03","-0.45","-0.44","-0.51","-0.2","0.36","-0.18","-0.31","-0.46","-1.15","-1.6","-0.73","-0.58","-1.03","-0.64","-0.42","-0.4","-0.38","-0.21","-0.13","0.21","0.49","2.68","2.2","2.77","2.79","1.95","1.29","1.45"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.37","-0.36","-0.07","-0.22","-0.08","-0.43","-0.31","-0.59","-0.4","-0.8","-0.4","-0.66","-0.79","-0.67","-0.51","-0.39","-0.53","-0.74","-0.33","-0.21","0.05","-0.81","1.18","1.61","1.27","1.57","1.57","0.98","0.9"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.09","1.08","1.16","1.19","1.19","1.23","1.26","1.25","1.12","1.11","0.96","1.27","1.33","1.36","1.35","1.41","1.34","1.31","1.3","1.34","1.34","1.47","1.28","1.21","1.09","1","1.04","1.19","1.21"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","92.97","93.91","94.98","94.56","94.02","92.49","91.03","82.35","76.95","74.94","80.68","89.29","93.04","90.75","91.11","91.26","91.09","89.32","90.7","90.98","91.61","93.55","75.57","59.91","53.57","55.45","50.57","47.06","34.49"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-21.3934","-21.3763","-21.6733","-22.1792","-22.0069","-18.1551","-15.9931","-12.2595","-7.5256","-7.5773","-21.3622","-35.8993","-36.5057","-36.6543","-36.4637","-37.3972","-36.9857","-37.2953","-36.5004","-36.8817","-36.8562","-36.8417","-19.6077","-10.9921","-11.2616","-8.3681","-8.5069","-8.39","-6.7061"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-16.4466","-15.7424","-11.3151","-6.8361","-6.8361","-18.8884","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-22.3726","-9.6044","-9.6044","-9.6045","-9.6044","-9.6044","-7.4469"
"MD DIFF(P-B)","-1.6152","-1.5981","-1.8951","-2.401","-2.2287","-1.7085","-0.2507","-0.9444","-0.6895","-0.7412","-2.4738","-1.9743","-2.5807","-2.7293","-2.53870000000001","-3.4722","-3.0607","-3.3703","-2.5754","-2.9567","-2.9312","-2.91670000000001","2.7649","-1.3877","-1.6572","1.2364","1.0975","1.2144","0.7408"
