"","1 Y 2015-06-15 to 2018-06-16","1 Y 2015-07-15 to 2018-07-16","1 Y 2015-08-17 to 2018-08-16","1 Y 2015-09-15 to 2018-09-16","1 Y 2015-10-15 to 2018-10-16","1 Y 2015-11-16 to 2018-11-16","1 Y 2015-12-15 to 2018-12-16","1 Y 2016-01-15 to 2019-01-16","1 Y 2016-02-15 to 2019-02-16","1 Y 2016-03-15 to 2019-03-16","1 Y 2016-04-15 to 2019-04-16","1 Y 2016-05-16 to 2019-05-16","1 Y 2016-06-15 to 2019-06-16","1 Y 2016-07-15 to 2019-07-16","1 Y 2016-08-15 to 2019-08-16","1 Y 2016-09-15 to 2019-09-16","1 Y 2016-10-17 to 2019-10-16","1 Y 2016-11-15 to 2019-11-16","1 Y 2016-12-15 to 2019-12-16","1 Y 2017-01-16 to 2020-01-16","1 Y 2017-02-15 to 2020-02-16","1 Y 2017-03-15 to 2020-03-16","1 Y 2017-04-17 to 2020-04-16","1 Y 2017-05-15 to 2020-05-16","1 Y 2017-06-15 to 2020-06-16","1 Y 2017-07-17 to 2020-07-16","1 Y 2017-08-15 to 2020-08-16","1 Y 2017-09-15 to 2020-09-16","1 Y 2017-10-16 to 2020-10-16","1 Y 2017-11-15 to 2020-11-16","1 Y 2017-12-15 to 2020-12-16","1 Y 2018-01-15 to 2021-01-16","1 Y 2018-02-15 to 2021-02-16","1 Y 2018-03-15 to 2021-03-16","1 Y 2018-04-16 to 2021-04-16","1 Y 2018-05-15 to 2021-05-16","1 Y 2018-06-15 to 2021-06-16","1 Y 2018-07-16 to 2021-07-16","1 Y 2018-08-15 to 2021-08-16","1 Y 2018-09-17 to 2021-09-16","1 Y 2018-10-15 to 2021-10-16","2 Y 2015-06-15 to 2018-06-16","2 Y 2015-07-15 to 2018-07-16","2 Y 2015-08-17 to 2018-08-16","2 Y 2015-09-15 to 2018-09-16","2 Y 2015-10-15 to 2018-10-16","2 Y 2015-11-16 to 2018-11-16","2 Y 2015-12-15 to 2018-12-16","2 Y 2016-01-15 to 2019-01-16","2 Y 2016-02-15 to 2019-02-16","2 Y 2016-03-15 to 2019-03-16","2 Y 2016-04-15 to 2019-04-16","2 Y 2016-05-16 to 2019-05-16","2 Y 2016-06-15 to 2019-06-16","2 Y 2016-07-15 to 2019-07-16","2 Y 2016-08-15 to 2019-08-16","2 Y 2016-09-15 to 2019-09-16","2 Y 2016-10-17 to 2019-10-16","2 Y 2016-11-15 to 2019-11-16","2 Y 2016-12-15 to 2019-12-16","2 Y 2017-01-16 to 2020-01-16","2 Y 2017-02-15 to 2020-02-16","2 Y 2017-03-15 to 2020-03-16","2 Y 2017-04-17 to 2020-04-16","2 Y 2017-05-15 to 2020-05-16","2 Y 2017-06-15 to 2020-06-16","2 Y 2017-07-17 to 2020-07-16","2 Y 2017-08-15 to 2020-08-16","2 Y 2017-09-15 to 2020-09-16","2 Y 2017-10-16 to 2020-10-16","2 Y 2017-11-15 to 2020-11-16","2 Y 2017-12-15 to 2020-12-16","2 Y 2018-01-15 to 2021-01-16","2 Y 2018-02-15 to 2021-02-16","2 Y 2018-03-15 to 2021-03-16","2 Y 2018-04-16 to 2021-04-16","2 Y 2018-05-15 to 2021-05-16","2 Y 2018-06-15 to 2021-06-16","2 Y 2018-07-16 to 2021-07-16","2 Y 2018-08-15 to 2021-08-16","2 Y 2018-09-17 to 2021-09-16","2 Y 2018-10-15 to 2021-10-16","3 Y 2015-06-15 to 2018-06-16","3 Y 2015-07-15 to 2018-07-16","3 Y 2015-08-17 to 2018-08-16","3 Y 2015-09-15 to 2018-09-16","3 Y 2015-10-15 to 2018-10-16","3 Y 2015-11-16 to 2018-11-16","3 Y 2015-12-15 to 2018-12-16","3 Y 2016-01-15 to 2019-01-16","3 Y 2016-02-15 to 2019-02-16","3 Y 2016-03-15 to 2019-03-16","3 Y 2016-04-15 to 2019-04-16","3 Y 2016-05-16 to 2019-05-16","3 Y 2016-06-15 to 2019-06-16","3 Y 2016-07-15 to 2019-07-16","3 Y 2016-08-15 to 2019-08-16","3 Y 2016-09-15 to 2019-09-16","3 Y 2016-10-17 to 2019-10-16","3 Y 2016-11-15 to 2019-11-16","3 Y 2016-12-15 to 2019-12-16","3 Y 2017-01-16 to 2020-01-16","3 Y 2017-02-15 to 2020-02-16","3 Y 2017-03-15 to 2020-03-16","3 Y 2017-04-17 to 2020-04-16","3 Y 2017-05-15 to 2020-05-16","3 Y 2017-06-15 to 2020-06-16","3 Y 2017-07-17 to 2020-07-16","3 Y 2017-08-15 to 2020-08-16","3 Y 2017-09-15 to 2020-09-16","3 Y 2017-10-16 to 2020-10-16","3 Y 2017-11-15 to 2020-11-16","3 Y 2017-12-15 to 2020-12-16","3 Y 2018-01-15 to 2021-01-16","3 Y 2018-02-15 to 2021-02-16","3 Y 2018-03-15 to 2021-03-16","3 Y 2018-04-16 to 2021-04-16","3 Y 2018-05-15 to 2021-05-16","3 Y 2018-06-15 to 2021-06-16","3 Y 2018-07-16 to 2021-07-16","3 Y 2018-08-15 to 2021-08-16","3 Y 2018-09-17 to 2021-09-16","3 Y 2018-10-15 to 2021-10-16"
"P Information Ratio","0.24","0.27","0.77","1.42","0.67","-0.1","-0.54","-0.5","-0.09","-0.24","-0.68","-0.99","-1.23","-0.54","-0.2","-0.02","-0.05","0.02","0.47","0.39","0.68","0.55","0.14","1.01","0.65","0.77","0.62","0.25","1.23","-1.06","-1.05","-1.42","-0.89","-1.6","-0.38","0.88","0.16","0.53","0.63","0.95","1.68","-0.13","0.28","0.35","0.72","0.56","-0.35","-0.88","-0.51","-0.4","-0.29","-0.25","-0.03","-0.1","-0.08","0.21","0.09","0.13","0.26","0.51","0.48","0.54","0.6","0.13","0.76","0.53","0.65","0.82","0.26","0.91","-1.37","-1.4","-1.54","-1.31","-0.87","-0.93","-0.97","-0.89","-0.88","-0.48","-0.77","-0.2","-0.17","0.17","0.46","0.55","0.57","0.33","0.34","0.7","0.55","0.32","0.11","0.33","0.18","0.14","0.16","0.13","0.08","0.11","0.45","0.29","0.33","0.49","0.1","0.69","0.62","0.63","0.74","0.25","0.74","-0.82","-0.93","-0.77","-0.69","-0.53","-0.77","-0.82","-0.87","-0.88","-0.77","-0.81","-0.4"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.14","0.17","0.21","0.07","0.36","0.09","-0.29","-0.24","0.18","-0.29","-0.66","-1","-1","-0.3","-0.23","0.09","-0.49","-0.16","-0.31","-0.33","-0.49","1.55","0.11","1.88","2.66","1.27","1.21","0.53","2.15","-1.22","-1.31","-1.35","-1.96","-0.08","0.46","0.43","1.32","1.21","1.2","1.33","0.19","-0.31","-0.17","-0.1","-0.32","-0.07","-0.39","-0.44","-0.66","-0.53","-0.38","-0.31","-0.2","-0.29","-0.12","-0.11","-0.18","-0.11","0.16","0.25","0.17","0.17","0.85","-0.02","0.87","1.23","1.29","1.42","0.37","0.81","-1.28","-1.26","-1.08","-1.26","-1.08","-0.75","-1.25","-1.12","-1.05","-0.92","-1.11","-0.78","-0.04","0.1","0.17","0.24","0.28","0.1","0.21","0.03","-0.08","0","-0.25","-0.12","-0.16","-0.17","-0.23","-0.25","-0.2","-0.01","0.15","0","-0.03","0.65","-0.08","0.68","1.08","0.9","1.01","0.17","0.77","-0.72","-0.79","-0.5","-0.58","-0.63","-0.61","-0.92","-0.97","-0.87","-0.93","-0.88","-0.83"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.04","1.14","1.13","1.08","1.11","1.19","1.16","1.34","1.52","1.59","1.36","1.29","1.31","1.44","1.49","1.48","1.51","1.4","1.43","1.31","1.15","0.45","1.33","1.48","1.53","1.36","1.4","1.43","1.4","1.24","1.27","1.11","1.32","1.03","0.92","0.84","0.81","0.84","0.88","0.71","1.29","1.21","1.37","1.34","1.39","1.33","1.16","1.18","1.28","1.45","1.48","1.29","1.23","1.27","1.33","1.36","1.35","1.28","1.17","1.18","1.14","1.09","0.84","1.26","1.34","1.36","1.25","1.29","1.32","1.35","1.19","1.21","1.03","1.13","1.14","1.19","1.19","1.27","1.3","1.27","1.25","1.4","1.03","1.21","1.23","1.2","1.21","1.2","1.21","1.37","1.48","1.55","1.35","1.29","1.35","1.36","1.39","1.39","1.29","1.15","1.17","1.11","1.07","0.81","1.2","1.29","1.32","1.18","1.2","1.25","1.25","1.11","1.12","0.98","1.07","1.08","1.12","1.12","1.2","1.24","1.26","1.21","1.38"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","68.09","66.78","61.51","70.57","67.84","75.95","74.06","81.54","85.55","91.57","86.98","88.86","92.74","92.52","91.64","92.05","81.85","76.98","65.9","64.8","60.39","9.93","51.56","49.53","51.09","43.29","44.04","67.22","64.09","89.22","90","89.23","92.11","77.29","60.04","49.26","41.17","40.59","30.67","16.13","50.26","64.08","57.07","54.72","58.5","53.92","67.88","69.39","76.91","80.81","85.08","81.34","80.79","85.71","84.4","82.78","84.75","75.57","70.1","72.56","78.24","75.53","48.59","62.93","55.72","56.23","50.62","51.49","70.9","66.91","87.87","86.57","83.58","84.04","83.23","85.54","81.25","78.14","79.33","75.41","75.33","82.47","68.97","73.29","69.83","65.89","61.92","63.1","61.46","63.15","70.87","72.11","71.38","71.49","76.2","77.01","76.87","79.57","71.48","68.74","71.07","77.47","74.49","48.14","61.29","54.35","54.88","47.72","47.9","66.99","64.31","82.19","82.59","79.88","81.33","82.22","82.73","80.55","79.7","80.34","79.03","78.07","84.41"
