"","2015-12-28_to_2018-12-29_VGPortfolio_2QRank","2016-01-28_to_2019-01-29_VGPortfolio_2QRank","2016-02-29_to_2019-03-01_VGPortfolio_2QRank","2016-03-28_to_2019-03-29_VGPortfolio_2QRank","2016-04-28_to_2019-04-29_VGPortfolio_2QRank","2016-05-31_to_2019-05-29_VGPortfolio_2QRank","2016-06-28_to_2019-06-29_VGPortfolio_2QRank","2016-07-28_to_2019-07-29_VGPortfolio_2QRank","2016-08-29_to_2019-08-29_VGPortfolio_2QRank","2016-09-28_to_2019-09-29_VGPortfolio_2QRank","2016-10-28_to_2019-10-29_VGPortfolio_2QRank","2016-11-28_to_2019-11-29_VGPortfolio_2QRank","2016-12-28_to_2019-12-29_VGPortfolio_2QRank","2017-01-30_to_2020-01-29_VGPortfolio_2QRank","2017-02-28_to_2020-02-29_VGPortfolio_2QRank","2017-03-28_to_2020-03-29_VGPortfolio_2QRank","2017-04-28_to_2020-04-29_VGPortfolio_2QRank","2017-05-30_to_2020-05-29_VGPortfolio_2QRank","2017-06-28_to_2020-06-29_VGPortfolio_2QRank","2017-07-28_to_2020-07-29_VGPortfolio_2QRank","2017-08-28_to_2020-08-29_VGPortfolio_2QRank","2017-09-28_to_2020-09-29_VGPortfolio_2QRank","2017-10-30_to_2020-10-29_VGPortfolio_2QRank","2017-11-28_to_2020-11-29_VGPortfolio_2QRank","2017-12-28_to_2020-12-29_VGPortfolio_2QRank","2018-01-29_to_2021-01-29_VGPortfolio_2QRank","2018-02-28_to_2021-03-01_VGPortfolio_2QRank","2018-03-28_to_2021-03-29_VGPortfolio_2QRank","2018-04-30_to_2021-04-29_VGPortfolio_2QRank","2018-05-29_to_2021-05-29_VGPortfolio_2QRank","2018-06-28_to_2021-06-29_VGPortfolio_2QRank","2018-07-30_to_2021-07-29_VGPortfolio_2QRank","2018-08-28_to_2021-08-29_VGPortfolio_2QRank","2018-09-28_to_2021-09-29_VGPortfolio_2QRank","2018-10-29_to_2021-10-29_VGPortfolio_2QRank","2018-11-28_to_2021-11-29_VGPortfolio_2QRank"
"P Information Ratio","0.91","1.51","1.24","1.5","1.1","0.56","0.57","0.94","0.67","0.79","1.1","0.89","0.57","0.2","-0.37","-0.59","-0.32","0.99","0.77","0.96","0.88","1.11","1.31","0.97","1.15","1.46","1.07","0.88","0.88","0.31","0.77","0.78","0.76","0.13","0.55","0.52"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.21","0.31","0.23","0.34","0.21","0.09","0.03","0.21","0.14","0.25","0.22","0.18","0.14","-0.07","-0.25","-0.07","-0.27","0.57","0.64","0.53","0.5","0.5","0.62","0.26","0.48","0.83","0.46","0.39","0.36","-0.02","0.12","0.21","0.24","-0.17","-0.01","0.04"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.19","1.17","1.23","1.24","1.2","1.15","1.19","1.17","1.15","1.16","1.2","1.12","1.05","1.13","1.14","1.08","1.2","1.22","1.22","1.23","1.28","1.19","1.19","1.11","1.2","1.15","1.09","1.19","1.19","1.16","1.19","1.22","1.24","1.21","1.19","1.13"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","87.55","90.14","91.15","92.19","92.9","90.82","92.07","91.36","92.33","90.99","89.62","90.6","87.78","92.1","94.6","94.79","96.04","81.3","82.38","83.68","82.63","88.2","87.73","91.69","90.24","86.99","90.1","93.93","91.9","93.48","94.64","93.84","92.63","95.09","94.83","95.32"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-23.367","-23.7518","-24.4727","-23.9117","-22.8677","-23.4574","-23.8029","-23.2478","-23.3404","-23.5829","-24.2177","-22.1802","-20.9313","-22.3263","-22.5101","-38.3417","-39.1709","-41.1953","-40.5316","-40.2968","-41.4445","-38.8598","-39.329","-38.9741","-40.144","-39.4295","-38.4557","-37.9462","-38.9687","-38.8535","-39.165","-39.016","-40.127","-38.737","-39.7235","-37.7017"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-3.5888","-3.9736","-4.6945","-4.1335","-3.0895","-3.6792","-4.0247","-3.4696","-3.5622","-3.8047","-4.4395","-2.402","-1.1531","-2.5481","-2.7319","-4.41670000000001","-5.24590000000001","-7.27030000000001","-6.6066","-6.3718","-7.5195","-4.9348","-5.404","-5.0491","-6.219","-5.5045","-4.5307","-4.0212","-5.0437","-4.9285","-5.24","-5.091","-6.20200000000001","-4.812","-5.7985","-3.77670000000001"
