"","1 Y 2018-01-03 to 2019-01-04","1 Y 2018-02-05 to 2019-02-04","1 Y 2018-03-05 to 2019-03-04","1 Y 2018-04-03 to 2019-04-04","1 Y 2018-05-03 to 2019-05-04","1 Y 2018-06-04 to 2019-06-04","1 Y 2018-07-03 to 2019-07-04","1 Y 2018-08-03 to 2019-08-04","1 Y 2018-09-03 to 2019-09-04","1 Y 2018-10-03 to 2019-10-04","1 Y 2018-11-05 to 2019-11-04","1 Y 2018-12-03 to 2019-12-04","1 Y 2019-01-03 to 2020-01-04","1 Y 2019-02-04 to 2020-02-04","1 Y 2019-03-04 to 2020-03-04","1 Y 2019-04-03 to 2020-04-04","1 Y 2019-05-03 to 2020-05-04","1 Y 2019-06-03 to 2020-06-04","1 Y 2019-07-03 to 2020-07-04","1 Y 2019-08-05 to 2020-08-04","1 Y 2019-09-03 to 2020-09-04","1 Y 2019-10-03 to 2020-10-04","1 Y 2019-11-04 to 2020-11-04","1 Y 2019-12-03 to 2020-12-04","1 Y 2020-01-03 to 2021-01-04","1 Y 2020-02-03 to 2021-02-04","1 Y 2020-03-03 to 2021-03-04","1 Y 2020-04-03 to 2021-04-04","1 Y 2020-05-04 to 2021-05-04","1 Y 2020-06-03 to 2021-06-04","1 Y 2020-07-03 to 2021-07-04","1 Y 2020-08-03 to 2021-08-04","1 Y 2020-09-03 to 2021-09-04"
"P Information Ratio","-0.02","0.13","0.81","-0.04","0.41","1.2","0.62","0.58","1.85","1.85","0.86","0.36","0.35","-0.64","-1.49","-1.47","-1.6","-1.3","-1.55","-1.62","-1.64","-1.26","-1.43","-0.99","-0.99","-0.85","-0.71","1.18","1.58","0.56","0.62","0.66","0.9"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.06","0.15","0.08","0.04","0.16","0.24","0.16","0.2","0.44","0.35","0.07","0.04","0.05","-0.11","-0.17","-0.4","-0.78","-0.69","-0.78","-0.79","-1.12","-0.77","-0.58","-0.43","-0.5","-0.88","0.67","1.09","1.34","1.39","1.02","1.01","0.91"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.97","0.99","1.01","1.03","1.02","0.98","0.99","1.01","1","1.01","1.04","1.03","1","0.97","1","1.14","1.14","1.16","1.16","1.16","1.16","1.11","1.04","1.05","1.04","1.03","0.82","0.79","0.77","0.76","0.77","0.86","0.85"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","94.71","95.85","96.59","96.27","95.75","96.69","97.44","98.56","98.32","98.21","98.3","96.85","95.27","96.49","98.41","97.31","98.01","97.61","97.57","97.68","98.01","95.87","94.05","95.26","93.92","91.17","73.13","58.64","54.96","60.5","53.32","54.99","50.72"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-18.1093","-18.1714","-17.8637","-18.264","-17.8497","-17.8269","-18.1116","-18.3599","-18.1075","-16.8879","-15.2083","-12.4688","-6.4924","-6.2823","-12.899","-38.8297","-39.2514","-38.8698","-39.1881","-38.7787","-39.0217","-38.9938","-38.3948","-37.785","-38.0907","-37.7022","-32.8053","-10.886","-11.1829","-11.0592","-6.6627","-6.7275","-6.2577"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-18.9726","-16.4466","-12.9242","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6044","-9.6045","-9.6045","-9.6045","-9.6045","-7.4772"
"MD DIFF(P-B)","1.6689","1.6068","1.9145","1.5142","1.9285","1.9513","1.6666","1.4183","1.6707","2.0847","1.2383","0.455400000000001","0.3437","0.5538","-0.143199999999998","-4.90470000000001","-5.3264","-4.9448","-5.2631","-4.8537","-5.09670000000001","-5.0688","-4.4698","-3.86","-4.1657","-3.7772","-4.285","-1.2816","-1.5784","-1.4547","2.9418","2.877","1.2195"
