"","1 Y 2018-06-28 to 2020-06-29","1 Y 2018-07-30 to 2020-07-29","1 Y 2018-08-28 to 2020-08-29","1 Y 2018-09-28 to 2020-09-29","1 Y 2018-10-29 to 2020-10-29","1 Y 2018-11-28 to 2020-11-29","1 Y 2018-12-28 to 2020-12-29","1 Y 2019-01-28 to 2021-01-29","1 Y 2019-02-28 to 2021-03-01","1 Y 2019-03-28 to 2021-03-29","1 Y 2019-04-29 to 2021-04-29","1 Y 2019-05-28 to 2021-05-29","1 Y 2019-06-28 to 2021-06-29","1 Y 2019-07-29 to 2021-07-29","1 Y 2019-08-28 to 2021-08-29","1 Y 2019-09-30 to 2021-09-29","1 Y 2019-10-28 to 2021-10-29","1 Y 2019-11-29 to 2021-11-29","2 Y 2018-06-28 to 2020-06-29","2 Y 2018-07-30 to 2020-07-29","2 Y 2018-08-28 to 2020-08-29","2 Y 2018-09-28 to 2020-09-29","2 Y 2018-10-29 to 2020-10-29","2 Y 2018-11-28 to 2020-11-29","2 Y 2018-12-28 to 2020-12-29","2 Y 2019-01-28 to 2021-01-29","2 Y 2019-02-28 to 2021-03-01","2 Y 2019-03-28 to 2021-03-29","2 Y 2019-04-29 to 2021-04-29","2 Y 2019-05-28 to 2021-05-29","2 Y 2019-06-28 to 2021-06-29","2 Y 2019-07-29 to 2021-07-29","2 Y 2019-08-28 to 2021-08-29","2 Y 2019-09-30 to 2021-09-29","2 Y 2019-10-28 to 2021-10-29","2 Y 2019-11-29 to 2021-11-29"
"P Information Ratio","-0.37","0.16","-0.19","0.11","0.55","0.75","0.78","0.51","0.93","0.9","1.06","2.04","1.84","0.99","2.13","1.92","1.26","0.7","-0.37","-0.03","-0.15","-0.03","0.28","0.4","0.7","0.11","-0.02","0.15","0.18","0.38","0.3","0.07","0.5","0.55","0.25","0.3"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.01","-0.07","-0.18","-0.23","0.17","0.33","0.58","0.73","-0.55","0.88","0.91","0.28","0.71","0.86","0.65","0.18","1.01","1.34","-0.12","-0.13","-0.1","-0.3","-0.05","-0.05","-0.03","-0.1","-0.48","-0.22","-0.07","-0.26","-0.09","-0.2","-0.15","-0.12","-0.09","-0.12"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.31","1.31","1.35","1.32","1.29","1.3","1.34","1.32","1.39","1.17","1.15","1.18","1.12","0.99","1.21","1.27","1.02","0.61","1.24","1.25","1.28","1.28","1.27","1.28","1.32","1.3","1.27","1.26","1.29","1.33","1.31","1.28","1.36","1.33","1.26","1.24"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","89.56","88.97","88.52","88.53","87.85","89.56","90.08","91.35","93.05","81.79","71.81","80.06","78.79","71.46","73.06","70.34","64.83","45.38","91.01","91.03","90.61","90.04","89.32","90.46","88.74","89.15","89.39","87.81","89.24","89.42","89.33","87.38","87.23","88.03","85.95","85.22"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-36.307","-36.3022","-37.0802","-36.9702","-36.8894","-36.7317","-37.2132","-36.7162","-30.6197","-8.4274","-8.5785","-8.7221","-8.742","-8.3334","-8.4743","-6.4132","-4.8351","-4.8894","-36.307","-36.3022","-37.0802","-36.9702","-36.8894","-36.7317","-37.2132","-36.7162","-36.3867","-36.0976","-36.1322","-36.9701","-36.7949","-36.6652","-37.8077","-37.2568","-36.9841","-36.8192"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4469","-5.2125","-5.2125","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-2.38200000000001","-2.3772","-3.1552","-3.0452","-2.9644","-2.8067","-3.2882","-2.7912","-2.0994","1.1771","1.026","0.882400000000001","0.862499999999999","1.2711","1.1302","1.0337","0.377400000000001","0.3231","-2.38200000000001","-2.3772","-3.1552","-3.0452","-2.9644","-2.8067","-3.2882","-2.7912","-2.4617","-2.1726","-2.2072","-3.04510000000001","-2.8699","-2.7402","-3.8827","-3.3318","-3.0591","-2.8942"
