"","1 Y 2018-06-28 to 2020-06-29","1 Y 2018-07-30 to 2020-07-29","1 Y 2018-08-28 to 2020-08-29","1 Y 2018-09-28 to 2020-09-29","1 Y 2018-10-29 to 2020-10-29","1 Y 2018-11-28 to 2020-11-29","1 Y 2018-12-28 to 2020-12-29","1 Y 2019-01-28 to 2021-01-29","1 Y 2019-02-28 to 2021-03-01","1 Y 2019-03-28 to 2021-03-29","1 Y 2019-04-29 to 2021-04-29","1 Y 2019-05-28 to 2021-05-29","1 Y 2019-06-28 to 2021-06-29","1 Y 2019-07-29 to 2021-07-29","1 Y 2019-08-28 to 2021-08-29","1 Y 2019-09-30 to 2021-09-29","1 Y 2019-10-28 to 2021-10-29","1 Y 2019-11-29 to 2021-11-29","2 Y 2018-06-28 to 2020-06-29","2 Y 2018-07-30 to 2020-07-29","2 Y 2018-08-28 to 2020-08-29","2 Y 2018-09-28 to 2020-09-29","2 Y 2018-10-29 to 2020-10-29","2 Y 2018-11-28 to 2020-11-29","2 Y 2018-12-28 to 2020-12-29","2 Y 2019-01-28 to 2021-01-29","2 Y 2019-02-28 to 2021-03-01","2 Y 2019-03-28 to 2021-03-29","2 Y 2019-04-29 to 2021-04-29","2 Y 2019-05-28 to 2021-05-29","2 Y 2019-06-28 to 2021-06-29","2 Y 2019-07-29 to 2021-07-29","2 Y 2019-08-28 to 2021-08-29","2 Y 2019-09-30 to 2021-09-29","2 Y 2019-10-28 to 2021-10-29","2 Y 2019-11-29 to 2021-11-29"
"P Information Ratio","2.16","2.83","2.09","2.73","2.86","4.02","4.37","2.62","1.68","0.58","0.88","-0.12","0.96","0.56","1.25","0.46","0.82","1.21","1.29","1.77","1.3","1.55","2.38","2.91","3.17","2.38","1.7","1.44","1.71","1.28","1.48","1.57","1.51","1.79","2.14","2.03"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","1.31","1.14","1.07","1.11","1.3","1.47","1.48","1.3","0.32","0.5","0.34","0.04","0.27","0.32","0.65","0.29","0.15","-0.03","0.71","0.77","0.66","0.75","0.89","1.02","1.07","0.92","0.81","0.91","0.81","0.66","0.71","0.73","0.92","0.96","0.94","0.91"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.1","1.07","1.08","1.05","1","1.03","0.99","1.01","1.06","1.01","1","0.95","0.93","0.89","0.96","1.01","1.06","1.19","1.15","1.15","1.15","1.06","1.02","1.03","0.97","1","0.94","0.91","0.94","0.94","0.93","0.95","0.93","0.93","0.96","0.95"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","94.43","93.66","93.49","94.27","94.1","95.96","96.22","95.47","88.89","84.33","76.61","84.55","82.16","80.94","75.23","78.47","82.79","85.05","93.1","93.68","94.41","94.52","93.66","94.72","93.87","93.66","91.19","88.94","89.02","88.53","87.58","88","83.66","88.39","90.04","90.24"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-35.5652","-34.6642","-35.2903","-35.0972","-34.2227","-33.7665","-34.0078","-34.3735","-28.1885","-9.2532","-9.6581","-9.2379","-9.2066","-8.9352","-10.0115","-8.4945","-8.2124","-8.2144","-35.5652","-34.6642","-35.2903","-35.0972","-34.2227","-33.7665","-34.0078","-34.3735","-33.3504","-32.9104","-32.9815","-33.5279","-32.9367","-33.1109","-32.3042","-33.2261","-32.835","-32.5456"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6044","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-1.6402","-0.739200000000004","-1.3653","-1.1722","-0.297700000000006","0.158499999999997","-0.082800000000006","-0.448500000000003","0.331799999999998","0.3513","-0.0535999999999994","0.3666","0.3978","0.6693","-0.407","-1.0173","-2.9999","-3.0019","-1.6402","-0.739200000000004","-1.3653","-1.1722","-0.297700000000006","0.158499999999997","-0.082800000000006","-0.448500000000003","0.574599999999997","1.01459999999999","0.9435","0.397099999999995","0.988299999999995","0.814099999999996","1.6208","0.698899999999995","1.09","1.3794"
