"","1 Y 2015-09-25 to 2016-09-26","1 Y 2015-10-26 to 2016-10-26","1 Y 2015-11-25 to 2016-11-26","1 Y 2015-12-28 to 2016-12-26","1 Y 2016-01-25 to 2017-01-26","1 Y 2016-02-25 to 2017-02-26","1 Y 2016-03-28 to 2017-03-26","1 Y 2016-04-25 to 2017-04-26","1 Y 2016-05-25 to 2017-05-26","1 Y 2016-06-27 to 2017-06-26","1 Y 2016-07-25 to 2017-07-26","1 Y 2016-08-25 to 2017-08-26","1 Y 2016-09-26 to 2017-09-26","1 Y 2016-10-25 to 2017-10-26","1 Y 2016-11-25 to 2017-11-26","1 Y 2016-12-27 to 2017-12-26","1 Y 2017-01-25 to 2018-01-26","1 Y 2017-02-27 to 2018-02-26","1 Y 2017-03-27 to 2018-03-26","1 Y 2017-04-25 to 2018-04-26","1 Y 2017-05-25 to 2018-05-26","1 Y 2017-06-26 to 2018-06-26","1 Y 2017-07-25 to 2018-07-26","1 Y 2017-08-25 to 2018-08-26","1 Y 2017-09-25 to 2018-09-26","1 Y 2017-10-25 to 2018-10-26","1 Y 2017-11-27 to 2018-11-26","1 Y 2017-12-26 to 2018-12-26","1 Y 2018-01-25 to 2019-01-26","1 Y 2018-02-26 to 2019-02-26","1 Y 2018-03-26 to 2019-03-26","1 Y 2018-04-25 to 2019-04-26","1 Y 2018-05-25 to 2019-05-26","1 Y 2018-06-25 to 2019-06-26","1 Y 2018-07-25 to 2019-07-26","1 Y 2018-08-27 to 2019-08-26","1 Y 2018-09-25 to 2019-09-26","1 Y 2018-10-25 to 2019-10-26","1 Y 2018-11-26 to 2019-11-26","1 Y 2018-12-26 to 2019-12-26","1 Y 2019-01-25 to 2020-01-26","1 Y 2019-02-25 to 2020-02-26","1 Y 2019-03-25 to 2020-03-26","1 Y 2019-04-25 to 2020-04-26","1 Y 2019-05-28 to 2020-05-26","1 Y 2019-06-25 to 2020-06-26","1 Y 2019-07-25 to 2020-07-26","1 Y 2019-08-26 to 2020-08-26","1 Y 2019-09-25 to 2020-09-26","1 Y 2019-10-25 to 2020-10-26","1 Y 2019-11-25 to 2020-11-26","1 Y 2019-12-26 to 2020-12-26","1 Y 2020-01-27 to 2021-01-26","1 Y 2020-02-25 to 2021-02-26","1 Y 2020-03-25 to 2021-03-26","1 Y 2020-04-27 to 2021-04-26","1 Y 2020-05-26 to 2021-05-26","1 Y 2020-06-25 to 2021-06-26","1 Y 2020-07-27 to 2021-07-26","1 Y 2020-08-25 to 2021-08-26","1 Y 2020-09-25 to 2021-09-26","1 Y 2020-10-26 to 2021-10-26","1 Y 2020-11-25 to 2021-11-26"
"P Information Ratio","0.38","-0.01","1.4","1.76","2.87","2.92","1.85","0.24","-0.31","2.69","1.24","0.82","-1.52","-1.55","0.84","0.73","-1.41","-1.58","-0.62","-0.15","0.73","1.29","0.76","0.79","-0.26","0.28","0.78","0.27","0.75","1.13","-0.32","-1.03","-0.99","-0.11","-0.63","0.07","0.55","0.98","-0.27","-0.18","-0.89","-1.86","-1.37","-1.15","-0.58","-0.4","-0.37","-0.65","-0.68","-0.43","0.6","-0.72","-0.34","0.55","2.94","3.09","2.44","1.87","0.02","1.27","1.73","1.78","-0.62"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.11","-0.26","0.25","1.01","1.41","1.3","0.61","0.19","0.11","0.69","0.78","0.19","-0.66","-0.89","0.07","0.52","-0.04","-0.54","-0.72","0.05","0.6","0.76","0.96","0.7","0.34","0.59","0.12","0.23","0.28","0.7","-0.16","-0.35","-0.53","-0.1","-0.51","0.16","0.38","0.14","-0.58","-2","-1.16","-1.03","-0.31","-0.53","-0.95","-0.7","-0.86","-1.8","-1.31","-1.08","0.24","-0.44","-0.91","-0.69","2.46","2.42","2.27","1.31","0.49","0.28","0.44","1.37","0.35"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.43","1.57","1.27","1.37","1.63","1.59","1.47","0.94","0.87","1.28","1.16","1.24","1.12","1.38","1.02","0.89","0.88","0.96","1.1","0.84","0.87","0.85","0.82","0.81","0.7","0.74","0.86","0.8","0.87","0.83","1","1.14","1.16","1.25","1.23","1.32","1.23","1.38","1.5","1.87","1.5","1.21","1.08","1.2","1.54","1.64","1.77","1.82","1.45","1.48","0.99","1.01","1.38","1.52","1.61","1.44","1.36","1.01","0.98","1.44","1.56","1.2","0.7"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","79.65","86.13","85.78","83.33","53.15","55.35","56.5","75.56","64.56","56.03","29.33","49.58","78.74","81.71","42.39","27.01","54","36.75","42.85","28.18","32.74","30.95","25.9","50.13","52.82","57.67","80.78","83.94","78.64","83.35","90.17","96.08","91.35","93.64","92.42","96.73","96.3","96.03","95.26","93.17","94.47","91.62","94.93","93.51","92.34","92.72","92.25","90.95","94.76","94.59","92.07","91.86","89.28","86.02","59.92","40.95","42.45","69.45","72.96","78.54","50.76","42.43","63.26"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-23.7399","-23.3583","-15.1836","-13.0847","-11.8102","-12.3108","-10.5504","-5.8837","-6.6539","-4.5179","-6.0033","-3.9387","-4.2812","-4.3523","-3.0836","-2.7761","-2.7407","-9.6843","-11.298","-10.5981","-10.7079","-10.9935","-10.4757","-10.6361","-8.9258","-9.8818","-10.0675","-18.7825","-14.7395","-14.5996","-19.165","-22.0724","-22.367","-22.6004","-23.3458","-22.9733","-19.5637","-17.9835","-18.6638","-15.7725","-11.2952","-9.388","-36.9147","-37.8055","-43.2815","-42.9384","-44.9316","-50.3189","-42.753","-43.779","-35.5433","-37.2651","-43.6423","-36.7534","-25.3871","-26.9614","-25.8352","-7.2076","-7.5004","-9.0846","-10.5197","-9.6438","-5.3173"
"B Max Drawdown","-13.3051","-13.3051","-13.0099","-11.9941","-5.7292","-5.5957","-5.5957","-5.5957","-5.5957","-4.7927","-4.7928","-4.633","-3.9694","-2.7968","-2.7968","-2.7968","-2.7968","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1596","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7424","-6.8361","-6.8361","-7.9666","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6044","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125"
"MD DIFF(P-B)","-10.4348","-10.0532","-2.1737","-1.0906","-6.081","-6.7151","-4.9547","-0.288","-1.0582","0.2748","-1.2105","0.6943","-0.3118","-1.5555","-0.2868","0.0207000000000002","0.0561000000000003","0.475199999999999","-1.1385","-0.438600000000001","-0.548400000000001","-0.834","-0.3162","-0.476500000000001","1.2337","0.277699999999999","0.106999999999999","0.995699999999999","5.0387","5.1786","0.613199999999999","-2.2942","-2.5888","-2.8222","-3.5676","-3.1951","0.0707999999999984","-1.5369","-2.9214","-8.9364","-4.4591","-1.4214","-2.98970000000001","-3.8805","-9.3565","-9.0134","-11.0066","-16.3939","-8.828","-9.85400000000001","-1.6183","-3.3401","-9.7173","-8.2331","-15.7827","-17.3569","-16.2307","2.3969","2.1041","0.5199","-3.0425","-4.4313","-0.1048"
