"","2016-06-27_to_2017-06-28_ValuePortfolio_4QRank","2016-07-27_to_2017-07-28_ValuePortfolio_4QRank","2016-08-29_to_2017-08-28_ValuePortfolio_4QRank","2016-09-27_to_2017-09-28_ValuePortfolio_4QRank","2016-10-27_to_2017-10-28_ValuePortfolio_4QRank","2016-11-28_to_2017-11-28_ValuePortfolio_4QRank","2016-12-27_to_2017-12-28_ValuePortfolio_4QRank","2017-01-27_to_2018-01-28_ValuePortfolio_4QRank","2017-02-27_to_2018-02-28_ValuePortfolio_4QRank","2017-03-27_to_2018-03-28_ValuePortfolio_4QRank","2017-04-27_to_2018-04-28_ValuePortfolio_4QRank","2017-05-30_to_2018-05-28_ValuePortfolio_4QRank","2017-06-27_to_2018-06-28_ValuePortfolio_4QRank","2017-07-27_to_2018-07-28_ValuePortfolio_4QRank","2017-08-28_to_2018-08-28_ValuePortfolio_4QRank","2017-09-27_to_2018-09-28_ValuePortfolio_4QRank","2017-10-27_to_2018-10-28_ValuePortfolio_4QRank","2017-11-27_to_2018-11-28_ValuePortfolio_4QRank","2017-12-27_to_2018-12-28_ValuePortfolio_4QRank","2018-01-29_to_2019-01-28_ValuePortfolio_4QRank","2018-02-27_to_2019-02-28_ValuePortfolio_4QRank","2018-03-27_to_2019-03-28_ValuePortfolio_4QRank","2018-04-27_to_2019-04-28_ValuePortfolio_4QRank","2018-05-29_to_2019-05-28_ValuePortfolio_4QRank","2018-06-27_to_2019-06-28_ValuePortfolio_4QRank","2018-07-27_to_2019-07-28_ValuePortfolio_4QRank","2018-08-27_to_2019-08-28_ValuePortfolio_4QRank","2018-09-27_to_2019-09-28_ValuePortfolio_4QRank","2018-10-29_to_2019-10-28_ValuePortfolio_4QRank","2018-11-27_to_2019-11-28_ValuePortfolio_4QRank","2018-12-27_to_2019-12-28_ValuePortfolio_4QRank","2019-01-28_to_2020-01-28_ValuePortfolio_4QRank","2019-02-27_to_2020-02-28_ValuePortfolio_4QRank","2019-03-27_to_2020-03-28_ValuePortfolio_4QRank","2019-04-29_to_2020-04-28_ValuePortfolio_4QRank","2019-05-28_to_2020-05-28_ValuePortfolio_4QRank","2019-06-27_to_2020-06-28_ValuePortfolio_4QRank","2019-07-29_to_2020-07-28_ValuePortfolio_4QRank","2019-08-27_to_2020-08-28_ValuePortfolio_4QRank","2019-09-27_to_2020-09-28_ValuePortfolio_4QRank","2019-10-28_to_2020-10-28_ValuePortfolio_4QRank","2019-11-27_to_2020-11-28_ValuePortfolio_4QRank","2019-12-27_to_2020-12-28_ValuePortfolio_4QRank","2020-01-27_to_2021-01-28_ValuePortfolio_4QRank","2020-02-27_to_2021-02-28_ValuePortfolio_4QRank","2020-03-27_to_2021-03-28_ValuePortfolio_4QRank","2020-04-27_to_2021-04-28_ValuePortfolio_4QRank","2020-05-27_to_2021-05-28_ValuePortfolio_4QRank","2020-06-29_to_2021-06-28_ValuePortfolio_4QRank","2020-07-27_to_2021-07-28_ValuePortfolio_4QRank","2020-08-27_to_2021-08-28_ValuePortfolio_4QRank","2020-09-28_to_2021-09-28_ValuePortfolio_4QRank","2020-10-27_to_2021-10-28_ValuePortfolio_4QRank","2020-11-27_to_2021-11-28_ValuePortfolio_4QRank"
"P Information Ratio","1.72","1.06","-0.01","0.1","-0.17","-0.36","0.56","-0.92","-1.39","-0.7","-0.44","0.22","0.73","0.09","0.59","-0.37","0.81","0.41","-0.34","0.32","0.62","0.16","-0.57","0.05","-0.16","-0.79","-0.34","0.31","0.26","-0.34","-0.23","-1.13","-1.19","-1.56","-1.19","-0.77","-0.92","-0.7","-0.37","-0.31","-1.15","-0.34","-0.86","-0.13","0.45","3.7","2.87","2.6","2.24","1.96","1.4","2","2.13","0.41"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.25","0.55","-0.17","-0.6","-0.88","0.04","0.24","-0.4","-0.25","-0.58","-0.14","0.31","0.43","0.72","1.29","0.27","0.66","0.22","0.04","0.03","0.5","0.16","-0.08","-0.05","-0.05","-0.36","-0.04","-0.05","-0.26","-0.54","-1.83","-1.91","-1.83","-0.99","-1.34","-1.37","-1.69","-1.53","-1.35","-1.15","-2.07","-1.36","-1.42","-1.22","-1.01","2.56","2.37","2.24","2.52","2.22","0.77","0.63","1.76","2.46"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.71","1.35","1.28","1.38","1.59","0.8","0.95","1.12","0.77","0.89","0.8","0.71","0.71","0.73","0.57","0.68","0.84","0.91","0.88","0.99","1.1","1.09","1.05","0.94","0.97","1.01","0.99","1.14","1.45","1.49","1.81","1.8","1.69","1.53","1.62","1.7","1.65","1.69","1.7","1.6","1.49","1.59","1.42","1.63","1.8","1.68","1.41","1.37","1.36","1.65","1.76","1.78","1.6","0.38"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","44.72","30.9","46.9","45.03","51.17","46","32.54","41.85","30","43.07","32.78","27.86","22.94","19.98","10.08","30.65","48.21","70.76","70.04","76.88","89.66","89.42","87.44","84","89.29","91.77","93.34","94.91","92.24","93.76","93.11","90.76","90.43","86.38","91","91.4","90.4","89.11","89.31","92.79","90.22","90.45","89.81","88.69","83.63","63","41.23","42.98","40.27","55.42","55.73","41.96","35.2","-3.38"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-5.7018","-5.38","-5.5994","-5.6718","-5.1738","-4.6284","-3.852","-3.6177","-9.0388","-9.6799","-10.2611","-10.3905","-10.185","-10.0364","-10.2701","-10.7519","-11.5424","-12.172","-22.2042","-19.5517","-20.2354","-19.9989","-19.6374","-17.5757","-18.6561","-19.4328","-18.3568","-17.4991","-18.1649","-17.6677","-14.0586","-16.192","-15.2885","-46.2107","-44.0983","-46.0752","-45.3433","-45.9601","-47.7124","-45.7179","-46.1425","-47.1954","-44.153","-46.7661","-40.5797","-24.1483","-26.5435","-26.3282","-10.1016","-13.7913","-13.0888","-14.1593","-14.4597","-12.7197"
"B Max Drawdown","-4.7927","-4.7928","-4.633","-3.9694","-2.7968","-2.7968","-2.7968","-2.7968","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1595","-10.1745","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7424","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125"
"MD DIFF(P-B)","-0.9091","-0.5872","-0.9664","-1.7024","-2.377","-1.8316","-1.0552","-0.8209","1.1207","0.4796","-0.101600000000001","-0.231","-0.025500000000001","0.123099999999999","-0.1106","-0.5924","-1.3829","-1.9975","-2.426","0.226499999999998","-0.4572","-0.220700000000001","0.140799999999999","2.2025","1.1221","0.345399999999998","1.4214","2.1354","-1.7183","-1.9253","-7.2225","-9.3559","-2.5327","-12.2857","-10.1733","-12.1502","-11.4183","-12.0351","-13.7874","-11.7929","-12.2175","-13.2704","-10.228","-12.8411","-12.0594","-14.5438","-16.939","-16.7237","-0.4971","-4.1868","-3.4843","-6.6821","-9.2472","-7.5072"
