"","2016-12-28_to_2018-12-29_ValuePortfolio_6QRank","2017-01-30_to_2019-01-29_ValuePortfolio_6QRank","2017-02-28_to_2019-03-01_ValuePortfolio_6QRank","2017-03-28_to_2019-03-29_ValuePortfolio_6QRank","2017-04-28_to_2019-04-29_ValuePortfolio_6QRank","2017-05-30_to_2019-05-29_ValuePortfolio_6QRank","2017-06-28_to_2019-06-29_ValuePortfolio_6QRank","2017-07-28_to_2019-07-29_ValuePortfolio_6QRank","2017-08-28_to_2019-08-29_ValuePortfolio_6QRank","2017-09-28_to_2019-09-29_ValuePortfolio_6QRank","2017-10-30_to_2019-10-29_ValuePortfolio_6QRank","2017-11-28_to_2019-11-29_ValuePortfolio_6QRank","2017-12-28_to_2019-12-29_ValuePortfolio_6QRank","2018-01-29_to_2020-01-29_ValuePortfolio_6QRank","2018-02-28_to_2020-02-29_ValuePortfolio_6QRank","2018-03-28_to_2020-03-29_ValuePortfolio_6QRank","2018-04-30_to_2020-04-29_ValuePortfolio_6QRank","2018-05-29_to_2020-05-29_ValuePortfolio_6QRank","2018-06-28_to_2020-06-29_ValuePortfolio_6QRank","2018-07-30_to_2020-07-29_ValuePortfolio_6QRank","2018-08-28_to_2020-08-29_ValuePortfolio_6QRank","2018-09-28_to_2020-09-29_ValuePortfolio_6QRank","2018-10-29_to_2020-10-29_ValuePortfolio_6QRank","2018-11-28_to_2020-11-29_ValuePortfolio_6QRank","2018-12-28_to_2020-12-29_ValuePortfolio_6QRank","2019-01-28_to_2021-01-29_ValuePortfolio_6QRank","2019-02-28_to_2021-03-01_ValuePortfolio_6QRank","2019-03-28_to_2021-03-29_ValuePortfolio_6QRank","2019-04-29_to_2021-04-29_ValuePortfolio_6QRank","2019-05-28_to_2021-05-29_ValuePortfolio_6QRank","2019-06-28_to_2021-06-29_ValuePortfolio_6QRank","2019-07-29_to_2021-07-29_ValuePortfolio_6QRank","2019-08-28_to_2021-08-29_ValuePortfolio_6QRank","2019-09-30_to_2021-09-29_ValuePortfolio_6QRank","2019-10-28_to_2021-10-29_ValuePortfolio_6QRank","2019-11-29_to_2021-11-29_ValuePortfolio_6QRank"
"P Alpha Stat","0.33","0.02","0.11","0.14","-0.04","0.07","0.31","0.43","0.89","0.44","0.33","-0.43","-0.24","-0.04","-0.24","-0.43","-0.68","-1.08","-1.33","-1.33","-1.2","-0.85","-1.23","-1.02","-1.3","-0.97","-0.85","-0.48","-0.11","-0.07","-0.14","-0.35","-0.12","-0.62","-0.66","-0.57"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.91","1.03","1.09","1.07","1.07","1.06","0.95","0.85","0.92","0.91","0.97","0.97","0.79","0.79","0.88","0.9","0.98","1.11","1.15","1.18","1.19","1.21","1.36","1.25","1.37","1.25","1.25","1.53","1.4","1.52","1.52","1.6","1.6","1.48","1.54","1.54"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","67.34","82.59","84.15","76.8","74.25","70.18","70.09","66.78","64.14","70.82","72.14","80","72.64","74.42","78.17","85.72","88.07","90.23","92.65","90.72","92.9","93.64","92.32","92.45","90.48","91.6","90.13","88.98","90.99","87.87","86.39","84.98","82.14","78.41","75.28","75.7"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-22.1044","-22.0358","-22.0061","-21.5704","-22.0256","-22.8316","-21.5772","-18.7216","-19.8074","-18.9162","-20.0295","-20.4136","-17.2194","-15.9095","-18.6299","-38.1996","-36.3178","-39.7969","-41.1029","-41.561","-41.5803","-41.5544","-44.8591","-41.9178","-44.4596","-42.2318","-41.7071","-46.5494","-41.544","-44.7748","-44.838","-46.3808","-48.2245","-48.0179","-50.0115","-49.7303"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-2.3262","-2.2576","-2.2279","-1.7922","-2.2474","-3.0534","-1.799","1.0566","-0.029200000000003","0.861999999999998","-0.251300000000001","-0.635400000000001","2.5588","3.8687","1.1483","-4.2746","-2.3928","-5.8719","-7.1779","-7.636","-7.6553","-7.6294","-10.9341","-7.9928","-10.5346","-8.3068","-7.7821","-12.6244","-7.619","-10.8498","-10.913","-12.4558","-14.2995","-14.0929","-16.0865","-15.8053"
