"","1 Y 2017-06-27 to 2019-06-28","1 Y 2017-07-27 to 2019-07-28","1 Y 2017-08-28 to 2019-08-28","1 Y 2017-09-27 to 2019-09-28","1 Y 2017-10-27 to 2019-10-28","1 Y 2017-11-27 to 2019-11-28","1 Y 2017-12-27 to 2019-12-28","1 Y 2018-01-29 to 2020-01-28","1 Y 2018-02-27 to 2020-02-28","1 Y 2018-03-27 to 2020-03-28","1 Y 2018-04-27 to 2020-04-28","1 Y 2018-05-29 to 2020-05-28","1 Y 2018-06-27 to 2020-06-28","1 Y 2018-07-27 to 2020-07-28","1 Y 2018-08-27 to 2020-08-28","1 Y 2018-09-27 to 2020-09-28","1 Y 2018-10-29 to 2020-10-28","1 Y 2018-11-27 to 2020-11-28","1 Y 2018-12-27 to 2020-12-28","1 Y 2019-01-28 to 2021-01-28","1 Y 2019-02-27 to 2021-02-28","1 Y 2019-03-27 to 2021-03-28","1 Y 2019-04-29 to 2021-04-28","1 Y 2019-05-28 to 2021-05-28","1 Y 2019-06-27 to 2021-06-28","1 Y 2019-07-29 to 2021-07-28","1 Y 2019-08-27 to 2021-08-28","1 Y 2019-09-27 to 2021-09-28","1 Y 2019-10-28 to 2021-10-28","1 Y 2019-11-27 to 2021-11-28","2 Y 2017-06-27 to 2019-06-28","2 Y 2017-07-27 to 2019-07-28","2 Y 2017-08-28 to 2019-08-28","2 Y 2017-09-27 to 2019-09-28","2 Y 2017-10-27 to 2019-10-28","2 Y 2017-11-27 to 2019-11-28","2 Y 2017-12-27 to 2019-12-28","2 Y 2018-01-29 to 2020-01-28","2 Y 2018-02-27 to 2020-02-28","2 Y 2018-03-27 to 2020-03-28","2 Y 2018-04-27 to 2020-04-28","2 Y 2018-05-29 to 2020-05-28","2 Y 2018-06-27 to 2020-06-28","2 Y 2018-07-27 to 2020-07-28","2 Y 2018-08-27 to 2020-08-28","2 Y 2018-09-27 to 2020-09-28","2 Y 2018-10-29 to 2020-10-28","2 Y 2018-11-27 to 2020-11-28","2 Y 2018-12-27 to 2020-12-28","2 Y 2019-01-28 to 2021-01-28","2 Y 2019-02-27 to 2021-02-28","2 Y 2019-03-27 to 2021-03-28","2 Y 2019-04-29 to 2021-04-28","2 Y 2019-05-28 to 2021-05-28","2 Y 2019-06-27 to 2021-06-28","2 Y 2019-07-29 to 2021-07-28","2 Y 2019-08-27 to 2021-08-28","2 Y 2019-09-27 to 2021-09-28","2 Y 2019-10-28 to 2021-10-28","2 Y 2019-11-27 to 2021-11-28"
"P Alpha Stat","0.14","0.17","0.21","0.3","0.37","0.19","0.18","0.12","0.16","-0.14","-0.11","-0.61","-0.53","-0.54","-0.63","-0.86","-0.76","-0.58","-0.31","-0.21","-0.23","1.03","0.95","0.92","1.18","0.89","0.89","0.48","0.14","0.24","0.01","0.01","0.07","0.08","0.13","0.06","0.08","0.06","0.17","-0.07","-0.07","-0.23","-0.22","-0.21","-0.13","-0.19","-0.24","-0.25","-0.2","-0.21","-0.23","-0.01","-0.18","-0.25","-0.17","-0.26","-0.25","-0.33","-0.21","-0.2"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.01","0.99","1.02","0.99","0.98","0.99","0.98","0.93","0.89","0.99","1.09","1.1","1.13","1.1","1.11","1.1","1.04","1.04","1.07","1.08","1.09","0.92","0.86","0.84","0.82","0.83","0.95","1.01","1.08","0.95","0.97","0.96","0.98","0.95","0.95","0.96","0.96","0.97","0.97","1.01","1.06","1.05","1.09","1.06","1.06","1.06","1.03","1.03","1.07","1.06","1.06","1.08","1.06","1.08","1.06","1.06","1.07","1.07","1.06","1.04"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","96.66","97.82","98.2","98.28","97.71","98.37","96.8","95.5","93.79","98.82","94.86","98.37","98","97.87","97.96","97.21","93.75","91.85","93.51","95.37","94.56","92.69","80.94","84.04","84.07","77.84","85.07","83.1","90.95","87.15","95.14","96.29","96.45","96.42","96.12","96.51","96.79","96.99","95.13","98.19","95.82","97.78","97.76","97.54","97.52","96.97","94.75","93.96","94.42","95.52","95.37","95.07","93.02","93.07","92.36","91.23","91.2","92.49","93.98","94.42"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-18.851","-18.7895","-18.9804","-17.7161","-15.1677","-15.1491","-5.9676","-5.7502","-12.7678","-38.1071","-38.5073","-38.1297","-38.6021","-37.9711","-37.7696","-38.0765","-38.0945","-38.6654","-38.309","-38.1703","-33.1929","-9.8066","-10.4685","-10.524","-7.3301","-7.066","-7.6105","-6.6123","-5.1453","-5.3986","-18.851","-18.7895","-18.9804","-18.6174","-18.4704","-18.5459","-18.735","-19.1752","-19.1329","-38.1071","-38.5073","-38.1297","-38.6021","-37.9711","-37.7696","-38.0765","-38.0945","-38.6654","-38.309","-38.1703","-38.156","-38.5776","-38.7674","-38.9572","-38.6723","-39.0335","-38.7639","-38.36","-38.2682","-37.8678"
"B Max Drawdown","-19.7782","-19.7782","-19.7782","-19.6345","-16.4466","-15.7424","-6.8361","-6.8361","-12.7558","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6044","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-19.7782","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","0.927199999999999","0.988699999999998","0.797799999999999","1.9184","1.2789","0.593299999999999","0.8685","1.0859","-0.0119999999999987","-4.18210000000001","-4.5823","-4.2047","-4.6771","-4.0461","-3.8446","-4.15150000000001","-4.1695","-4.7404","-4.384","-4.2453","-4.6726","-0.2021","-0.864000000000001","-0.919499999999999","2.2743","2.5385","1.994","0.8649","0.0672000000000006","-0.1861","0.927199999999999","0.988699999999998","0.797799999999999","1.1608","1.3078","1.2323","1.0432","0.602999999999998","0.645299999999999","-4.18210000000001","-4.5823","-4.2047","-4.6771","-4.0461","-3.8446","-4.15150000000001","-4.1695","-4.7404","-4.384","-4.2453","-4.231","-4.6526","-4.8424","-5.0322","-4.7473","-5.1085","-4.8389","-4.435","-4.3432","-3.94280000000001"
