"","1 Y 2017-06-27 to 2020-06-28","1 Y 2017-07-27 to 2020-07-28","1 Y 2017-08-28 to 2020-08-28","1 Y 2017-09-27 to 2020-09-28","1 Y 2017-10-27 to 2020-10-28","1 Y 2017-11-27 to 2020-11-28","1 Y 2017-12-27 to 2020-12-28","1 Y 2018-01-29 to 2021-01-28","1 Y 2018-02-27 to 2021-02-28","1 Y 2018-03-27 to 2021-03-28","1 Y 2018-04-27 to 2021-04-28","1 Y 2018-05-29 to 2021-05-28","1 Y 2018-06-27 to 2021-06-28","1 Y 2018-07-27 to 2021-07-28","1 Y 2018-08-27 to 2021-08-28","1 Y 2018-09-27 to 2021-09-28","1 Y 2018-10-29 to 2021-10-28","1 Y 2018-11-27 to 2021-11-28","2 Y 2017-06-27 to 2020-06-28","2 Y 2017-07-27 to 2020-07-28","2 Y 2017-08-28 to 2020-08-28","2 Y 2017-09-27 to 2020-09-28","2 Y 2017-10-27 to 2020-10-28","2 Y 2017-11-27 to 2020-11-28","2 Y 2017-12-27 to 2020-12-28","2 Y 2018-01-29 to 2021-01-28","2 Y 2018-02-27 to 2021-02-28","2 Y 2018-03-27 to 2021-03-28","2 Y 2018-04-27 to 2021-04-28","2 Y 2018-05-29 to 2021-05-28","2 Y 2018-06-27 to 2021-06-28","2 Y 2018-07-27 to 2021-07-28","2 Y 2018-08-27 to 2021-08-28","2 Y 2018-09-27 to 2021-09-28","2 Y 2018-10-29 to 2021-10-28","2 Y 2018-11-27 to 2021-11-28","3 Y 2017-06-27 to 2020-06-28","3 Y 2017-07-27 to 2020-07-28","3 Y 2017-08-28 to 2020-08-28","3 Y 2017-09-27 to 2020-09-28","3 Y 2017-10-27 to 2020-10-28","3 Y 2017-11-27 to 2020-11-28","3 Y 2017-12-27 to 2020-12-28","3 Y 2018-01-29 to 2021-01-28","3 Y 2018-02-27 to 2021-02-28","3 Y 2018-03-27 to 2021-03-28","3 Y 2018-04-27 to 2021-04-28","3 Y 2018-05-29 to 2021-05-28","3 Y 2018-06-27 to 2021-06-28","3 Y 2018-07-27 to 2021-07-28","3 Y 2018-08-27 to 2021-08-28","3 Y 2018-09-27 to 2021-09-28","3 Y 2018-10-29 to 2021-10-28","3 Y 2018-11-27 to 2021-11-28"
"P Information Ratio","0.53","0.69","0.62","0.79","1.46","-1.59","2.21","2.59","-2.08","0.05","-0.48","-0.18","-1.06","-0.3","0.31","0.22","0.24","0.27","0.25","0.53","0.58","0.55","0.89","-1.97","1.22","1.44","-1.73","-1.57","-1.37","-1.44","-1.71","-1.45","-1.47","-1.64","-1.13","-0.6","0.45","0.6","0.67","0.51","0.88","-1.22","0.8","1.23","-0.88","-1.08","-1.33","-1.11","-1.39","-1.44","-1.37","-1.29","-1.14","-0.91"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","2.39","0.84","0.93","0.75","1.92","-1.62","1.87","2.84","-1.28","0.3","0.4","0.25","0.43","0.56","0.64","0.63","0.4","0.92","0.96","0.74","0.79","0.52","0.67","-1.45","0.66","1.34","-0.91","-1.02","-0.82","-0.91","-0.72","-0.88","-0.95","-1.17","-0.95","-0.9","0.83","0.67","0.68","0.36","0.66","-0.94","0.47","1.11","-0.44","-0.68","-0.74","-0.64","-0.56","-0.76","-0.79","-0.81","-0.95","-1.09"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.52","1.43","1.46","1.39","1.36","1.2","1.29","1.26","1.05","0.81","0.86","0.85","0.72","0.86","0.86","0.8","0.95","0.72","1.34","1.3","1.34","1.27","1.26","1.19","1.18","1.13","0.95","1","1.07","1.05","0.93","1.06","1.08","1.04","1.19","1.26","1.31","1.25","1.28","1.21","1.2","1.13","1.13","1.1","0.91","0.97","1.04","1","0.89","1.02","1.05","1.01","1.21","1.3"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","59.48","54.97","56.08","71.69","69.98","91.77","79.79","74.24","91.49","86.6","73.29","74.24","63.47","67.96","68.03","51.97","59.3","29.86","64.88","62.67","63.74","74.74","69.8","92.59","74.3","64.95","88.04","87.77","89.04","89.12","85.87","86.09","85","83.85","84.93","81.88","63.61","60.59","61.37","71.14","68.55","87.77","74.85","68.73","85.49","86.2","87.51","87.08","85.24","86.7","86.94","85.29","87.63","85.13"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-45.1953","-43.2068","-44.0897","-41.7357","-42.5617","-39.3392","-40.0981","-40.3544","-32.9243","-12.0746","-12.0214","-11.5548","-7.6473","-7.7824","-7.8812","-6.6306","-7.3527","-8.1265","-45.1953","-43.2068","-44.0897","-41.7357","-42.5617","-39.3392","-40.0981","-40.3544","-37.0472","-37.2234","-37.9125","-37.2617","-35.3463","-37.9683","-39.13","-38.5994","-41.6918","-43.8288","-45.1953","-43.2068","-44.0897","-41.7357","-42.5617","-41.8828","-40.0981","-40.3544","-37.0472","-37.2234","-38.2948","-37.2617","-35.3463","-37.9683","-39.13","-38.5994","-41.6918","-43.8288"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-11.2703","-9.2818","-10.1647","-7.8107","-8.6367","-5.4142","-6.17310000000001","-6.4294","-4.404","-2.4701","-2.4169","-1.9503","1.9572","1.8221","1.7233","0.8466","-2.1402","-2.914","-11.2703","-9.2818","-10.1647","-7.8107","-8.6367","-5.4142","-6.17310000000001","-6.4294","-3.1222","-3.2984","-3.9875","-3.3367","-1.4213","-4.0433","-5.20500000000001","-4.67440000000001","-7.7668","-9.9038","-11.2703","-9.2818","-10.1647","-7.8107","-8.6367","-7.95780000000001","-6.17310000000001","-6.4294","-3.1222","-3.2984","-4.36980000000001","-3.3367","-1.4213","-4.0433","-5.20500000000001","-4.67440000000001","-7.7668","-9.9038"
