"","2 Y 2016-08-17 to 2018-08-18","2 Y 2016-09-19 to 2018-09-18","2 Y 2016-10-17 to 2018-10-18","2 Y 2016-11-17 to 2018-11-18","2 Y 2016-12-19 to 2018-12-18","2 Y 2017-01-17 to 2019-01-18","2 Y 2017-02-17 to 2019-02-18","2 Y 2017-03-17 to 2019-03-18","2 Y 2017-04-17 to 2019-04-18","2 Y 2017-05-17 to 2019-05-18","2 Y 2017-06-19 to 2019-06-18","2 Y 2017-07-17 to 2019-07-18","2 Y 2017-08-17 to 2019-08-18","2 Y 2017-09-18 to 2019-09-18","2 Y 2017-10-17 to 2019-10-18","2 Y 2017-11-17 to 2019-11-18","2 Y 2017-12-18 to 2019-12-18","2 Y 2018-01-17 to 2020-01-18","2 Y 2018-02-19 to 2020-02-18","2 Y 2018-03-19 to 2020-03-18","2 Y 2018-04-17 to 2020-04-18","2 Y 2018-05-17 to 2020-05-18","2 Y 2018-06-18 to 2020-06-18","2 Y 2018-07-17 to 2020-07-18","2 Y 2018-08-17 to 2020-08-18","2 Y 2018-09-17 to 2020-09-18","2 Y 2018-10-17 to 2020-10-18","2 Y 2018-11-19 to 2020-11-18","2 Y 2018-12-17 to 2020-12-18","2 Y 2019-01-17 to 2021-01-18","2 Y 2019-02-18 to 2021-02-18","2 Y 2019-03-18 to 2021-03-18","2 Y 2019-04-18 to 2021-04-18","2 Y 2019-05-17 to 2021-05-18","2 Y 2019-06-17 to 2021-06-18","2 Y 2019-07-17 to 2021-07-18","2 Y 2019-08-19 to 2021-08-18","2 Y 2019-09-17 to 2021-09-18","2 Y 2019-10-17 to 2021-10-18","2 Y 2019-11-18 to 2021-11-18","2 Y 2019-12-17 to 2021-12-18","2 Y 2020-01-17 to 2022-01-18","2 Y 2020-02-17 to 2022-02-18","2 Y 2020-03-17 to 2022-03-18","2 Y 2020-04-17 to 2022-04-18","2 Y 2020-05-18 to 2022-05-18","2 Y 2020-06-17 to 2022-06-18","2 Y 2020-07-17 to 2022-07-18","2 Y 2020-08-17 to 2022-08-18","2 Y 2020-09-17 to 2022-09-18"
"P Information Ratio",0.56,0.8,0.14,0.31,0.55,0.4,0.48,1.35,0.82,0.83,0.48,0.4,0.71,0.58,0.6,0.77,0.4,0.95,0.94,0.42,0.96,1.01,0.98,1.06,1.14,1.19,2.26,1.32,1.29,0.51,2.28,1.13,2.36,2.74,1.91,2.31,2.62,1.84,1.51,2.23,2.22,2.24,2.1,1.52,0.24,-0.14,0.32,2.71,2.74,2.97
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.46,0.41,0.13,0.23,0.55,0.44,0.56,0.75,0.67,0.52,0.34,0.47,0.26,0.3,0.44,0.86,0.46,0.81,0.72,0.3,0.55,1.05,0.68,0.58,0.89,1.05,3.47,1.1,1.17,0.44,1.18,0.37,3.76,3.67,1.74,3.23,3.82,2.82,2.05,2.65,2.58,2.26,2.59,2.17,1.06,1.47,0.64,2.34,2.42,2.93
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.19,1.12,1.31,1.1,1.04,1.03,1.27,1.15,1.19,1.26,1.18,1.12,0.96,0.94,0.94,1.06,1.06,0.9,0.82,0.87,1.07,1.03,1.01,1.05,1.08,1.07,1.03,1.11,0.83,1.22,1.06,1.28,1.27,1.17,1.12,1.2,0.91,0.77,0.87,1.16,1.25,1.25,1.02,0.73,0.51,0.48,0.94,1.21,1.26,1.26
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",50.81,61.69,58.18,52.11,49.66,47.63,56.27,71.07,65.17,69.24,62.86,55.26,69.07,73.02,63.67,47.13,51.38,53.52,51.42,66.53,90.22,86.85,89.68,92.89,88.14,87,55.59,86.85,80.51,92.45,91.69,93.83,65.12,59.95,82.93,66.33,48.52,48.5,58.64,64.44,75.89,75.78,70.67,40.39,29.7,26.79,62.44,58.35,60.08,59.64
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-18.1372,-12.1445,-24.8836,-23.0358,-18.017,-15.6705,-22.7555,-19.333,-20.7347,-20.2115,-19.8607,-20.5578,-16.9429,-16.5717,-16.7388,-16.4531,-17.2357,-13.6802,-12.9534,-28.0974,-35.0722,-33.579,-32.242,-33.9232,-34.8101,-37.4301,-34.6613,-37.6993,-30.4891,-39.4854,-37.2509,-42.9466,-41.891,-38.1954,-39.1221,-37.851,-32.6131,-28.0095,-32.6094,-38.9293,-41.9356,-40.4405,-34.7554,-9.3019,-12.6228,-13.5187,-21.1333,-20.9311,-22.4779,-19.8404
"B Max Drawdown",-12.0518,-11.1021,-13.0962,-13.9789,-13.9789,-13.9789,-13.979,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-27.0129,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.7074,-37.1618,-15.472,-14.3334,-14.3334,-16.6901,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-6.0854,-1.0424,-11.7874,-9.0569,-4.0381,-1.6916,-8.7765,-5.3541,-6.7558,-6.2326,-5.8818,-6.5789,-2.964,-2.5928,-2.7599,-2.4742,-3.2568,0.2987,1.0255,-1.0845,3.2333,4.7265,6.0635,4.3823,3.4954,0.875399999999999,3.6442,0.606200000000001,7.8164,-1.1799,1.0546,-4.64109999999999,-3.5855,0.110100000000003,-0.816600000000001,0.454500000000003,5.6924,10.296,5.6961,-0.623799999999996,-3.6301,-2.7331,2.4064,6.1701,1.7106,0.814699999999998,-4.4432,-3.7382,-5.285,-2.6475
