"","1 Y 2018-05-15 to 2019-05-16","1 Y 2018-06-15 to 2019-06-16","1 Y 2018-07-16 to 2019-07-16","1 Y 2018-08-16 to 2019-08-16","1 Y 2018-09-17 to 2019-09-16","1 Y 2018-10-15 to 2019-10-16","1 Y 2018-11-15 to 2019-11-16","1 Y 2018-12-17 to 2019-12-16","1 Y 2019-01-15 to 2020-01-16","1 Y 2019-02-15 to 2020-02-16","1 Y 2019-03-15 to 2020-03-16","1 Y 2019-04-15 to 2020-04-16","1 Y 2019-05-15 to 2020-05-16","1 Y 2019-06-17 to 2020-06-16","1 Y 2019-07-15 to 2020-07-16","1 Y 2019-08-16 to 2020-08-16","1 Y 2019-09-16 to 2020-09-16","1 Y 2019-10-15 to 2020-10-16","1 Y 2019-11-15 to 2020-11-16","1 Y 2019-12-16 to 2020-12-16","1 Y 2020-01-15 to 2021-01-16","1 Y 2020-02-17 to 2021-02-16","1 Y 2020-03-16 to 2021-03-16","1 Y 2020-04-15 to 2021-04-16","1 Y 2020-05-15 to 2021-05-16","1 Y 2020-06-15 to 2021-06-16","1 Y 2020-07-15 to 2021-07-16","1 Y 2020-08-17 to 2021-08-16","1 Y 2020-09-15 to 2021-09-16","1 Y 2020-10-15 to 2021-10-16","1 Y 2020-11-17 to 2021-11-16","1 Y 2020-12-15 to 2021-12-16","1 Y 2021-01-15 to 2022-01-16","1 Y 2021-02-15 to 2022-02-16","1 Y 2021-03-15 to 2022-03-16","1 Y 2021-04-15 to 2022-04-16","1 Y 2021-05-17 to 2022-05-16","1 Y 2021-06-15 to 2022-06-16","1 Y 2021-07-15 to 2022-07-16","1 Y 2021-08-16 to 2022-08-16","1 Y 2021-09-15 to 2022-09-16"
"P Information Ratio",0.25,-0.34,-0.02,-0.32,-0.02,0.32,-0.61,-0.31,-1.18,-0.82,-0.4,-0.76,-0.57,-0.08,-0.1,-0.25,0.08,-0.16,-0.41,-0.09,-0.26,0.39,2.51,3.35,4.33,3.57,3.42,1.61,1.27,3.84,2.7,1,0.18,0.18,-0.1,0.16,-0.13,-0.14,0.02,0.25,-0.34
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.03,0.15,-0.3,-0.61,-0.26,-0.03,-0.23,-0.5,-0.92,-1.37,-0.95,-1.72,-0.23,0.59,0.59,-0.65,0.56,0.35,-0.4,-0.41,-0.82,0.81,0.67,1.77,2.15,2.05,2.58,-0.19,0.08,1.72,2.14,1.68,0.55,0.47,-0.07,0.4,-0.12,0.22,0.22,0.89,-0.3
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.48,0.55,0.81,0.76,0.9,1.24,1.15,1.25,1.39,1.47,1.34,1.02,1.28,1.27,1.23,1.32,1.33,1.29,1.26,1.35,1.33,1.34,1.59,1.46,1.37,1.31,1.28,1.6,1.32,1.25,0.99,0.93,1.02,0.88,1.02,0.96,0.92,0.81,0.94,1.06,0.95
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",20.22,25.79,55.4,67.7,65.76,84.13,59.09,76.92,76.26,68.48,55.38,84.24,85.74,85.58,80.21,86.3,84.04,84.39,82.52,82.83,84.71,86.7,55.39,53.14,44.4,44.19,53.49,67.98,51.55,49.76,29.96,35.72,40.74,19.14,39.82,39.63,42.97,39.28,44.57,54.01,75.76
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-13.1505,-12.7825,-14.7002,-14.4925,-12.915,-14.9287,-16.4698,-17.4647,-21.9114,-21.3493,-27.6271,-44.8053,-44.8248,-43.2654,-43.7966,-47.1901,-46.5188,-46.1324,-46.2909,-48.2067,-47.9057,-43.6585,-19.6434,-12.7333,-12.6683,-12.9048,-12.5384,-13.5777,-11.1916,-8.7291,-9.4054,-10.25,-11.9465,-11.7726,-16.3561,-15.1422,-15.8518,-16.5243,-19.4841,-17.8442,-18.6281
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-11.2905,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-22.2918,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-7.3471,-6.9017,-6.9018,-6.9017,-6.9018,-6.9018,-6.3375,-6.3375,-8.294,-10.2422,-10.2422,-14.3334,-14.3334,-14.3334,-14.9277,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",0.8284,1.1964,-0.721300000000001,-0.5136,-1.6245,-3.6512,-5.1923,-6.1872,-10.6339,-10.0718,-5.3353,-6.4998,-6.5193,-4.9599,-5.4911,-8.8846,-8.2133,-7.82689999999999,-7.9854,-9.9012,-9.6002,-6.4967,-2.2709,-5.3862,-5.7666,-6.003,-5.6367,-6.6759,-4.2898,-2.3916,-3.0679,-1.956,-1.7043,-1.5304,-2.0227,-0.808800000000002,-1.5184,-1.5966,-2.2912,-0.651299999999999,-1.4352
