"","1 Y 2019-02-06 to 2020-02-07","1 Y 2019-03-06 to 2020-03-07","1 Y 2019-04-08 to 2020-04-07","1 Y 2019-05-06 to 2020-05-07","1 Y 2019-06-06 to 2020-06-07","1 Y 2019-07-08 to 2020-07-07","1 Y 2019-08-06 to 2020-08-07","1 Y 2019-09-06 to 2020-09-07","1 Y 2019-10-07 to 2020-10-07","1 Y 2019-11-06 to 2020-11-07","1 Y 2019-12-06 to 2020-12-07","1 Y 2020-01-06 to 2021-01-07","1 Y 2020-02-06 to 2021-02-07","1 Y 2020-03-06 to 2021-03-07","1 Y 2020-04-07 to 2021-04-07","1 Y 2020-05-06 to 2021-05-07","1 Y 2020-06-08 to 2021-06-07","1 Y 2020-07-06 to 2021-07-07","1 Y 2020-08-06 to 2021-08-07","1 Y 2020-09-07 to 2021-09-07","1 Y 2020-10-06 to 2021-10-07","1 Y 2020-11-06 to 2021-11-07","1 Y 2020-12-07 to 2021-12-07","1 Y 2021-01-06 to 2022-01-07","1 Y 2021-02-08 to 2022-02-07","1 Y 2021-03-08 to 2022-03-07","1 Y 2021-04-06 to 2022-04-07","1 Y 2021-05-06 to 2022-05-07","1 Y 2021-06-07 to 2022-06-07","1 Y 2021-07-06 to 2022-07-07","1 Y 2021-08-06 to 2022-08-07","1 Y 2021-09-06 to 2022-09-07"
"P Information Ratio",2.36,1.36,1.09,1.59,1.52,1.46,1.25,0.41,1.49,1.82,2.38,1.56,1.44,4.14,3.69,5.23,4.95,2.21,3.42,2.9,3.72,3.05,2.11,1.76,2.04,1.45,0.09,0.22,-1.36,0.13,0.65,0.02
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.98,0.86,1.08,1.83,2.13,1.87,1.27,0.73,1.74,2.02,1.7,1,1.61,0.87,2.71,3.76,3.59,1.97,2.04,1.77,1.42,1.9,2.14,1.94,2.26,0.68,0.41,0.35,-0.37,-0.08,0.27,0.2
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.04,1.38,1.23,1.04,1.18,1.2,1.09,1.09,1.07,1.03,1.11,1.16,1.06,1.17,0.9,0.94,0.91,1,1.08,1.15,1,0.95,0.84,0.87,0.66,0.94,0.87,0.82,0.86,0.98,1.03,1
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",67.76,83.48,71.03,90.61,91.56,92.67,87.89,88.98,84.84,87.62,91.23,93.13,91.96,73.38,43.88,39.51,39.35,51.84,55.95,57.95,77.13,42.21,41.84,45.07,21.13,81.33,88.18,91.49,85.51,81.33,84.47,89.6
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-11.9444,-12.1574,-36.6226,-34.7558,-37.4551,-38.9885,-37.6146,-38.1628,-38.3863,-36.0175,-37.9041,-39.194,-37.1963,-20.8277,-8.6528,-8.6362,-8.2859,-8.0964,-8.9022,-9.3504,-6.7757,-9.6929,-6.8732,-7.7786,-8.4291,-12.0834,-14.1079,-13.1572,-15.8778,-17.7663,-18.0528,-18.8705
"B Max Drawdown",-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-27.1726,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-8.294,-10.2422,-10.2422,-12.5,-14.3334,-14.3334,-14.3334,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-0.6669,-0.879900000000001,1.6829,3.5497,0.8504,-0.683,0.690899999999999,0.142700000000005,-0.0807999999999964,2.288,0.401400000000002,-0.888500000000001,0.410499999999999,6.3449,-1.3057,-1.7344,-1.3841,-1.1946,-2.0004,-2.4486,-0.438199999999999,-3.3554,1.4208,2.4636,1.8131,0.416600000000001,0.225499999999998,1.1762,-1.5444,-0.573399999999999,-0.8599,-1.6776
