"","2 Y 2017-08-16 to 2019-08-17","2 Y 2017-09-18 to 2019-09-17","2 Y 2017-10-16 to 2019-10-17","2 Y 2017-11-16 to 2019-11-17","2 Y 2017-12-18 to 2019-12-17","2 Y 2018-01-16 to 2020-01-17","2 Y 2018-02-16 to 2020-02-17","2 Y 2018-03-16 to 2020-03-17","2 Y 2018-04-16 to 2020-04-17","2 Y 2018-05-16 to 2020-05-17","2 Y 2018-06-18 to 2020-06-17","2 Y 2018-07-16 to 2020-07-17","2 Y 2018-08-16 to 2020-08-17","2 Y 2018-09-17 to 2020-09-17","2 Y 2018-10-16 to 2020-10-17","2 Y 2018-11-16 to 2020-11-17","2 Y 2018-12-17 to 2020-12-17","2 Y 2019-01-16 to 2021-01-17","2 Y 2019-02-18 to 2021-02-17","2 Y 2019-03-18 to 2021-03-17","2 Y 2019-04-16 to 2021-04-17","2 Y 2019-05-16 to 2021-05-17","2 Y 2019-06-17 to 2021-06-17","2 Y 2019-07-16 to 2021-07-17","2 Y 2019-08-16 to 2021-08-17","2 Y 2019-09-16 to 2021-09-17","2 Y 2019-10-16 to 2021-10-17","2 Y 2019-11-18 to 2021-11-17","2 Y 2019-12-16 to 2021-12-17","2 Y 2020-01-16 to 2022-01-17","2 Y 2020-02-17 to 2022-02-17","2 Y 2020-03-16 to 2022-03-17","2 Y 2020-04-16 to 2022-04-17","2 Y 2020-05-18 to 2022-05-17","2 Y 2020-06-16 to 2022-06-17","2 Y 2020-07-16 to 2022-07-17","2 Y 2020-08-17 to 2022-08-17","2 Y 2020-09-16 to 2022-09-17"
"P Information Ratio",0.01,-0.09,-0.1,-0.06,-0.18,0.36,0.37,0.28,0.54,0.88,0.63,0.76,1.13,1.67,1.33,1.23,0.99,0.82,1.62,1.2,1.55,0.63,1.25,1.29,1.82,1.78,1.89,1.77,1.88,1.14,1.84,2,1.95,2.5,1.06,0.93,2.72,0.98
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.13,0,-0.14,0.17,-0.17,0.38,0.23,0.21,0.03,0.8,0.6,0.47,0.65,1.02,0.85,0.74,0.69,0.44,0.76,0.75,1.25,0.5,0.99,1.09,1.51,1.55,1.52,1.52,1.79,0.9,2.13,1.44,1.42,1.67,0.8,0.51,1.71,0.43
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.9,0.91,0.86,0.92,0.87,0.98,1.05,1.05,1.03,1.02,1.11,1,1.03,1.02,0.99,1.01,0.94,1.04,1.05,1.15,1.08,1.09,1.17,1.2,1.26,1.19,1.2,1.16,1.15,1.11,1.14,1.13,0.92,1.03,1.05,1.08,1.17,1.1
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",65.17,65.42,63.81,59.32,58.51,63.44,69.17,65.31,90.5,88.37,91.64,90.05,91.26,90.9,89.74,90.61,88.46,90.28,88.8,90.31,85.94,86.7,86.46,88.55,85.17,84.26,77.34,77.88,80.68,82.65,77.71,68.97,61.76,63.58,69.69,78.57,72.32,84.46
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-15.6399,-15.1095,-15.3308,-13.7842,-14.0409,-13.4116,-14.7083,-25.9042,-35.752,-32.5563,-36.0966,-33.0338,-34.3709,-34.9238,-34.547,-34.3119,-33.2398,-34.7193,-35.8258,-37.0113,-36.4652,-37.668,-39.5458,-40.2587,-42.1379,-40.8164,-40.6591,-40.652,-40.6913,-40.6803,-39.2223,-16.6612,-13.045,-13.7932,-20.085,-22.5855,-15.7832,-18.5742
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-25.3341,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-14.3334,-14.3334,-16.6901,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-1.661,-1.1306,-1.3519,0.194699999999999,-0.0620000000000012,0.567299999999999,-0.7294,-0.5701,2.5535,5.7492,2.2089,5.2717,3.9346,3.3817,3.75850000000001,3.9936,5.0657,3.58620000000001,2.4797,1.2942,1.8403,0.637500000000003,-1.2403,-1.9532,-3.8324,-2.5109,-2.3536,-2.3465,-2.3858,-2.3748,-2.0605,0.711299999999998,1.2884,0.540199999999999,-3.3949,-5.3926,1.4097,-1.3813
