"","3 Y 2017-08-16 to 2020-08-17","3 Y 2017-09-18 to 2020-09-17","3 Y 2017-10-16 to 2020-10-17","3 Y 2017-11-16 to 2020-11-17","3 Y 2017-12-18 to 2020-12-17","3 Y 2018-01-16 to 2021-01-17","3 Y 2018-02-16 to 2021-02-17","3 Y 2018-03-16 to 2021-03-17","3 Y 2018-04-16 to 2021-04-17","3 Y 2018-05-16 to 2021-05-17","3 Y 2018-06-18 to 2021-06-17","3 Y 2018-07-16 to 2021-07-17","3 Y 2018-08-16 to 2021-08-17","3 Y 2018-09-17 to 2021-09-17","3 Y 2018-10-16 to 2021-10-17","3 Y 2018-11-16 to 2021-11-17","3 Y 2018-12-17 to 2021-12-17","3 Y 2019-01-16 to 2022-01-17","3 Y 2019-02-18 to 2022-02-17","3 Y 2019-03-18 to 2022-03-17","3 Y 2019-04-16 to 2022-04-17","3 Y 2019-05-16 to 2022-05-17","3 Y 2019-06-17 to 2022-06-17","3 Y 2019-07-16 to 2022-07-17","3 Y 2019-08-16 to 2022-08-17","3 Y 2019-09-16 to 2022-09-17"
"P Information Ratio",0.51,0.45,0.6,0.17,0.37,0.34,0,0.06,-0.21,0.37,0.4,0.36,0.29,0.62,0.35,0.31,0.28,0.07,0.83,0.5,0.58,0.31,0.24,0.26,0.42,0.3
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.53,0.48,0.73,0.33,0.5,0.73,0.03,0.26,-0.18,0.34,0.38,0.28,0.26,0.54,-0.07,0.15,0.26,0.03,0.6,0.62,0.53,0.29,0.35,0.37,0.44,0.54
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.86,0.89,0.92,0.9,0.79,0.84,0.9,0.87,0.93,0.94,0.97,1.05,1.08,0.98,1.09,1.03,1.07,1.15,1.21,1.23,1.16,1.22,1.28,1.26,1.39,1.28
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",64.58,64.83,65.55,66.33,62.94,64.35,71.98,66.44,77,75.24,75.97,82.18,84.11,82.14,82.93,84.4,82.04,78.63,79.38,77.81,75.96,72.48,73.6,74.47,72.44,73.42
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-31.0661,-31.8551,-32.0287,-33.3278,-27.986,-27.3373,-30.897,-30.4969,-37.9859,-34.8182,-38.0175,-40.287,-38.4395,-37.8351,-42.0622,-40.2047,-41.6681,-44.7719,-43.7375,-43.8022,-42.8253,-48.338,-48.5331,-48.5601,-52.9245,-50.0073
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",7.2394,6.4504,6.2768,4.9777,10.3195,10.9682,7.4085,7.8086,0.319600000000001,3.4873,0.288000000000004,-1.9815,-0.134,0.470400000000005,-3.7567,-1.8992,-3.3626,-6.4664,-5.432,-5.4967,-4.5198,-10.0325,-10.2276,-10.2546,-14.619,-11.7018
