"","3 Y 2017-05-16 to 2020-05-17","3 Y 2017-06-16 to 2020-06-17","3 Y 2017-07-17 to 2020-07-17","3 Y 2017-08-16 to 2020-08-17","3 Y 2017-09-18 to 2020-09-17","3 Y 2017-10-16 to 2020-10-17","3 Y 2017-11-16 to 2020-11-17","3 Y 2017-12-18 to 2020-12-17","3 Y 2018-01-16 to 2021-01-17","3 Y 2018-02-16 to 2021-02-17","3 Y 2018-03-16 to 2021-03-17","3 Y 2018-04-16 to 2021-04-17","3 Y 2018-05-16 to 2021-05-17","3 Y 2018-06-18 to 2021-06-17","3 Y 2018-07-16 to 2021-07-17","3 Y 2018-08-16 to 2021-08-17","3 Y 2018-09-17 to 2021-09-17","3 Y 2018-10-16 to 2021-10-17","3 Y 2018-11-16 to 2021-11-17","3 Y 2018-12-17 to 2021-12-17","3 Y 2019-01-16 to 2022-01-17","3 Y 2019-02-18 to 2022-02-17","3 Y 2019-03-18 to 2022-03-17","3 Y 2019-04-16 to 2022-04-17","3 Y 2019-05-16 to 2022-05-17","3 Y 2019-06-17 to 2022-06-17","3 Y 2019-07-16 to 2022-07-17","3 Y 2019-08-16 to 2022-08-17","3 Y 2019-09-16 to 2022-09-17"
"P Information Ratio",0.47,0.4,0.33,0.82,0.61,0.73,0.67,0.67,0.61,0.84,0.95,0.88,0.82,0.87,1.14,1.44,1.26,1.88,1.62,1.35,1.37,1.01,0.98,1.7,1.56,1.11,1.59,1.12,1.08
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.51,0.4,0.28,0.56,0.55,0.71,0.66,0.49,0.54,0.39,0.68,0.58,0.55,0.46,0.75,1.07,0.94,1.08,0.98,1.17,0.97,0.6,0.85,1.12,1.24,1.03,2.5,0.73,0.94
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.09,1.09,1.1,1.07,1.16,1.09,1,1.06,1.08,1.07,1.1,1.01,0.96,1.02,0.98,1,0.97,0.99,0.93,0.91,1.02,0.99,1.05,1.14,1.23,1.24,1.15,1.15,1.12
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",86.68,85.22,86.76,83.92,83.35,82.14,78.54,81.68,88.35,87.21,84.27,85.86,87.05,89.7,86.47,83.33,84.95,82.94,82.95,81.53,84.18,86.15,81.39,86.14,85.92,82.68,56.25,84.47,83.79
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-37.0234,-36.7762,-37.5819,-36.2591,-39.1082,-36.4082,-33.9833,-35.7555,-36.076,-36.032,-35.7986,-33.8123,-33.1422,-35.8238,-34.2136,-33.7563,-35.1067,-34.5282,-33.1813,-33.7618,-36.025,-34.8339,-36.5313,-39.2646,-42.1538,-41.8034,-38.9323,-41.3093,-40.0219
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",1.2821,1.5293,0.723600000000005,2.04640000000001,-0.802699999999994,1.8973,4.3222,2.55,2.2295,2.27350000000001,2.5069,4.4932,5.1633,2.4817,4.0919,4.5492,3.19880000000001,3.7773,5.1242,4.5437,2.2805,3.4716,1.7742,-0.959099999999999,-3.84829999999999,-3.4979,-0.626799999999996,-3.0038,-1.7164
