"","1 Y 2019-11-06 to 2020-11-07","1 Y 2019-12-06 to 2020-12-07","1 Y 2020-01-06 to 2021-01-07","1 Y 2020-02-06 to 2021-02-07","1 Y 2020-03-06 to 2021-03-07","1 Y 2020-04-07 to 2021-04-07","1 Y 2020-05-06 to 2021-05-07","1 Y 2020-06-08 to 2021-06-07","1 Y 2020-07-06 to 2021-07-07","1 Y 2020-08-06 to 2021-08-07","1 Y 2020-09-07 to 2021-09-07","1 Y 2020-10-06 to 2021-10-07","1 Y 2020-11-06 to 2021-11-07","1 Y 2020-12-07 to 2021-12-07","1 Y 2021-01-06 to 2022-01-07","1 Y 2021-02-08 to 2022-02-07","1 Y 2021-03-08 to 2022-03-07","1 Y 2021-04-06 to 2022-04-07","1 Y 2021-05-06 to 2022-05-07","1 Y 2021-06-07 to 2022-06-07","1 Y 2021-07-06 to 2022-07-07","1 Y 2021-08-06 to 2022-08-07","1 Y 2021-09-06 to 2022-09-07"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.84,1.63,1.09,1.48,1.17,2.23,2.23,1.68,1.74,1.07,1.43,1.47,1.9,1.98,1.95,2.06,0.94,0.65,0.72,0.35,0.53,0.77,0.72
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.12,1.16,1.1,1.1,1.21,0.96,0.91,0.96,1.04,1.13,1.07,1.05,0.9,0.75,0.76,0.71,0.96,0.9,0.86,0.87,0.94,0.98,1.04
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",84.97,88.24,88.69,91.57,67.35,58.55,53.48,59,67.75,73.92,60.38,61.22,50.89,44.48,48.92,30.73,84.93,88.25,90.08,84.82,85.6,84.42,89.64
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-39.0774,-39.6196,-39.4887,-38.7497,-22.1255,-8.7058,-8.2983,-7.9895,-7.9817,-8.2413,-7.9439,-7.2389,-6.4347,-7.0596,-7.3206,-7.6652,-11.5954,-13.0441,-12.3201,-12.6577,-16.3401,-15.8909,-16.1602
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-37.6068,-27.1726,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-8.294,-10.2422,-10.2422,-12.5,-14.3334,-14.3334,-14.3334,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-0.771899999999995,-1.3141,-1.1832,-1.1429,5.0471,-1.3587,-1.3965,-1.0877,-1.0799,-1.3395,-1.0421,-0.9014,-0.0972,1.2344,2.9216,2.577,0.9046,1.2893,2.0133,1.6757,0.852800000000002,1.302,1.0327
