"","1 Y 2016-08-17 to 2017-08-18","1 Y 2016-09-19 to 2017-09-18","1 Y 2016-10-17 to 2017-10-18","1 Y 2016-11-17 to 2017-11-18","1 Y 2016-12-19 to 2017-12-18","1 Y 2017-01-17 to 2018-01-18","1 Y 2017-02-17 to 2018-02-18","1 Y 2017-03-17 to 2018-03-18","1 Y 2017-04-17 to 2018-04-18","1 Y 2017-05-17 to 2018-05-18","1 Y 2017-06-19 to 2018-06-18","1 Y 2017-07-17 to 2018-07-18","1 Y 2017-08-17 to 2018-08-18","1 Y 2017-09-18 to 2018-09-18","1 Y 2017-10-17 to 2018-10-18","1 Y 2017-11-17 to 2018-11-18","1 Y 2017-12-18 to 2018-12-18","1 Y 2018-01-17 to 2019-01-18","1 Y 2018-02-19 to 2019-02-18","1 Y 2018-03-19 to 2019-03-18","1 Y 2018-04-17 to 2019-04-18","1 Y 2018-05-17 to 2019-05-18","1 Y 2018-06-18 to 2019-06-18","1 Y 2018-07-17 to 2019-07-18","1 Y 2018-08-17 to 2019-08-18","1 Y 2018-09-17 to 2019-09-18","1 Y 2018-10-17 to 2019-10-18","1 Y 2018-11-19 to 2019-11-18","1 Y 2018-12-17 to 2019-12-18","1 Y 2019-01-17 to 2020-01-18","1 Y 2019-02-18 to 2020-02-18","1 Y 2019-03-18 to 2020-03-18","1 Y 2019-04-18 to 2020-04-18","1 Y 2019-05-17 to 2020-05-18","1 Y 2019-06-17 to 2020-06-18","1 Y 2019-07-17 to 2020-07-18","1 Y 2019-08-19 to 2020-08-18","1 Y 2019-09-17 to 2020-09-18","1 Y 2019-10-17 to 2020-10-18","1 Y 2019-11-18 to 2020-11-18","1 Y 2019-12-17 to 2020-12-18","1 Y 2020-01-17 to 2021-01-18","1 Y 2020-02-17 to 2021-02-18","1 Y 2020-03-17 to 2021-03-18","1 Y 2020-04-17 to 2021-04-18","1 Y 2020-05-18 to 2021-05-18","1 Y 2020-06-17 to 2021-06-18","1 Y 2020-07-17 to 2021-07-18","1 Y 2020-08-17 to 2021-08-18","1 Y 2020-09-17 to 2021-09-18","1 Y 2020-10-19 to 2021-10-18","1 Y 2020-11-17 to 2021-11-18","1 Y 2020-12-17 to 2021-12-18","1 Y 2021-01-18 to 2022-01-18","1 Y 2021-02-17 to 2022-02-18","1 Y 2021-03-17 to 2022-03-18","1 Y 2021-04-19 to 2022-04-18","1 Y 2021-05-17 to 2022-05-18","1 Y 2021-06-17 to 2022-06-18","1 Y 2021-07-19 to 2022-07-18","1 Y 2021-08-17 to 2022-08-18","1 Y 2021-09-17 to 2022-09-18"
"P Information Ratio",0.42,0.59,-0.87,1.01,0.8,-0.18,0.98,1.21,1.39,1.25,0.49,0.2,0.99,-0.11,-0.18,-0.21,-0.3,-0.46,-0.41,-0.08,-0.55,0.18,-0.03,0.45,1.05,0.5,1.91,0.75,0.78,1.59,1.24,0.26,1.38,0.58,2.47,1.07,0.63,0.5,0.76,0.17,0.82,0.73,0.95,2.38,3.16,3.12,3.14,3.94,2.53,2.58,3.07,0.76,1.09,1.1,-0.02,0.57,-0.05,-1,-0.64,-0.24,0.23,0.64
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.03,0.23,-0.04,0.66,0.49,0.62,0.6,1.06,0.58,1.05,0.5,0.36,0.3,0.15,-0.07,-0.1,-0.24,-0.05,-0.09,0.12,-0.26,0.13,0.1,0.22,0.05,0.27,0.31,0.41,0.35,0.87,0.57,0.21,0.19,1.07,1.95,0.87,0.27,0.58,0.87,0.39,0.47,0.67,0.82,0.5,2.67,2.92,4.2,2.51,1.82,1.73,1.26,1.88,1.92,1.56,1.24,0.2,0.49,-0.05,-0.23,-0.53,0.14,0.64
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.06,0.88,0.88,0.79,0.79,0.76,0.84,0.83,0.86,0.86,0.85,0.92,0.96,1,0.89,0.9,0.87,1.03,1.01,1.07,0.83,0.85,0.84,0.91,0.98,0.93,0.99,0.97,1.01,0.83,0.91,0.97,0.99,1.15,1.03,0.93,1.13,1.17,1.11,1.1,1.03,1.03,1.07,1.06,0.61,0.62,0.57,0.9,0.95,0.86,0.99,0.49,0.49,0.75,0.49,0.86,0.8,0.69,0.77,0.81,0.9,1.06
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",85.18,73.02,80.87,75.83,87.1,70.57,69.03,57.64,72.29,72.24,60.48,70.32,79.76,72.04,71.63,76.82,80.2,78.86,82.6,74.65,79.22,85.39,74.65,74.21,92.13,81.77,84.63,80,82.59,60.82,70.8,63.6,95.24,93.43,91.29,90.07,93.78,95.11,93.97,94.42,94.24,91.31,94.28,77.07,69,33.81,22.91,64.09,68.25,67.94,69.24,29.58,56.77,57.49,30.53,86.55,83.84,87.23,81.37,85.89,90.36,89.88
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-12.9764,-11.2216,-10.7196,-5.4363,-5.3039,-5.2631,-5.6711,-6.7791,-8.2174,-8.1487,-8.4597,-7.6823,-7.8557,-8.6953,-14.3459,-15.263,-14.6475,-16.0549,-15.3243,-15.2935,-13.7092,-13.8562,-13.5686,-13.5926,-14.9731,-12.8924,-9.2892,-9.4951,-10.1576,-8.1428,-9.1892,-29.1955,-35.3085,-37.8578,-33.5149,-33.9551,-37.2737,-38.9945,-35.745,-36.667,-35.7518,-36.3561,-36.9393,-11.6381,-7.64,-6.6354,-7.5785,-7.2865,-6.9741,-6.4901,-6.6209,-6.9437,-7.1938,-7.1939,-9.0608,-14.5689,-13.4025,-14.3716,-20.6239,-21.1818,-16.4721,-15.3389
"B Max Drawdown",-12.0518,-11.1021,-10.1571,-4.7705,-4.4894,-4.4894,-6.1438,-8.9935,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-13.0962,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2905,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-27.0129,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.7074,-37.1618,-15.472,-7.3471,-6.9017,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-8.2939,-10.2422,-10.2422,-14.3334,-14.3334,-14.3334,-16.6901,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-0.9246,-0.1195,-0.5625,-0.6658,-0.8145,-0.7737,0.4727,2.2144,1.1509,1.2196,0.9086,1.686,1.5126,0.673,-1.2497,-1.2841,-0.668600000000001,-2.076,-1.3454,-1.3146,0.2697,0.1227,0.410299999999999,0.3863,-0.994200000000001,-1.6019,1.9883,1.7824,1.1199,3.1347,2.0883,-2.1826,2.997,0.447700000000005,4.7906,4.3504,1.0318,-0.689,2.5605,1.6385,2.5537,1.3513,0.222499999999997,3.8339,-0.292899999999999,0.2663,-0.6767,-0.3847,-0.0723000000000003,-0.1526,-0.283399999999999,-0.606199999999999,1.1001,3.0483,1.1814,-0.2355,0.930899999999999,-0.0382000000000016,-3.9338,-3.9889,0.720800000000001,1.854
