"","1 Y 2018-05-15 to 2019-05-16","1 Y 2018-06-15 to 2019-06-16","1 Y 2018-07-16 to 2019-07-16","1 Y 2018-08-16 to 2019-08-16","1 Y 2018-09-17 to 2019-09-16","1 Y 2018-10-15 to 2019-10-16","1 Y 2018-11-15 to 2019-11-16","1 Y 2018-12-17 to 2019-12-16","1 Y 2019-01-15 to 2020-01-16","1 Y 2019-02-15 to 2020-02-16","1 Y 2019-03-15 to 2020-03-16","1 Y 2019-04-15 to 2020-04-16","1 Y 2019-05-15 to 2020-05-16","1 Y 2019-06-17 to 2020-06-16","1 Y 2019-07-15 to 2020-07-16","1 Y 2019-08-16 to 2020-08-16","1 Y 2019-09-16 to 2020-09-16","1 Y 2019-10-15 to 2020-10-16","1 Y 2019-11-15 to 2020-11-16","1 Y 2019-12-16 to 2020-12-16","1 Y 2020-01-15 to 2021-01-16","1 Y 2020-02-17 to 2021-02-16","1 Y 2020-03-16 to 2021-03-16","1 Y 2020-04-15 to 2021-04-16","1 Y 2020-05-15 to 2021-05-16","1 Y 2020-06-15 to 2021-06-16","1 Y 2020-07-15 to 2021-07-16","1 Y 2020-08-17 to 2021-08-16","1 Y 2020-09-15 to 2021-09-16","1 Y 2020-10-15 to 2021-10-16","1 Y 2020-11-17 to 2021-11-16","1 Y 2020-12-15 to 2021-12-16","1 Y 2021-01-15 to 2022-01-16","1 Y 2021-02-15 to 2022-02-16","1 Y 2021-03-15 to 2022-03-16","1 Y 2021-04-15 to 2022-04-16","1 Y 2021-05-17 to 2022-05-16","1 Y 2021-06-15 to 2022-06-16","1 Y 2021-07-15 to 2022-07-16","1 Y 2021-08-16 to 2022-08-16","1 Y 2021-09-15 to 2022-09-16"
"P Information Ratio",0.27,-0.1,0.14,-0.71,0.28,1.1,0.32,0.74,0.64,0.81,0.73,0.72,0.82,0.93,0.82,1.11,1.41,1.14,0.7,1.02,0.77,0.71,2.62,3.55,4.46,4.45,4.57,3.2,3.49,4.89,3.51,2.05,1.6,1.37,1.09,1.18,-0.33,-0.46,0.84,1.73,-0.13
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.53,-0.05,-0.12,-0.69,0.08,0.26,0.37,0.22,0.11,0.09,0.28,0.35,1.42,1.44,1.31,0.7,1.44,1.32,0.83,0.84,0.66,0.59,0.28,2.36,3.02,3.25,3.2,1.54,1.19,1.34,1.77,2.23,2.1,1.62,0.35,0.63,0.32,-0.06,0.11,0.93,0.49
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.84,0.89,1.01,0.99,0.92,1.17,1.16,1.23,1.29,1.21,1.27,0.99,1.12,1.14,1.14,1.1,1.1,1.08,1.08,1.15,1.13,1.16,1.39,1.05,0.98,1,1.08,1.22,1.22,1.21,1.16,0.96,0.96,0.88,1.02,0.96,0.9,0.94,1.01,1.12,1.06
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",64.38,69.46,79.26,86.16,75.92,87.97,67.99,76.27,79.62,68,62.74,88.22,90.06,91.49,91.26,91.28,88.85,88.95,89.7,90.21,90.48,92.06,70.06,55.23,43.32,47.46,57.85,66.75,71.05,74.66,50.82,40.38,36.18,35.6,71,82.5,90.23,87.76,86.42,87.4,90.08
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-14.3602,-14.1742,-14.9647,-14.8271,-11.7926,-12.5104,-11.5422,-12.7895,-13.831,-13.6893,-20.5901,-34.3756,-35.5918,-36.2137,-36.795,-36.8363,-36.1279,-36.5724,-37.2569,-38.8663,-38.3636,-38.4654,-16.4899,-8.5899,-8.4114,-8.6486,-8.8413,-8.1526,-8.0371,-7.4398,-9.1178,-8.6146,-8.3226,-8.188,-12.9181,-12.7987,-14.8509,-17.3614,-18.2334,-18.6632,-18.7341
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-11.2905,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-22.2918,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-7.3471,-6.9017,-6.9018,-6.9017,-6.9018,-6.9018,-6.3375,-6.3375,-8.294,-10.2422,-10.2422,-14.3334,-14.3334,-14.3334,-14.9277,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-0.381300000000001,-0.195300000000001,-0.985800000000001,-0.8482,-0.5021,-1.2329,-0.264699999999999,-1.512,-2.5535,-2.4118,1.7017,3.9299,2.7137,2.0918,1.5105,1.4692,2.17760000000001,1.7331,1.0486,-0.5608,-0.058099999999996,-1.3036,0.8826,-1.2428,-1.5097,-1.7468,-1.9396,-1.2508,-1.1353,-1.1023,-2.7803,-0.320599999999999,1.9196,2.0542,1.4153,1.5347,-0.5175,-2.4337,-1.0405,-1.4703,-1.5412
