"","1 Y 2016-08-17 to 2017-08-18","1 Y 2016-09-19 to 2017-09-18","1 Y 2016-10-17 to 2017-10-18","1 Y 2016-11-17 to 2017-11-18","1 Y 2016-12-19 to 2017-12-18","1 Y 2017-01-17 to 2018-01-18","1 Y 2017-02-17 to 2018-02-18","1 Y 2017-03-17 to 2018-03-18","1 Y 2017-04-17 to 2018-04-18","1 Y 2017-05-17 to 2018-05-18","1 Y 2017-06-19 to 2018-06-18","1 Y 2017-07-17 to 2018-07-18","1 Y 2017-08-17 to 2018-08-18","1 Y 2017-09-18 to 2018-09-18","1 Y 2017-10-17 to 2018-10-18","1 Y 2017-11-17 to 2018-11-18","1 Y 2017-12-18 to 2018-12-18","1 Y 2018-01-17 to 2019-01-18","1 Y 2018-02-19 to 2019-02-18","1 Y 2018-03-19 to 2019-03-18","1 Y 2018-04-17 to 2019-04-18","1 Y 2018-05-17 to 2019-05-18","1 Y 2018-06-18 to 2019-06-18","1 Y 2018-07-17 to 2019-07-18","1 Y 2018-08-17 to 2019-08-18","1 Y 2018-09-17 to 2019-09-18","1 Y 2018-10-17 to 2019-10-18","1 Y 2018-11-19 to 2019-11-18","1 Y 2018-12-17 to 2019-12-18","1 Y 2019-01-17 to 2020-01-18","1 Y 2019-02-18 to 2020-02-18","1 Y 2019-03-18 to 2020-03-18","1 Y 2019-04-18 to 2020-04-18","1 Y 2019-05-17 to 2020-05-18","1 Y 2019-06-17 to 2020-06-18","1 Y 2019-07-17 to 2020-07-18","1 Y 2019-08-19 to 2020-08-18","1 Y 2019-09-17 to 2020-09-18","1 Y 2019-10-17 to 2020-10-18","1 Y 2019-11-18 to 2020-11-18","1 Y 2019-12-17 to 2020-12-18","1 Y 2020-01-17 to 2021-01-18","1 Y 2020-02-17 to 2021-02-18","1 Y 2020-03-17 to 2021-03-18","1 Y 2020-04-17 to 2021-04-18","1 Y 2020-05-18 to 2021-05-18","1 Y 2020-06-17 to 2021-06-18","1 Y 2020-07-17 to 2021-07-18","1 Y 2020-08-17 to 2021-08-18","1 Y 2020-09-17 to 2021-09-18","1 Y 2020-10-19 to 2021-10-18","1 Y 2020-11-17 to 2021-11-18","1 Y 2020-12-17 to 2021-12-18","1 Y 2021-01-18 to 2022-01-18","1 Y 2021-02-17 to 2022-02-18","1 Y 2021-03-17 to 2022-03-18","1 Y 2021-04-19 to 2022-04-18","1 Y 2021-05-17 to 2022-05-18","1 Y 2021-06-17 to 2022-06-18","1 Y 2021-07-19 to 2022-07-18","1 Y 2021-08-17 to 2022-08-18","1 Y 2021-09-17 to 2022-09-18"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.3,0.38,0.14,0.45,1.06,1.54,-0.1,-0.28,0.68,0.66,0.67,-0.01,-0.82,0.1,-0.84,-0.5,-0.54,0.05,-1.2,-1.27,-0.65,0.04,0.14,-0.07,-0.62,0.49,-0.18,0.44,-0.66,-0.6,1.04,1.59,0.5,1.4,0.64,0.1,-0.51,0.26,0.31,0.66,0.3,-0.63,-0.04,-0.08,3.66,3.16,0.21,0.63,-0.34,-0.74,0.24,0.7,0.52,0.46,-0.09,-0.33,-0.26,0.07,0.29,2.2,2.22,0.22
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.56,0.95,0.98,1.19,1.17,0.85,0.68,0.53,0.48,0.63,0.88,0.87,0.9,0.85,1.35,0.84,0.9,0.83,1.1,0.8,1.17,1.01,0.97,1.15,1,0.97,1.37,1.56,1.53,1.2,1.41,1.56,0.9,0.96,1.4,1.38,1.25,1.35,1.41,1.03,1.03,1.02,1.02,1.84,1.64,1.62,1.43,1.03,1.01,1.1,1.05,0.93,0.49,0.3,0.84,0.68,0.87,0.76,0.72,1.14,1.23,0.83
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",49.51,88.08,81.33,86.82,63.96,58.75,25.27,23.46,16.56,35.27,50.09,51.12,45.31,52.73,76.56,79.26,70.26,86.06,78.68,77.21,67.52,79.07,80.96,71.81,62.16,64,65.23,59.97,36.58,55.03,42.27,62.66,87.86,83.37,85.9,87.77,85.07,84.8,86.94,83.45,86.25,92.71,91.54,61.82,37.41,54.18,68.27,67.97,73.35,81.87,76.61,55.98,26.78,13.49,53.23,59.65,64.12,62.06,46.9,64.05,72.28,87.41
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-7.9022,-11.3897,-11.7243,-7.1123,-7.7105,-7.2108,-8.7188,-8.77,-8.0275,-9.7995,-9.9316,-12.2773,-18.6248,-10.3517,-16.3043,-15.9236,-15.8987,-15.5752,-18.8116,-18.1608,-17.3207,-17.648,-16.9329,-19.4149,-17.0029,-14.6111,-16.5778,-16.0382,-25.9288,-20.4333,-21.0283,-31.19,-34.7655,-32.2993,-45.2032,-46.7872,-45.9427,-47.1448,-49.9604,-37.6231,-37.1596,-37.5507,-37.3758,-13.6854,-13.4667,-13.7722,-12.9204,-10.3738,-11.4237,-8.9925,-8.5211,-7.319,-8.8558,-11.8995,-11.382,-19.669,-19.5291,-21.9358,-14.7989,-15.889,-17.4506,-16.6555
"B Max Drawdown",-12.0518,-11.1021,-10.1571,-4.7705,-4.4894,-4.4894,-6.1438,-8.9935,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-13.0962,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2905,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-27.0129,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.7074,-37.1618,-15.472,-7.3471,-6.9017,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-8.2939,-10.2422,-10.2422,-14.3334,-14.3334,-14.3334,-16.6901,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",4.1496,-0.287599999999999,-1.5672,-2.3418,-3.2211,-2.7214,-2.575,0.2235,1.3408,-0.4312,-0.5633,-2.909,-9.2565,-0.9834,-3.2081,-1.9447,-1.9198,-1.5963,-4.8327,-4.1819,-3.3418,-3.6691,-2.954,-5.436,-3.024,-3.3206,-5.3003,-4.7607,-14.6513,-9.1558,-9.7508,-4.1771,3.54,6.0062,-6.8977,-8.4817,-7.6372,-8.83929999999999,-11.6549,0.682400000000001,1.1459,0.156700000000001,-0.213999999999999,1.7866,-6.1196,-6.8705,-6.0186,-3.472,-4.5219,-2.655,-2.1836,-0.9815,-0.5619,-1.6573,-1.1398,-5.3356,-5.1957,-7.6024,1.8912,1.3039,-0.2577,0.537400000000002
