"","3 Y 2017-11-14 to 2020-11-15","3 Y 2017-12-14 to 2020-12-15","3 Y 2018-01-15 to 2021-01-15","3 Y 2018-02-14 to 2021-02-15","3 Y 2018-03-14 to 2021-03-15","3 Y 2018-04-16 to 2021-04-15","3 Y 2018-05-14 to 2021-05-15","3 Y 2018-06-14 to 2021-06-15","3 Y 2018-07-16 to 2021-07-15","3 Y 2018-08-14 to 2021-08-15","3 Y 2018-09-14 to 2021-09-15","3 Y 2018-10-15 to 2021-10-15","3 Y 2018-11-14 to 2021-11-15","3 Y 2018-12-14 to 2021-12-15","3 Y 2019-01-14 to 2022-01-15","3 Y 2019-02-14 to 2022-02-15","3 Y 2019-03-14 to 2022-03-15","3 Y 2019-04-15 to 2022-04-15","3 Y 2019-05-14 to 2022-05-15","3 Y 2019-06-14 to 2022-06-15","3 Y 2019-07-15 to 2022-07-15","3 Y 2019-08-14 to 2022-08-15","3 Y 2019-09-16 to 2022-09-15"
"P Information Ratio",0.39,0.53,0.41,0.74,1.02,1.29,1.73,1.59,1.33,1.54,1.84,1.98,1.92,1.7,1.81,1.84,1.45,1.13,1.27,1.15,0.34,0.61,1.51
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.33,0.35,0.4,0.43,0.7,1.07,1.31,1.27,1.16,1.14,1.34,1.15,1.18,1.21,1.29,1.25,1.26,0.89,0.95,0.84,0.28,0.39,1.06
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.08,1.08,1.13,1.11,1.08,1.04,1.09,1.12,1.08,1.06,1.04,1.03,1,1.04,1,0.99,1.08,1.06,1.11,1.11,1.09,1.04,1.09
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",84.3,85.4,88.16,86.93,83.75,80.08,82.49,81.77,81.49,84.09,82.52,83.61,82.35,84.58,84,81.29,82,84.62,85.87,85.41,84.97,86.35,84.93
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-37.7086,-36.7143,-37.2767,-36.0487,-35.5695,-34.5512,-35.3914,-35.9278,-35.1066,-34.8791,-34.0545,-34.5773,-33.7979,-35.2523,-34.1816,-34.0177,-36.25,-36.3777,-37.6348,-37.5924,-38.3894,-37.0254,-38.477
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",0.596900000000005,1.5912,1.0288,2.25680000000001,2.736,3.7543,2.9141,2.3777,3.1989,3.4264,4.251,3.7282,4.5076,3.0532,4.1239,4.2878,2.0555,1.9278,0.670700000000004,0.713100000000004,-0.0838999999999999,1.2801,-0.171499999999995
