"","3 Y 2017-11-14 to 2020-11-15","3 Y 2017-12-14 to 2020-12-15","3 Y 2018-01-15 to 2021-01-15","3 Y 2018-02-14 to 2021-02-15","3 Y 2018-03-14 to 2021-03-15","3 Y 2018-04-16 to 2021-04-15","3 Y 2018-05-14 to 2021-05-15","3 Y 2018-06-14 to 2021-06-15","3 Y 2018-07-16 to 2021-07-15","3 Y 2018-08-14 to 2021-08-15","3 Y 2018-09-14 to 2021-09-15","3 Y 2018-10-15 to 2021-10-15","3 Y 2018-11-14 to 2021-11-15","3 Y 2018-12-14 to 2021-12-15","3 Y 2019-01-14 to 2022-01-15","3 Y 2019-02-14 to 2022-02-15","3 Y 2019-03-14 to 2022-03-15","3 Y 2019-04-15 to 2022-04-15","3 Y 2019-05-14 to 2022-05-15","3 Y 2019-06-14 to 2022-06-15","3 Y 2019-07-15 to 2022-07-15","3 Y 2019-08-14 to 2022-08-15","3 Y 2019-09-16 to 2022-09-15"
"P Information Ratio",0.29,0.21,0.11,0.05,0.38,0.31,0.68,0.36,0.16,0.34,0.27,0.33,0.19,0.01,0.03,0.51,0.17,0.01,0.36,0.43,0.26,0.31,0.12
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.51,0.37,0.3,0.17,0.49,0.37,0.66,0.4,0.22,0.33,0.2,0,0.08,-0.05,0.24,0.21,0.34,-0.01,0.33,0.44,0.39,0.32,0.19
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.88,0.87,0.93,0.89,0.85,0.86,0.93,0.92,1.06,1.07,1.04,1.08,1.02,1.09,1.02,1.03,1.17,1.15,1.21,1.2,1.25,1.23,1.25
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",60.47,62.55,70.54,71.84,71.38,70.92,75.53,74.86,78.84,81.92,80.45,83.38,79.12,79.18,80.19,82.41,79.82,77.69,78.57,76.71,74.89,71.57,72.74
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-33.3065,-34.1091,-34.5402,-29.9911,-30.0211,-29.9101,-31.9744,-34.5719,-42.5042,-38.2715,-37.5865,-39.7423,-38.8345,-41.581,-40.4976,-40.1672,-45.1973,-45.4624,-46.2848,-44.8833,-47.8392,-47.9235,-50.0087
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",4.999,4.1964,3.7653,8.3144,8.2844,8.3954,6.3311,3.7336,-4.1987,0.0339999999999989,0.719000000000001,-1.4368,-0.528999999999996,-3.2755,-2.1921,-1.8617,-6.8918,-7.1569,-7.97929999999999,-6.5778,-9.5337,-9.61799999999999,-11.7032
