"","1 Y 2017-08-16 to 2018-08-17","1 Y 2017-09-18 to 2018-09-17","1 Y 2017-10-16 to 2018-10-17","1 Y 2017-11-16 to 2018-11-17","1 Y 2017-12-18 to 2018-12-17","1 Y 2018-01-16 to 2019-01-17","1 Y 2018-02-16 to 2019-02-17","1 Y 2018-03-16 to 2019-03-17","1 Y 2018-04-16 to 2019-04-17","1 Y 2018-05-16 to 2019-05-17","1 Y 2018-06-18 to 2019-06-17","1 Y 2018-07-16 to 2019-07-17","1 Y 2018-08-16 to 2019-08-17","1 Y 2018-09-17 to 2019-09-17","1 Y 2018-10-16 to 2019-10-17","1 Y 2018-11-16 to 2019-11-17","1 Y 2018-12-17 to 2019-12-17","1 Y 2019-01-16 to 2020-01-17","1 Y 2019-02-18 to 2020-02-17","1 Y 2019-03-18 to 2020-03-17","1 Y 2019-04-16 to 2020-04-17","1 Y 2019-05-16 to 2020-05-17","1 Y 2019-06-17 to 2020-06-17","1 Y 2019-07-16 to 2020-07-17","1 Y 2019-08-16 to 2020-08-17","1 Y 2019-09-16 to 2020-09-17","1 Y 2019-10-16 to 2020-10-17","1 Y 2019-11-18 to 2020-11-17","1 Y 2019-12-16 to 2020-12-17","1 Y 2020-01-16 to 2021-01-17","1 Y 2020-02-17 to 2021-02-17","1 Y 2020-03-16 to 2021-03-17","1 Y 2020-04-16 to 2021-04-17","1 Y 2020-05-18 to 2021-05-17","1 Y 2020-06-16 to 2021-06-17","1 Y 2020-07-16 to 2021-07-17","1 Y 2020-08-17 to 2021-08-17","1 Y 2020-09-16 to 2021-09-17","1 Y 2020-10-16 to 2021-10-17","1 Y 2020-11-17 to 2021-11-17","1 Y 2020-12-16 to 2021-12-17","1 Y 2021-01-18 to 2022-01-17","1 Y 2021-02-16 to 2022-02-17","1 Y 2021-03-16 to 2022-03-17","1 Y 2021-04-16 to 2022-04-17","1 Y 2021-05-17 to 2022-05-17","1 Y 2021-06-16 to 2022-06-17","1 Y 2021-07-16 to 2022-07-17","1 Y 2021-08-16 to 2022-08-17","1 Y 2021-09-16 to 2022-09-17"
"P Information Ratio",0.32,0.27,-0.7,0.05,-0.64,-0.4,-0.68,-0.22,-0.45,0.19,-0.24,-0.68,0.21,1.24,2.19,1.24,0.35,0.19,1.29,0.38,1.05,-0.07,0.01,0.14,0.45,0.44,1.2,1.62,1.68,0.76,1.69,2.32,2.62,3.61,2.41,2.27,2.6,2.01,3.93,2.64,1.63,1.88,1.27,2.41,1.77,1.55,0.29,2.37,1.76,0.87
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.18,0.23,-0.48,0.37,-0.63,-0.02,-0.27,-0.06,-0.34,0.18,-0.08,-0.21,-0.16,0.78,0.39,0.62,0.25,-0.06,0.38,0.26,0.57,0.73,0.7,0.65,0.36,1.04,2.31,2.17,2.21,1.11,1.67,0.25,1.97,1.8,1,1.27,1.82,0.84,1.15,1.38,1.83,2.19,1.62,0.78,0.62,1,0.38,0.86,1.01,1.04
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.75,0.92,0.97,0.91,0.79,0.93,0.96,0.93,0.95,0.9,1,1.01,1.03,0.84,0.98,1.24,1.05,1.13,1.08,1.37,1.06,1.17,1.24,1.25,1.27,1.21,1.21,1.18,1.22,1.15,1.18,1.39,0.98,1.1,1.14,1.13,1.1,1.03,1.06,1.14,1.05,0.9,0.72,1.08,0.99,0.83,0.97,1.01,1.11,1
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",46.98,52.69,62.71,53.13,53.67,60.59,67.76,56.06,74.72,84.9,85.46,91.17,93.28,76.28,78.32,83.62,65.48,73.93,65.4,78.8,91.61,90.11,90.9,93.01,91.48,86.9,81.93,82.85,86.04,84.66,88.55,68.2,55.24,55.89,63.68,73.27,54.06,72.93,75.89,48.5,44.77,39.19,26.55,78.22,84.56,77.1,78.2,84.94,81.84,82.69
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-9.2406,-10.0049,-14.7312,-13.5713,-14.0409,-13.4116,-14.7083,-14.4879,-15.583,-15.0395,-15.0044,-16.4052,-15.5435,-11.9129,-11.3451,-11.4371,-11.6699,-13.3815,-13.431,-25.9023,-36.4652,-37.668,-39.5458,-40.2587,-42.1379,-40.8164,-40.6591,-40.652,-40.6913,-40.6803,-39.2223,-16.6612,-9.2462,-9.3495,-8.3347,-8.9616,-9.8815,-8.277,-7.2323,-9.4998,-8.4326,-9.2788,-7.4502,-13.8228,-13.0125,-13.4089,-19.0568,-17.6547,-18.2755,-16.9065
"B Max Drawdown",-9.3683,-9.3683,-13.0962,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2905,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-25.3341,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-7.3471,-6.9017,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-8.2939,-10.2422,-10.2422,-14.3334,-14.3334,-14.3334,-16.6901,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",0.127699999999999,-0.6366,-1.635,0.407599999999999,-0.0620000000000012,0.567299999999999,-0.7294,-0.509,-1.6041,-1.0606,-1.0255,-2.4263,-1.5646,-0.622400000000001,-0.0676000000000005,-0.159599999999999,-0.3924,-2.104,-2.1535,-0.568200000000001,1.8403,0.637500000000003,-1.2403,-1.9532,-3.8324,-2.5109,-2.3536,-2.3465,-2.3858,-2.3748,-2.0605,0.711299999999998,-1.8991,-2.4478,-1.4329,-2.0598,-2.9797,-1.3752,-0.8948,-3.1623,-0.1387,0.9634,2.792,0.510599999999998,1.3209,0.9245,-2.3667,-0.461799999999997,-1.0826,0.2864
