"","1 Y 2017-05-16 to 2020-05-17","1 Y 2017-06-16 to 2020-06-17","1 Y 2017-07-17 to 2020-07-17","1 Y 2017-08-16 to 2020-08-17","1 Y 2017-09-18 to 2020-09-17","1 Y 2017-10-16 to 2020-10-17","1 Y 2017-11-16 to 2020-11-17","1 Y 2017-12-18 to 2020-12-17","1 Y 2018-01-16 to 2021-01-17","1 Y 2018-02-16 to 2021-02-17","1 Y 2018-03-16 to 2021-03-17","1 Y 2018-04-16 to 2021-04-17","1 Y 2018-05-16 to 2021-05-17","1 Y 2018-06-18 to 2021-06-17","1 Y 2018-07-16 to 2021-07-17","1 Y 2018-08-16 to 2021-08-17","1 Y 2018-09-17 to 2021-09-17","1 Y 2018-10-16 to 2021-10-17","1 Y 2018-11-16 to 2021-11-17","1 Y 2018-12-17 to 2021-12-17","1 Y 2019-01-16 to 2022-01-17","1 Y 2019-02-18 to 2022-02-17","1 Y 2019-03-18 to 2022-03-17","1 Y 2019-04-16 to 2022-04-17","2 Y 2017-05-16 to 2020-05-17","2 Y 2017-06-16 to 2020-06-17","2 Y 2017-07-17 to 2020-07-17","2 Y 2017-08-16 to 2020-08-17","2 Y 2017-09-18 to 2020-09-17","2 Y 2017-10-16 to 2020-10-17","2 Y 2017-11-16 to 2020-11-17","2 Y 2017-12-18 to 2020-12-17","2 Y 2018-01-16 to 2021-01-17","2 Y 2018-02-16 to 2021-02-17","2 Y 2018-03-16 to 2021-03-17","2 Y 2018-04-16 to 2021-04-17","2 Y 2018-05-16 to 2021-05-17","2 Y 2018-06-18 to 2021-06-17","2 Y 2018-07-16 to 2021-07-17","2 Y 2018-08-16 to 2021-08-17","2 Y 2018-09-17 to 2021-09-17","2 Y 2018-10-16 to 2021-10-17","2 Y 2018-11-16 to 2021-11-17","2 Y 2018-12-17 to 2021-12-17","2 Y 2019-01-16 to 2022-01-17","2 Y 2019-02-18 to 2022-02-17","2 Y 2019-03-18 to 2022-03-17","2 Y 2019-04-16 to 2022-04-17","3 Y 2017-05-16 to 2020-05-17","3 Y 2017-06-16 to 2020-06-17","3 Y 2017-07-17 to 2020-07-17","3 Y 2017-08-16 to 2020-08-17","3 Y 2017-09-18 to 2020-09-17","3 Y 2017-10-16 to 2020-10-17","3 Y 2017-11-16 to 2020-11-17","3 Y 2017-12-18 to 2020-12-17","3 Y 2018-01-16 to 2021-01-17","3 Y 2018-02-16 to 2021-02-17","3 Y 2018-03-16 to 2021-03-17","3 Y 2018-04-16 to 2021-04-17","3 Y 2018-05-16 to 2021-05-17","3 Y 2018-06-18 to 2021-06-17","3 Y 2018-07-16 to 2021-07-17","3 Y 2018-08-16 to 2021-08-17","3 Y 2018-09-17 to 2021-09-17","3 Y 2018-10-16 to 2021-10-17","3 Y 2018-11-16 to 2021-11-17","3 Y 2018-12-17 to 2021-12-17","3 Y 2019-01-16 to 2022-01-17","3 Y 2019-02-18 to 2022-02-17","3 Y 2019-03-18 to 2022-03-17","3 Y 2019-04-16 to 2022-04-17"
"P Information Ratio","0.86","0.71","0.91","1.37","1.27","1.46","1.45","1.85","1.49","1.94","3.3","1.69","2.03","2.52","2.37","2.63","2.72","3.2","3.07","1.98","1.92","1.47","1.35","2.16","0.68","0.43","0.65","0.89","0.79","1.21","1.06","1.32","1.22","1.58","1.72","1.51","1.53","1.55","1.72","2.07","1.8","1.76","1.89","1.68","1.7","1.22","1.27","2.69","0.51","0.46","0.4","0.77","0.62","0.7","0.63","0.63","0.59","0.8","0.92","0.9","0.97","1.03","1.25","1.38","1.31","1.75","1.51","1.27","1.31","1.11","1.04","1.6"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","1.34","1.32","0.97","0.87","1.64","1.58","1.49","1.38","1","1.13","0.88","2.13","2.29","2.27","2.27","2.31","2.47","2.17","2.18","2.31","2.37","1.53","0.55","1.08","0.65","0.47","0.43","0.58","0.78","0.83","0.84","0.83","0.73","0.62","0.99","1.07","1","0.95","1.23","1.4","1.24","1.09","1.15","1.38","1.15","1","1.18","1.53","0.5","0.41","0.3","0.48","0.49","0.61","0.55","0.41","0.49","0.36","0.56","0.57","0.6","0.56","0.75","0.95","0.88","0.91","0.84","1","0.88","0.62","0.81","0.98"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.14","1.15","1.12","1.08","1.18","1.1","1.04","1.08","1.07","1.05","1.18","0.75","0.66","0.71","0.71","0.87","0.74","0.89","0.71","0.63","0.6","0.65","0.82","0.99","1.09","1.09","1.09","1.06","1.13","1.09","1.03","1.07","1.07","1.06","1.1","1.01","0.98","1.02","0.99","1","0.98","0.99","0.95","0.93","1.01","0.97","0.97","0.93","1.07","1.07","1.07","1.05","1.11","1.06","1","1.04","1.06","1.06","1.08","1","0.97","1.02","1","1.01","0.99","1","0.96","0.95","1.02","1","1.04","1.1"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","94.02","93.75","93.75","92.7","92.39","91.49","89.62","91.54","93.44","93.37","76.41","58.12","54.89","60.98","57.29","52.96","58","54.3","48.5","46.55","44.99","52.72","61.78","79.2","90.95","90.17","91.39","89.62","88.51","89.02","87.24","89.61","91.76","91.53","90.8","87.9","88.11","89.95","87.63","85.73","87.3","85.43","87.37","86.02","87.66","89.95","67.75","73.74","87.82","86.95","87.93","85.83","85.35","84.45","82.42","84.87","89.93","89.13","87.39","86.7","87.74","89.77","88.21","85.87","87.08","85.32","85.4","84.48","86","87.76","84.03","87.33"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-36.3692","-36.1899","-36.783","-35.7874","-37.7537","-35.9606","-34.2978","-35.4934","-35.7982","-35.6637","-13.1374","-7.2254","-6.8188","-6.6826","-6.4897","-6.9562","-6.7924","-5.6058","-5.6197","-7.6833","-9.1501","-10.1311","-15.093","-13.2821","-36.3692","-36.1899","-36.783","-35.7874","-37.7537","-35.9606","-34.2978","-35.4934","-35.7982","-35.6637","-35.6396","-34.2344","-33.9253","-35.704","-34.7724","-34.4657","-35.4128","-35.1043","-34.1909","-34.6303","-36.1796","-34.7076","-15.093","-13.2821","-36.3692","-36.1899","-36.783","-35.7874","-37.7537","-35.9606","-34.2978","-35.4934","-35.7982","-35.6637","-35.6396","-34.2344","-33.9253","-35.704","-34.7724","-34.4657","-35.4128","-35.1043","-34.1909","-34.6303","-36.1796","-35.4782","-36.4684","-38.3425"
"B Max Drawdown","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-37.1618","-17.3725","-7.3471","-6.9018","-6.9018","-6.9018","-6.9018","-6.9018","-6.3375","-6.3375","-8.2939","-10.2422","-10.2422","-14.3334","-14.3334","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-37.1618","-17.3725","-14.3334","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055","-38.3055"
"MD DIFF(P-B)","1.9363","2.1156","1.5225","2.5181","0.5518","2.3449","4.0077","2.8121","2.5073","1.4981","4.2351","0.121700000000001","0.0829999999999993","0.2192","0.4121","-0.0544000000000002","0.1094","0.7317","0.7178","0.610600000000001","1.0921","0.1111","-0.759600000000001","1.0513","1.9363","2.1156","1.5225","2.5181","0.5518","2.3449","4.0077","2.8121","2.5073","2.6418","2.6659","4.0711","4.3802","2.6015","3.5331","3.8398","2.8927","3.2012","4.1146","3.6752","2.1259","2.4542","2.2795","1.0513","1.9363","2.1156","1.5225","2.5181","0.5518","2.3449","4.0077","2.8121","2.5073","2.6418","2.6659","4.0711","4.3802","2.6015","3.5331","3.8398","2.8927","3.2012","4.1146","3.6752","2.1259","2.8273","1.8371","-0.036999999999999"
