"","2 Y 2017-05-16 to 2019-05-17","2 Y 2017-06-16 to 2019-06-17","2 Y 2017-07-17 to 2019-07-17","2 Y 2017-08-16 to 2019-08-17","2 Y 2017-09-18 to 2019-09-17","2 Y 2017-10-16 to 2019-10-17","2 Y 2017-11-16 to 2019-11-17","2 Y 2017-12-18 to 2019-12-17","2 Y 2018-01-16 to 2020-01-17","2 Y 2018-02-16 to 2020-02-17","2 Y 2018-03-16 to 2020-03-17","2 Y 2018-04-16 to 2020-04-17","2 Y 2018-05-16 to 2020-05-17","2 Y 2018-06-18 to 2020-06-17","2 Y 2018-07-16 to 2020-07-17","2 Y 2018-08-16 to 2020-08-17","2 Y 2018-09-17 to 2020-09-17","2 Y 2018-10-16 to 2020-10-17","2 Y 2018-11-16 to 2020-11-17","2 Y 2018-12-17 to 2020-12-17","2 Y 2019-01-16 to 2021-01-17","2 Y 2019-02-18 to 2021-02-17","2 Y 2019-03-18 to 2021-03-17","2 Y 2019-04-16 to 2021-04-17","2 Y 2019-05-16 to 2021-05-17","2 Y 2019-06-17 to 2021-06-17","2 Y 2019-07-16 to 2021-07-17","2 Y 2019-08-16 to 2021-08-17","2 Y 2019-09-16 to 2021-09-17","2 Y 2019-10-16 to 2021-10-17","2 Y 2019-11-18 to 2021-11-17","2 Y 2019-12-16 to 2021-12-17","2 Y 2020-01-16 to 2022-01-17","2 Y 2020-02-17 to 2022-02-17","2 Y 2020-03-16 to 2022-03-17","2 Y 2020-04-16 to 2022-04-17","2 Y 2020-05-18 to 2022-05-17","2 Y 2020-06-16 to 2022-06-17","2 Y 2020-07-16 to 2022-07-17","2 Y 2020-08-17 to 2022-08-17","2 Y 2020-09-16 to 2022-09-17"
"P Information Ratio",0.43,0.3,-0.01,0.62,0.1,-0.15,-0.53,-0.52,-1.57,-1.3,-0.77,0.22,-0.09,-0.11,0.24,-0.45,-0.51,0.07,-0.54,-0.17,-0.23,0.28,0.17,0.23,0.25,0.28,-0.1,0.46,0.34,1.08,0.72,0.64,0.14,0.62,1.92,1.93,1.9,1.28,1.26,0.85,0.37
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.88,0.57,0.3,0.54,0.11,-0.13,-0.26,-0.41,-0.94,-0.78,-0.72,-0.5,0.11,0.22,0.17,-0.36,-0.47,0.05,-0.42,-0.3,-0.44,-0.14,0.18,0.35,0.1,0.23,0.05,0.39,0.5,0.56,0.79,0.93,0.24,0.88,1.68,1.61,1.27,1.16,1.4,0.44,-0.1
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.68,0.69,0.65,0.7,0.71,0.55,0.56,0.51,0.69,0.76,0.81,0.91,1.09,1.07,1.09,1.08,1.13,1.08,1.11,1.15,1.22,1.23,1.22,1.25,1.37,1.38,1.19,1.39,1.35,1.31,1.21,1.04,1.18,1.04,1.29,1.24,1.36,1.23,1.27,1.33,1.34
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",45.07,38.08,35.18,42.38,39.08,27.18,28.33,23.82,53.6,57.12,55.69,91.26,89.63,89.21,84.05,86.7,87.08,85.97,83.35,80.2,81.99,79.88,79.67,81.28,82.1,78.97,75.16,79.61,75.18,75.18,70.51,70.74,72.47,78.69,57.54,50.28,52.17,52.74,52.8,66.7,77.3
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-13.1671,-14.1545,-13.2808,-13.1502,-13.4241,-14.9426,-15.3649,-14.3313,-24.6361,-16.2148,-28.9384,-34.7993,-36.5874,-37.1969,-39.6362,-44.349,-46.1162,-40.1753,-40.8485,-42.0978,-43.8525,-43.2645,-43.1635,-44.9782,-49.1509,-47.7769,-45.5434,-50.2551,-49.9895,-49.271,-44.8949,-43.5877,-46.6569,-38.0596,-17.7957,-15.3992,-18.2228,-22.4712,-22.6155,-20.3893,-21.4328
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-25.3341,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-14.3334,-14.3334,-16.6901,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",0.8118,-0.175600000000001,0.6981,0.8287,0.5548,-0.963700000000001,-1.386,-0.352400000000001,-10.6572,-2.2359,-3.6043,3.5062,1.7181,1.1086,-1.3307,-6.04349999999999,-7.8107,-1.8698,-2.543,-3.7923,-5.547,-4.959,-4.858,-6.6727,-10.8454,-9.4714,-7.2379,-11.9496,-11.684,-10.9655,-6.5894,-5.2822,-8.3514,-0.897800000000004,-0.423200000000001,-1.0658,-3.8894,-5.7811,-5.4226,-3.1964,-4.2399
