"","3 Y 2017-05-16 to 2020-05-17","3 Y 2017-06-16 to 2020-06-17","3 Y 2017-07-17 to 2020-07-17","3 Y 2017-08-16 to 2020-08-17","3 Y 2017-09-18 to 2020-09-17","3 Y 2017-10-16 to 2020-10-17","3 Y 2017-11-16 to 2020-11-17","3 Y 2017-12-18 to 2020-12-17","3 Y 2018-01-16 to 2021-01-17","3 Y 2018-02-16 to 2021-02-17","3 Y 2018-03-16 to 2021-03-17","3 Y 2018-04-16 to 2021-04-17","3 Y 2018-05-16 to 2021-05-17","3 Y 2018-06-18 to 2021-06-17","3 Y 2018-07-16 to 2021-07-17","3 Y 2018-08-16 to 2021-08-17","3 Y 2018-09-17 to 2021-09-17","3 Y 2018-10-16 to 2021-10-17","3 Y 2018-11-16 to 2021-11-17","3 Y 2018-12-17 to 2021-12-17","3 Y 2019-01-16 to 2022-01-17","3 Y 2019-02-18 to 2022-02-17","3 Y 2019-03-18 to 2022-03-17","3 Y 2019-04-16 to 2022-04-17","3 Y 2019-05-16 to 2022-05-17","3 Y 2019-06-17 to 2022-06-17","3 Y 2019-07-16 to 2022-07-17","3 Y 2019-08-16 to 2022-08-17","3 Y 2019-09-16 to 2022-09-17"
"P Information Ratio",0.68,0.64,0.28,0.91,0.54,0.51,0.25,0.15,-0.66,-0.43,-0.16,0.03,0.2,0.18,0.54,-0.23,-0.13,0.9,0.21,0.3,0.18,0.68,0.28,0.28,0.33,0.19,0.16,0.29,0.29
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.78,0.75,0.29,0.99,0.63,0.67,0.52,0.28,-0.55,-0.41,-0.03,0,0.09,0.18,0.41,-0.03,-0.14,0.57,0.1,0.34,0.19,0.42,0.41,0.2,0.24,0.24,0.26,0.25,0.51
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.88,0.89,0.87,0.9,1.01,0.95,0.83,0.84,0.9,0.95,0.93,0.98,1.01,0.98,1.03,1.07,1.08,1.13,1.06,1.1,1.16,1.2,1.16,1.19,1.28,1.27,1.1,1.26,1.29
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",70.7,69.85,68.42,64.16,64.45,63.94,54.11,56.47,68.48,74.34,73.73,82.21,84.85,82.8,80.87,84.08,82.45,74.68,78.22,76.92,77.12,78.05,75.91,76.25,76.16,73.61,70.89,74.28,74.79
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-30.9555,-31.1104,-32.0349,-30.8721,-32.9517,-31.8959,-29.6153,-31.888,-45.7652,-39.6147,-37.0273,-34.7993,-36.5874,-37.1969,-39.6362,-44.349,-46.1162,-40.1753,-40.8485,-42.0978,-43.8525,-43.2645,-43.1635,-44.9782,-49.1509,-47.7769,-45.5434,-50.2551,-49.9895
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",7.35,7.1951,6.2706,7.4334,5.3538,6.4096,8.6902,6.4175,-7.4597,-1.3092,1.27820000000001,3.5062,1.7181,1.1086,-1.3307,-6.04349999999999,-7.8107,-1.8698,-2.543,-3.7923,-5.547,-4.959,-4.858,-6.6727,-10.8454,-9.4714,-7.2379,-11.9496,-11.684
