"","3 Y 2016-11-16 to 2019-11-17","3 Y 2016-12-16 to 2019-12-17","3 Y 2017-01-16 to 2020-01-17","3 Y 2017-02-16 to 2020-02-17","3 Y 2017-03-16 to 2020-03-17","3 Y 2017-04-17 to 2020-04-17","3 Y 2017-05-16 to 2020-05-17","3 Y 2017-06-16 to 2020-06-17","3 Y 2017-07-17 to 2020-07-17","3 Y 2017-08-16 to 2020-08-17","3 Y 2017-09-18 to 2020-09-17","3 Y 2017-10-16 to 2020-10-17","3 Y 2017-11-16 to 2020-11-17","3 Y 2017-12-18 to 2020-12-17","3 Y 2018-01-16 to 2021-01-17","3 Y 2018-02-16 to 2021-02-17","3 Y 2018-03-16 to 2021-03-17","3 Y 2018-04-16 to 2021-04-17","3 Y 2018-05-16 to 2021-05-17","3 Y 2018-06-18 to 2021-06-17","3 Y 2018-07-16 to 2021-07-17","3 Y 2018-08-16 to 2021-08-17","3 Y 2018-09-17 to 2021-09-17","3 Y 2018-10-16 to 2021-10-17","3 Y 2018-11-16 to 2021-11-17","3 Y 2018-12-17 to 2021-12-17","3 Y 2019-01-16 to 2022-01-17","3 Y 2019-02-18 to 2022-02-17","3 Y 2019-03-18 to 2022-03-17","3 Y 2019-04-16 to 2022-04-17","3 Y 2019-05-16 to 2022-05-17","3 Y 2019-06-17 to 2022-06-17","3 Y 2019-07-16 to 2022-07-17","3 Y 2019-08-16 to 2022-08-17","3 Y 2019-09-16 to 2022-09-17"
"P Information Ratio",0.43,0.3,0.37,0.4,0.2,0.19,0.29,0.16,1.15,0.82,0.6,0.84,1.14,0.95,1.32,1.33,1.55,1.67,0.56,0.75,0.66,0.79,1.52,1.54,2.14,1.47,2.27,0.78,0.97,1.23,1.06,0.82,1.61,1.89,1.88
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.19,-0.07,0.13,0.28,0.2,0.24,0.54,0.2,1.06,0.64,0.58,0.98,1.08,0.76,1.46,1.13,1.38,1.67,0.55,0.41,0.57,0.86,1.44,1.41,1.54,1.93,3.05,0.93,0.87,1.02,1.17,1.03,3.13,3.4,3.55
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.22,1.3,1.13,1.21,1.31,1.24,1.29,1.25,1.2,1.12,1.12,0.96,1,0.98,1.04,1.13,1.16,0.94,0.89,0.98,0.94,0.86,0.92,0.86,1.08,0.88,1.06,0.92,1.06,1.13,1.21,1.19,1.2,1.18,1.01
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",63.73,66.13,58.59,59.22,65.16,81.1,86.87,85.33,86.68,82.95,83.67,73.86,75.36,79.43,74.76,75.71,78.58,69.6,79.07,86.37,82.8,74.27,76.78,69.07,78.25,62.4,50.16,65.79,75.23,78.29,69.03,75.34,45.77,47.29,41.98
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-24.6119,-27.3665,-25.5246,-20.5717,-34.8632,-44.509,-42.52,-42.4525,-39.4756,-37.5051,-39.8279,-34.6331,-35.0601,-34.9508,-35.986,-36.9371,-36.6998,-32.7636,-33.0586,-34.4345,-33.0586,-30.1505,-30.7257,-30.3067,-35.6524,-31.8651,-34.7621,-34.5648,-36.5468,-38.1579,-39.2473,-40.3865,-39.7151,-37.6269,-33.7708
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-25.3341,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",-10.633,-13.3876,-11.5457,-6.5928,-9.5291,-6.2035,-4.2145,-4.147,-1.1701,0.800400000000003,-1.5224,3.6724,3.2454,3.3547,2.31950000000001,1.3684,1.6057,5.54190000000001,5.2469,3.871,5.2469,8.155,7.5798,7.9988,2.6531,6.4404,3.54340000000001,3.7407,1.7587,0.147600000000004,-0.941800000000001,-2.081,-1.4096,0.678600000000003,4.5347
