"","3 Y 2016-11-16 to 2019-11-17","3 Y 2016-12-16 to 2019-12-17","3 Y 2017-01-16 to 2020-01-17","3 Y 2017-02-16 to 2020-02-17","3 Y 2017-03-16 to 2020-03-17","3 Y 2017-04-17 to 2020-04-17","3 Y 2017-05-16 to 2020-05-17","3 Y 2017-06-16 to 2020-06-17","3 Y 2017-07-17 to 2020-07-17","3 Y 2017-08-16 to 2020-08-17","3 Y 2017-09-18 to 2020-09-17","3 Y 2017-10-16 to 2020-10-17","3 Y 2017-11-16 to 2020-11-17","3 Y 2017-12-18 to 2020-12-17","3 Y 2018-01-16 to 2021-01-17","3 Y 2018-02-16 to 2021-02-17","3 Y 2018-03-16 to 2021-03-17","3 Y 2018-04-16 to 2021-04-17","3 Y 2018-05-16 to 2021-05-17","3 Y 2018-06-18 to 2021-06-17","3 Y 2018-07-16 to 2021-07-17","3 Y 2018-08-16 to 2021-08-17","3 Y 2018-09-17 to 2021-09-17","3 Y 2018-10-16 to 2021-10-17","3 Y 2018-11-16 to 2021-11-17","3 Y 2018-12-17 to 2021-12-17","3 Y 2019-01-16 to 2022-01-17","3 Y 2019-02-18 to 2022-02-17","3 Y 2019-03-18 to 2022-03-17","3 Y 2019-04-16 to 2022-04-17","3 Y 2019-05-16 to 2022-05-17","3 Y 2019-06-17 to 2022-06-17","3 Y 2019-07-16 to 2022-07-17","3 Y 2019-08-16 to 2022-08-17","3 Y 2019-09-16 to 2022-09-17"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.7,0.51,0.5,0.17,0.03,0.7,0.75,0.4,0.59,0.51,0.08,-0.39,0.24,-0.35,-0.23,-0.84,-0.47,0.28,0.73,0.99,0.92,0.51,-0.04,-0.2,-0.48,0.13,-0.23,3.38,3.47,1.44,4.41,0.37,0.43,0.47,0.19
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.04,0.93,0.94,0.87,0.74,0.75,0.82,0.81,0.87,0.9,1,0.99,1,0.83,0.91,1.09,1.29,1.04,1.01,1.07,1.22,1.27,1.1,1.19,1.31,1.19,1.24,1.2,1.19,1.08,1.25,1.14,1.02,1.12,1.26
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",58.53,67.6,60.09,51.74,46.72,63.66,61.27,55.36,59.98,62.27,74.59,77.56,76.36,73.75,73.62,85.54,92.15,75.46,79.75,80.67,80.05,77.43,82.23,86.74,79.98,82.63,81.71,39.6,40.29,69.42,43.72,75.77,67.75,71.32,76.52
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-13.5837,-17.196,-17.6906,-17.5872,-21.9405,-27.7765,-30.0496,-29.3467,-29.5607,-29.5056,-37.2423,-43.5395,-33.0441,-39.0185,-41.788,-47.1305,-41.7519,-38.0336,-35.943,-38.2188,-42.0557,-44.4007,-41.7478,-43.1504,-49.7322,-43.2607,-44.754,-41.9756,-42.2552,-39.4329,-43.3479,-43.5085,-42.7296,-43.8385,-49.6223
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-25.3341,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",0.395199999999999,-3.2171,-3.7117,-3.6083,3.3936,10.529,8.2559,8.9588,8.7448,8.7999,1.0632,-5.23399999999999,5.2614,-0.713000000000001,-3.48249999999999,-8.825,-3.4464,0.271900000000002,2.3625,0.0867000000000004,-3.7502,-6.0952,-3.4423,-4.8449,-11.4267,-4.9552,-6.4485,-3.6701,-3.9497,-1.12739999999999,-5.0424,-5.203,-4.4241,-5.533,-11.3168
