"","2 Y 2017-11-14 to 2019-11-15","2 Y 2017-12-14 to 2019-12-15","2 Y 2018-01-15 to 2020-01-15","2 Y 2018-02-14 to 2020-02-15","2 Y 2018-03-14 to 2020-03-15","2 Y 2018-04-16 to 2020-04-15","2 Y 2018-05-14 to 2020-05-15","2 Y 2018-06-14 to 2020-06-15","2 Y 2018-07-16 to 2020-07-15","2 Y 2018-08-14 to 2020-08-15","2 Y 2018-09-14 to 2020-09-15","2 Y 2018-10-15 to 2020-10-15","2 Y 2018-11-14 to 2020-11-15","2 Y 2018-12-14 to 2020-12-15","2 Y 2019-01-14 to 2021-01-15","2 Y 2019-02-14 to 2021-02-15","2 Y 2019-03-14 to 2021-03-15","2 Y 2019-04-15 to 2021-04-15","2 Y 2019-05-14 to 2021-05-15","2 Y 2019-06-14 to 2021-06-15","2 Y 2019-07-15 to 2021-07-15","2 Y 2019-08-14 to 2021-08-15","2 Y 2019-09-16 to 2021-09-15","2 Y 2019-10-14 to 2021-10-15","2 Y 2019-11-14 to 2021-11-15","2 Y 2019-12-16 to 2021-12-15","2 Y 2020-01-14 to 2022-01-15","2 Y 2020-02-14 to 2022-02-15","2 Y 2020-03-16 to 2022-03-15","2 Y 2020-04-15 to 2022-04-15","2 Y 2020-05-14 to 2022-05-15","2 Y 2020-06-15 to 2022-06-15","2 Y 2020-07-14 to 2022-07-15","2 Y 2020-08-14 to 2022-08-15","2 Y 2020-09-14 to 2022-09-15"
"P Information Ratio",-0.12,-0.13,-0.22,0.22,0.32,0.75,0.85,0.48,0.54,0.91,1.14,0.97,0.91,0.92,1.15,1.91,1.62,1.39,1.68,1.7,0.88,1.22,1.95,1.9,1.69,1.61,1.5,1.69,2.4,3.17,2.63,1.95,2.32,2.57,2.07
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.03,-0.16,-0.05,0.15,0.1,0.23,0.83,0.51,0.52,0.56,0.87,0.84,0.77,0.58,0.72,0.77,0.9,1.07,1.11,1.11,0.75,0.8,1.29,0.92,1.11,1.35,1.3,1.61,1.92,1.79,2.07,1.34,1.43,1.65,1.32
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.9,0.88,0.98,1.01,0.99,1,1.12,1.11,1.08,1.05,1.01,1,0.98,1.04,1,1.01,1.12,1.1,1.15,1.14,1.11,1.06,1.11,1.18,1.19,1.15,1.14,1.11,1.09,1,1.07,1.16,1.2,1.22,1.2
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",62.7,62.94,70.17,68.36,62.97,87.14,90.35,91.05,91.55,91.45,87.82,90.64,84.8,89.47,90.41,91.67,90.4,87.84,88.79,87.91,87.26,86.45,86.54,87.09,85.51,85.12,80.6,82.13,67.52,65.52,60.2,66.98,73.66,73.09,76.15
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-13.3683,-13.3807,-14.5771,-14.0415,-22.2179,-34.5512,-35.3914,-35.9278,-35.1066,-34.8791,-34.0545,-34.5773,-33.7979,-35.2523,-34.1816,-34.0177,-36.25,-36.3777,-37.6348,-37.5924,-38.3894,-37.0254,-38.477,-42.0509,-41.6165,-40.6714,-40.0845,-38.1514,-15.6465,-10.7553,-13.8181,-14.7869,-19.4941,-15.9704,-17.1877
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-22.2918,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-14.3334,-14.3334,-14.8161,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",0.6106,0.5982,-0.5982,-0.0625999999999998,0.0738999999999983,3.7543,2.9141,2.3777,3.1989,3.4264,4.251,3.7282,4.5076,3.0532,4.1239,4.2878,2.0555,1.9278,0.670700000000004,0.713100000000004,-0.0838999999999999,1.2801,-0.171499999999995,-3.7454,-3.311,-2.3659,-1.779,-0.989600000000003,1.726,3.5781,0.5153,0.0292000000000012,-2.3012,1.2225,0.00520000000000209
