"","2 Y 2017-08-16 to 2019-08-17","2 Y 2017-09-18 to 2019-09-17","2 Y 2017-10-16 to 2019-10-17","2 Y 2017-11-16 to 2019-11-17","2 Y 2017-12-18 to 2019-12-17","2 Y 2018-01-16 to 2020-01-17","2 Y 2018-02-16 to 2020-02-17","2 Y 2018-03-16 to 2020-03-17","2 Y 2018-04-16 to 2020-04-17","2 Y 2018-05-16 to 2020-05-17","2 Y 2018-06-18 to 2020-06-17","2 Y 2018-07-16 to 2020-07-17","2 Y 2018-08-16 to 2020-08-17","2 Y 2018-09-17 to 2020-09-17","2 Y 2018-10-16 to 2020-10-17","2 Y 2018-11-16 to 2020-11-17","2 Y 2018-12-17 to 2020-12-17","2 Y 2019-01-16 to 2021-01-17","2 Y 2019-02-18 to 2021-02-17","2 Y 2019-03-18 to 2021-03-17","2 Y 2019-04-16 to 2021-04-17","2 Y 2019-05-16 to 2021-05-17","2 Y 2019-06-17 to 2021-06-17","2 Y 2019-07-16 to 2021-07-17","2 Y 2019-08-16 to 2021-08-17","2 Y 2019-09-16 to 2021-09-17","2 Y 2019-10-16 to 2021-10-17","2 Y 2019-11-18 to 2021-11-17","2 Y 2019-12-16 to 2021-12-17","2 Y 2020-01-16 to 2022-01-17","2 Y 2020-02-17 to 2022-02-17","2 Y 2020-03-16 to 2022-03-17","2 Y 2020-04-16 to 2022-04-17","2 Y 2020-05-18 to 2022-05-17","2 Y 2020-06-16 to 2022-06-17","2 Y 2020-07-16 to 2022-07-17","2 Y 2020-08-17 to 2022-08-17","2 Y 2020-09-16 to 2022-09-17"
"P Information Ratio",-0.12,-0.32,-0.22,0.32,0.09,0.92,1.06,0.62,0.79,1.48,0.92,1.4,1.86,2.06,1.99,2.02,1.78,1.96,2.09,2.48,2.56,1.07,2.36,2.66,2.97,2.78,2.18,1.94,1.93,1.25,1.8,1.22,0.17,1.3,-0.47,-0.11,2.29,0.75
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.35,-0.25,-0.3,0.46,-0.03,0.76,0.77,0.7,0.84,1.21,0.94,1.07,1.29,1.54,1.73,1.57,1.72,1.34,1.48,1.33,1.94,1.09,1.84,1.95,2.34,2.52,2.79,2.36,2.44,1.15,3.07,1.46,0.98,2.23,0.09,0.19,2.81,1.02
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.16,1.19,1.15,1.14,1.12,1.23,1.33,1.41,1.2,1.02,1.17,0.94,0.97,0.99,0.87,0.97,0.79,0.92,0.87,1.03,0.96,0.93,1.02,1.08,1.06,1.05,1.11,1.06,1.1,1.08,1.12,0.98,0.62,0.73,0.84,0.8,1.11,0.87
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",68.84,70.7,69.19,57.97,62.77,69.87,69.64,69.44,86.69,88.53,89.32,85.37,85.02,86.94,78.88,82.27,77.27,86.18,82.39,90.3,84,83.1,85.02,86.75,80.5,77.44,60.89,60.47,67.59,72.56,56.96,51.12,35.13,33,44.74,49.9,39.11,50.23
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-20.2544,-20.4493,-20.3042,-17.069,-18.233,-16.5309,-19.3785,-29.7127,-38.5178,-33.0309,-38.3316,-31.4426,-33.2395,-34.0142,-30.8763,-32.3306,-28.9483,-31.5124,-31.5981,-34.2475,-33.6663,-33.2079,-34.9176,-36.0465,-35.6169,-35.1732,-36.4622,-36.1363,-37.435,-37.5593,-37.7033,-14.5706,-16.0221,-15.2831,-26.9026,-26.3189,-17.995,-18.5066
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-25.3341,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-14.3334,-14.3334,-16.6901,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-6.2755,-6.4704,-6.3253,-3.0901,-4.2541,-2.552,-5.3996,-4.3786,-0.212299999999999,5.2746,-0.0260999999999996,6.8629,5.066,4.2913,7.4292,5.97490000000001,9.3572,6.7931,6.7074,4.058,4.6392,5.0976,3.3879,2.259,2.6886,3.1323,1.8433,2.1692,0.8705,0.746200000000002,-0.541499999999999,2.8019,-1.6887,-0.9497,-10.2125,-9.126,-0.802099999999999,-1.3137
