"","2 Y 2017-05-16 to 2019-05-17","2 Y 2017-06-16 to 2019-06-17","2 Y 2017-07-17 to 2019-07-17","2 Y 2017-08-16 to 2019-08-17","2 Y 2017-09-18 to 2019-09-17","2 Y 2017-10-16 to 2019-10-17","2 Y 2017-11-16 to 2019-11-17","2 Y 2017-12-18 to 2019-12-17","2 Y 2018-01-16 to 2020-01-17","2 Y 2018-02-16 to 2020-02-17","2 Y 2018-03-16 to 2020-03-17","2 Y 2018-04-16 to 2020-04-17","2 Y 2018-05-16 to 2020-05-17","2 Y 2018-06-18 to 2020-06-17","2 Y 2018-07-16 to 2020-07-17","2 Y 2018-08-16 to 2020-08-17","2 Y 2018-09-17 to 2020-09-17","2 Y 2018-10-16 to 2020-10-17","2 Y 2018-11-16 to 2020-11-17","2 Y 2018-12-17 to 2020-12-17","2 Y 2019-01-16 to 2021-01-17","2 Y 2019-02-18 to 2021-02-17","2 Y 2019-03-18 to 2021-03-17","2 Y 2019-04-16 to 2021-04-17","2 Y 2019-05-16 to 2021-05-17","2 Y 2019-06-17 to 2021-06-17","2 Y 2019-07-16 to 2021-07-17","2 Y 2019-08-16 to 2021-08-17","2 Y 2019-09-16 to 2021-09-17","2 Y 2019-10-16 to 2021-10-17","2 Y 2019-11-18 to 2021-11-17","2 Y 2019-12-16 to 2021-12-17","2 Y 2020-01-16 to 2022-01-17","2 Y 2020-02-17 to 2022-02-17","2 Y 2020-03-16 to 2022-03-17","2 Y 2020-04-16 to 2022-04-17","2 Y 2020-05-18 to 2022-05-17","2 Y 2020-06-16 to 2022-06-17","2 Y 2020-07-16 to 2022-07-17","2 Y 2020-08-17 to 2022-08-17","2 Y 2020-09-16 to 2022-09-17"
"P Information Ratio",0.19,0.17,0.09,0.48,0.09,0.21,0.15,0.02,0.07,0.22,0.11,0.77,0.61,0.41,1.02,0.87,0.79,1.38,0.9,0.96,0.9,0.79,1.01,1.43,1.54,1.38,1.79,1.28,1.41,1.77,1.56,1.59,1.49,1.8,2.27,2.07,2.52,0.76,1.17,1.89,1.85
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.32,0.23,0.13,0.17,0.09,0.07,0.23,-0.01,0.15,0.12,0.09,0.06,0.49,0.43,0.59,0.44,0.52,0.78,0.71,0.69,0.57,0.41,0.73,1.18,1.23,1.38,2.47,0.88,1.09,1.21,1.33,1.64,1.52,1.78,1.59,1.43,1.76,0.64,0.81,0.84,1.15
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.98,0.92,0.92,1,0.97,0.92,0.94,0.9,1.01,1.03,1.04,0.96,1.01,1.08,1.02,0.98,1,0.98,0.96,0.94,1.07,1.02,1.1,1.16,1.26,1.27,1.18,1.17,1.13,1.19,1.19,1.1,1.17,1.08,1.1,0.95,1.01,1.04,1.04,1.1,1.22
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",69.17,63.91,62.85,66.36,63.51,61.78,58.19,57.43,74.44,69.19,62.51,90.04,91.22,93.66,90.6,91.72,89.88,90.52,86.55,86.23,89.17,87.76,87.34,87.19,88.11,85.67,71.16,86.02,85.66,81.03,78.14,75.56,76.08,81.17,69.39,64.27,63.21,69.39,71.46,82.16,77.38
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-15.3535,-14.992,-14.2384,-14.5895,-13.9364,-14.5894,-14.8743,-14.6242,-14.6378,-14.7338,-26.3858,-33.8123,-33.1422,-35.8238,-34.2136,-33.7563,-35.1067,-34.5282,-33.1813,-33.7618,-36.025,-34.8339,-36.5313,-39.2646,-42.1538,-41.8034,-38.9323,-41.3093,-40.0219,-41.5502,-40.8013,-40.0417,-41.6817,-38.0039,-15.7788,-12.461,-13.4495,-21.042,-21.8558,-17.3342,-16.3769
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-25.3341,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-14.3334,-14.3334,-16.6901,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-1.3746,-1.0131,-0.259500000000001,-0.6106,0.0424999999999986,-0.6105,-0.8954,-0.645300000000001,-0.658900000000001,-0.754900000000001,-1.0517,4.4932,5.1633,2.4817,4.0919,4.5492,3.19880000000001,3.7773,5.1242,4.5437,2.2805,3.4716,1.7742,-0.959099999999999,-3.84829999999999,-3.4979,-0.626799999999996,-3.0038,-1.7164,-3.24469999999999,-2.4958,-1.7362,-3.3762,-0.842100000000002,1.5937,1.8724,0.883899999999999,-4.3519,-4.6629,-0.141299999999998,0.816000000000003
