"","2 Y 2017-11-14 to 2019-11-15","2 Y 2017-12-14 to 2019-12-15","2 Y 2018-01-15 to 2020-01-15","2 Y 2018-02-14 to 2020-02-15","2 Y 2018-03-14 to 2020-03-15","2 Y 2018-04-16 to 2020-04-15","2 Y 2018-05-14 to 2020-05-15","2 Y 2018-06-14 to 2020-06-15","2 Y 2018-07-16 to 2020-07-15","2 Y 2018-08-14 to 2020-08-15","2 Y 2018-09-14 to 2020-09-15","2 Y 2018-10-15 to 2020-10-15","2 Y 2018-11-14 to 2020-11-15","2 Y 2018-12-14 to 2020-12-15","2 Y 2019-01-14 to 2021-01-15","2 Y 2019-02-14 to 2021-02-15","2 Y 2019-03-14 to 2021-03-15","2 Y 2019-04-15 to 2021-04-15","2 Y 2019-05-14 to 2021-05-15","2 Y 2019-06-14 to 2021-06-15","2 Y 2019-07-15 to 2021-07-15","2 Y 2019-08-14 to 2021-08-15","2 Y 2019-09-16 to 2021-09-15","2 Y 2019-10-14 to 2021-10-15","2 Y 2019-11-14 to 2021-11-15","2 Y 2019-12-16 to 2021-12-15","2 Y 2020-01-14 to 2022-01-15","2 Y 2020-02-14 to 2022-02-15","2 Y 2020-03-16 to 2022-03-15","2 Y 2020-04-15 to 2022-04-15","2 Y 2020-05-14 to 2022-05-15","2 Y 2020-06-15 to 2022-06-15","2 Y 2020-07-14 to 2022-07-15","2 Y 2020-08-14 to 2022-08-15","2 Y 2020-09-14 to 2022-09-15"
"P Information Ratio",-0.31,-0.38,-0.6,-0.48,0.33,0.32,0.57,0.19,-0.27,-0.05,-0.1,-0.7,-0.4,-0.52,-0.4,0.05,0.19,-0.01,0.45,0.48,0.18,0.46,0.28,0.95,0.8,0.74,0.17,0.6,1.97,2.56,2.05,1.63,1.53,0.89,0.49
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.01,-0.3,-0.35,-0.23,0.18,-0.39,0.69,0.37,-0.11,-0.02,-0.14,-0.21,-0.28,-0.68,-0.37,-0.29,-0.02,0,0.17,0.22,0.35,0.31,0.03,0.29,0.72,0.86,0.35,0.77,2.02,2.02,1.89,1.49,1.44,0.62,0.18
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.57,0.55,0.68,0.77,0.72,0.77,1,0.97,1.08,1.09,1.06,1.1,1.05,1.14,1.07,1.06,1.23,1.22,1.29,1.28,1.32,1.34,1.32,1.43,1.36,1.25,1.2,1.19,1.27,1.13,1.24,1.25,1.35,1.27,1.3
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",25.8,25.15,41.95,49.07,46.27,80.89,79.92,77.15,80.53,84.39,81.74,86.71,80.56,81.92,84.38,86.84,84.72,81.77,83.56,81.41,79.36,78.24,75.81,76.51,74.1,74.76,72.19,78.33,56.12,49.9,50.77,51.83,59.9,62.95,68.73
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-14.0205,-14.6454,-14.69,-13.7127,-17.0653,-29.9101,-31.9744,-34.5719,-42.5042,-38.2715,-37.5865,-39.7423,-38.8345,-41.581,-40.4976,-40.1672,-45.1973,-45.4624,-46.2848,-44.8833,-47.8392,-47.9235,-50.0087,-52.9765,-50.6949,-47.6067,-47.08,-41.6793,-18.7101,-14.4674,-17.9344,-17.4312,-23.1338,-22.2188,-22.3837
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-22.2918,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-14.3334,-14.3334,-14.8161,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-0.0416000000000007,-0.666500000000001,-0.7111,0.2662,5.2265,8.3954,6.3311,3.7336,-4.1987,0.0339999999999989,0.719000000000001,-1.4368,-0.528999999999996,-3.2755,-2.1921,-1.8617,-6.8918,-7.1569,-7.97929999999999,-6.5778,-9.5337,-9.61799999999999,-11.7032,-14.671,-12.3894,-9.30119999999999,-8.7745,-4.5175,-1.3376,-0.134,-3.601,-2.6151,-5.9409,-5.0259,-5.1908
