"","2014-03-11_to_2015-03-12_ValuePortfolio_5QRank","2014-04-11_to_2015-04-12_ValuePortfolio_5QRank","2014-05-12_to_2015-05-12_ValuePortfolio_5QRank","2014-06-11_to_2015-06-12_ValuePortfolio_5QRank","2014-07-11_to_2015-07-12_ValuePortfolio_5QRank","2014-08-11_to_2015-08-12_ValuePortfolio_5QRank","2014-09-11_to_2015-09-12_ValuePortfolio_5QRank","2014-10-13_to_2015-10-12_ValuePortfolio_5QRank","2014-11-11_to_2015-11-12_ValuePortfolio_5QRank","2014-12-11_to_2015-12-12_ValuePortfolio_5QRank","2015-01-12_to_2016-01-12_ValuePortfolio_5QRank","2015-02-11_to_2016-02-12_ValuePortfolio_5QRank","2015-03-11_to_2016-03-12_ValuePortfolio_5QRank","2015-04-13_to_2016-04-12_ValuePortfolio_5QRank","2015-05-11_to_2016-05-12_ValuePortfolio_5QRank","2015-06-11_to_2016-06-12_ValuePortfolio_5QRank","2015-07-13_to_2016-07-12_ValuePortfolio_5QRank","2015-08-11_to_2016-08-12_ValuePortfolio_5QRank","2015-09-11_to_2016-09-12_ValuePortfolio_5QRank","2015-10-12_to_2016-10-12_ValuePortfolio_5QRank","2015-11-11_to_2016-11-12_ValuePortfolio_5QRank","2015-12-11_to_2016-12-12_ValuePortfolio_5QRank","2016-01-11_to_2017-01-12_ValuePortfolio_5QRank","2016-02-11_to_2017-02-12_ValuePortfolio_5QRank","2016-03-11_to_2017-03-12_ValuePortfolio_5QRank","2016-04-11_to_2017-04-12_ValuePortfolio_5QRank","2016-05-11_to_2017-05-12_ValuePortfolio_5QRank","2016-06-13_to_2017-06-12_ValuePortfolio_5QRank","2016-07-11_to_2017-07-12_ValuePortfolio_5QRank","2016-08-11_to_2017-08-12_ValuePortfolio_5QRank","2016-09-12_to_2017-09-12_ValuePortfolio_5QRank","2016-10-11_to_2017-10-12_ValuePortfolio_5QRank","2016-11-11_to_2017-11-12_ValuePortfolio_5QRank","2016-12-12_to_2017-12-12_ValuePortfolio_5QRank","2017-01-11_to_2018-01-12_ValuePortfolio_5QRank","2017-02-13_to_2018-02-12_ValuePortfolio_5QRank","2017-03-13_to_2018-03-12_ValuePortfolio_5QRank","2017-04-11_to_2018-04-12_ValuePortfolio_5QRank","2017-05-11_to_2018-05-12_ValuePortfolio_5QRank","2017-06-12_to_2018-06-12_ValuePortfolio_5QRank","2017-07-11_to_2018-07-12_ValuePortfolio_5QRank","2017-08-11_to_2018-08-12_ValuePortfolio_5QRank","2017-09-11_to_2018-09-12_ValuePortfolio_5QRank","2017-10-11_to_2018-10-12_ValuePortfolio_5QRank","2017-11-13_to_2018-11-12_ValuePortfolio_5QRank","2017-12-11_to_2018-12-12_ValuePortfolio_5QRank","2018-01-11_to_2019-01-12_ValuePortfolio_5QRank","2018-02-12_to_2019-02-12_ValuePortfolio_5QRank","2018-03-12_to_2019-03-12_ValuePortfolio_5QRank","2018-04-11_to_2019-04-12_ValuePortfolio_5QRank","2018-05-11_to_2019-05-12_ValuePortfolio_5QRank","2018-06-11_to_2019-06-12_ValuePortfolio_5QRank","2018-07-11_to_2019-07-12_ValuePortfolio_5QRank","2018-08-13_to_2019-08-12_ValuePortfolio_5QRank","2018-09-11_to_2019-09-12_ValuePortfolio_5QRank","2018-10-11_to_2019-10-12_ValuePortfolio_5QRank","2018-11-12_to_2019-11-12_ValuePortfolio_5QRank","2018-12-11_to_2019-12-12_ValuePortfolio_5QRank","2019-01-11_to_2020-01-12_ValuePortfolio_5QRank","2019-02-11_to_2020-02-12_ValuePortfolio_5QRank","2019-03-11_to_2020-03-12_ValuePortfolio_5QRank","2019-04-11_to_2020-04-12_ValuePortfolio_5QRank","2019-05-13_to_2020-05-12_ValuePortfolio_5QRank","2019-06-11_to_2020-06-12_ValuePortfolio_5QRank","2019-07-11_to_2020-07-12_ValuePortfolio_5QRank","2019-08-12_to_2020-08-12_ValuePortfolio_5QRank","2019-09-11_to_2020-09-12_ValuePortfolio_5QRank","2019-10-11_to_2020-10-12_ValuePortfolio_5QRank","2019-11-11_to_2020-11-12_ValuePortfolio_5QRank","2019-12-11_to_2020-12-12_ValuePortfolio_5QRank","2020-01-13_to_2021-01-12_ValuePortfolio_5QRank","2020-02-11_to_2021-02-12_ValuePortfolio_5QRank","2020-03-11_to_2021-03-12_ValuePortfolio_5QRank","2020-04-13_to_2021-04-12_ValuePortfolio_5QRank","2020-05-11_to_2021-05-12_ValuePortfolio_5QRank","2020-06-11_to_2021-06-12_ValuePortfolio_5QRank","2020-07-13_to_2021-07-12_ValuePortfolio_5QRank","2020-08-11_to_2021-08-12_ValuePortfolio_5QRank","2020-09-11_to_2021-09-12_ValuePortfolio_5QRank"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.49","0.66","0.67","0.53","0.55","0.5","0.88","0.96","0.93","0.98","1.08","0.94","0.91","1.04","0.89","0.9","0.86","0.95","1","1.32","1.15","1.34","1.26","1.48","1.44","1.52","1.48","1.37","1.13","1.44","1.15","1.27","0.69","0.7","1.03","0.93","0.99","0.85","0.67","0.75","0.74","0.68","0.86","0.87","0.77","0.71","0.89","0.93","0.9","0.89","0.88","0.84","0.83","0.95","0.89","1.11","1.21","1.45","1.3","1.51","1.33","1.35","0.98","1.17","1.08","1.22","1.37","1.32","0.88","0.98","1","1.12","0.91","0.78","0.85","0.73","0.84","1.25","1.21"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","35.79","75.95","93.23","80.17","83.02","54.38","91.71","85.21","92.14","92.32","93.12","88.88","88.53","92.44","86.92","85.97","80.14","78.75","73.3","76.68","77.57","81.43","63.21","42.04","29.66","34.02","45.4","38.35","14.23","26.21","25.27","16.03","6.48","15.28","46.55","35.7","74.71","67.51","42.81","53.54","45.57","41.18","65.24","68.06","69.97","62.39","72.59","94.32","90.37","82.69","71.2","79.35","79.32","88.96","83.42","94.61","92.73","86.08","93.54","93.06","91.09","88.21","83.42","90.8","84.5","92.09","82.28","82.37","88.15","92.01","84.15","80.36","56.58","24.75","26.83","20.33","26.91","36.49","28.15"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-5.2877","-5.524","-4.678","-5.0168","-5.088","-4.6338","-12.2102","-13.5684","-14.0416","-14.6082","-13.3095","-17.4517","-15.7568","-18.9405","-16.336","-15.9793","-14.5785","-14.6534","-16.5993","-17.182","-10.8529","-12.4974","-8.7262","-12.4522","-11.7504","-10.5679","-8.7699","-7.285","-7.8801","-8.1791","-6.0565","-6.0832","-4.3462","-3.3538","-3.7939","-10.0847","-9.8371","-12.8053","-12.1177","-12.8211","-12.2037","-13.067","-13.4308","-13.551","-13.7488","-14.0992","-15.9493","-17.6788","-18.6779","-16.7413","-16.1609","-16.3983","-15.4298","-16.0703","-15.0534","-15.3465","-14.4977","-10.3345","-9.6583","-11.0747","-32.2885","-40.228","-34.8419","-38.853","-36.2571","-39.9874","-39.1864","-36.5127","-34.2398","-34.2047","-38.3654","-37.9577","-18.8069","-19.785","-19.3717","-9.4794","-9.8653","-12.5031","-11.9662"
"B Max Drawdown","-7.5098","-7.5099","-7.5098","-7.5098","-7.5098","-7.5098","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5262","-5.1204","-5.1204","-5.1204","-5.1204","-5.1205","-4.8468","-4.6428","-4.6428","-4.0864","-3.2324","-2.9033","-2.9033","-2.9033","-10.3384","-10.3384","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.9326"
"MD DIFF(P-B)","2.2221","1.9859","2.8318","2.493","2.4218","2.876","1.1177","-0.240500000000001","-0.713700000000001","-1.2803","0.0183999999999997","-4.1238","-2.4289","-5.6126","-3.0081","-2.6514","-1.2506","-2.8172","-4.7631","-5.3458","0.560700000000001","-1.9712","-3.6058","-7.3318","-6.63","-5.4475","-3.6494","-2.4382","-3.2373","-3.5363","-1.9701","-2.8508","-1.4429","-0.4505","-0.8906","0.2537","0.501300000000001","-1.6325","-0.944899999999999","-1.6483","-1.0309","-1.8942","-2.258","-2.3782","-2.576","-2.9264","4.01","2.2805","1.2814","3.218","3.7984","3.561","4.5295","3.889","4.9059","1.3951","1.3149","1.1639","-1.9892","-3.4056","-6.2499","-8.6968","-3.3107","-7.3218","-4.7259","-8.4562","-7.6552","-4.9815","-2.7086","-2.6735","-6.8342","-6.4265","-2.8677","-9.2829","-8.8696","1.0227","0.636700000000001","-2.001","-4.0336"
