"","2014-06-11_to_2017-06-12_ALLPortfolio_6QRank","2014-07-11_to_2017-07-12_ALLPortfolio_6QRank","2014-08-11_to_2017-08-12_ALLPortfolio_6QRank","2014-09-11_to_2017-09-12_ALLPortfolio_6QRank","2014-10-13_to_2017-10-12_ALLPortfolio_6QRank","2014-11-11_to_2017-11-12_ALLPortfolio_6QRank","2014-12-11_to_2017-12-12_ALLPortfolio_6QRank","2015-01-12_to_2018-01-12_ALLPortfolio_6QRank","2015-02-11_to_2018-02-12_ALLPortfolio_6QRank","2015-03-11_to_2018-03-12_ALLPortfolio_6QRank","2015-04-13_to_2018-04-12_ALLPortfolio_6QRank","2015-05-11_to_2018-05-12_ALLPortfolio_6QRank","2015-06-11_to_2018-06-12_ALLPortfolio_6QRank","2015-07-13_to_2018-07-12_ALLPortfolio_6QRank","2015-08-11_to_2018-08-12_ALLPortfolio_6QRank","2015-09-11_to_2018-09-12_ALLPortfolio_6QRank","2015-10-12_to_2018-10-12_ALLPortfolio_6QRank","2015-11-11_to_2018-11-12_ALLPortfolio_6QRank","2015-12-11_to_2018-12-12_ALLPortfolio_6QRank","2016-01-11_to_2019-01-12_ALLPortfolio_6QRank","2016-02-11_to_2019-02-12_ALLPortfolio_6QRank","2016-03-11_to_2019-03-12_ALLPortfolio_6QRank","2016-04-11_to_2019-04-12_ALLPortfolio_6QRank","2016-05-11_to_2019-05-12_ALLPortfolio_6QRank","2016-06-13_to_2019-06-12_ALLPortfolio_6QRank","2016-07-11_to_2019-07-12_ALLPortfolio_6QRank","2016-08-11_to_2019-08-12_ALLPortfolio_6QRank","2016-09-12_to_2019-09-12_ALLPortfolio_6QRank","2016-10-11_to_2019-10-12_ALLPortfolio_6QRank","2016-11-11_to_2019-11-12_ALLPortfolio_6QRank","2016-12-12_to_2019-12-12_ALLPortfolio_6QRank","2017-01-11_to_2020-01-12_ALLPortfolio_6QRank","2017-02-13_to_2020-02-12_ALLPortfolio_6QRank","2017-03-13_to_2020-03-12_ALLPortfolio_6QRank","2017-04-11_to_2020-04-12_ALLPortfolio_6QRank","2017-05-11_to_2020-05-12_ALLPortfolio_6QRank","2017-06-12_to_2020-06-12_ALLPortfolio_6QRank","2017-07-11_to_2020-07-12_ALLPortfolio_6QRank","2017-08-11_to_2020-08-12_ALLPortfolio_6QRank","2017-09-11_to_2020-09-12_ALLPortfolio_6QRank","2017-10-11_to_2020-10-12_ALLPortfolio_6QRank","2017-11-13_to_2020-11-12_ALLPortfolio_6QRank","2017-12-11_to_2020-12-12_ALLPortfolio_6QRank","2018-01-11_to_2021-01-12_ALLPortfolio_6QRank","2018-02-12_to_2021-02-12_ALLPortfolio_6QRank","2018-03-12_to_2021-03-12_ALLPortfolio_6QRank","2018-04-11_to_2021-04-12_ALLPortfolio_6QRank","2018-05-11_to_2021-05-12_ALLPortfolio_6QRank","2018-06-11_to_2021-06-12_ALLPortfolio_6QRank","2018-07-11_to_2021-07-12_ALLPortfolio_6QRank","2018-08-13_to_2021-08-12_ALLPortfolio_6QRank","2018-09-11_to_2021-09-12_ALLPortfolio_6QRank","2018-10-11_to_2021-10-12_ALLPortfolio_6QRank"
"P Information Ratio","0.78","1.44","1.14","0.85","0.64","0.81","0.8","0.88","1.26","1.06","1.08","0.14","1.14","0.34","0.69","0.15","1.36","1.18","0.95","1.05","1.25","0.72","0.99","1.19","0.89","0.75","0.65","0.8","0.64","0.57","0.71","0.58","0.09","-0.43","0.12","0.24","0.08","0.3","0.16","0.19","-0.12","-0.24","-0.09","-0.23","-0.06","0.48","0.4","0.18","0.29","0.04","-0.02","-0.03","0.62"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.41","0.69","0.64","0.51","0.32","0.48","0.43","0.37","0.59","0.48","0.53","0.17","0.6","0.24","0.55","0.2","0.58","0.41","0.32","0.26","0.18","0.13","0.22","0.27","0.21","0.18","0.13","0.15","0.11","0.23","0.23","0.17","-0.03","0.15","-0.1","-0.01","0.06","0.06","-0.01","0.01","-0.11","-0.15","-0.04","-0.14","-0.1","0.11","0.11","-0.03","0.02","-0.02","-0.07","-0.07","0.1"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.83","0.83","0.86","0.81","0.86","0.8","0.84","0.9","0.93","0.91","0.89","0.84","0.89","0.9","0.87","0.88","0.97","1.01","1.06","1.1","1.15","1.17","1.19","1.13","1.15","1.18","1.18","1.12","1.08","1.04","1.02","1","0.96","0.93","1.03","1.02","1.06","1.07","1.07","1.13","1.05","1.05","1.09","1.07","1.06","1.14","1.16","1.11","1.13","1.09","1.07","1.07","1.2"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","76.37","73.41","71.56","74.3","77.72","75.49","77.48","79.37","75.01","76.31","75.92","78.58","72.44","81.73","74.08","84.26","75.24","80.99","82.33","83.89","86.29","87.41","85.85","85.42","87.74","86.92","85.88","86.26","84.73","86.26","86.65","87.73","85.79","87.97","88.79","91.25","87.3","89.07","89.59","91.28","89.97","90.95","91.04","91.01","90.17","89.77","89.77","88.94","89.63","90.42","88.52","88.09","87.91"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-13.5259","-12.5803","-12.1521","-12.2264","-13.1632","-13.1178","-13.4624","-14.1741","-13.5622","-13.0247","-13.0503","-12.3821","-12.9737","-14.0122","-13.5741","-14.4694","-13.2134","-12.4638","-14.715","-23.194","-24.2607","-24.209","-23.8588","-23.5741","-23.4061","-23.5792","-23.2004","-22.3553","-21.3117","-21.0267","-20.6412","-19.6487","-18.1065","-26.8802","-31.3341","-30.2391","-31.5737","-31.4733","-31.5642","-32.2015","-31.3508","-30.7604","-30.3164","-30.9117","-30.3708","-31.5268","-31.5224","-31.0078","-32.0518","-31.5036","-31.9517","-31.4088","-32.1349"
"B Max Drawdown","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-13.3279","-11.8362","-11.8362","-11.8362","-11.4136","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-0.198","0.7476","1.1758","1.1015","0.1647","0.210099999999999","-0.134500000000001","-0.8462","-0.234300000000001","0.3032","0.2776","0.9458","0.354200000000001","-0.6843","-1.7379","-2.6332","-1.3772","-1.0502","-4.1339","-3.2347","-4.3014","-4.2497","-3.8995","-3.6148","-3.4468","-3.6199","-3.2411","-2.396","-1.3524","-1.0674","-0.681900000000002","0.310599999999997","1.8528","-6.9209","0.197099999999999","1.2921","-0.0425000000000004","0.0579000000000001","-0.0330000000000013","-0.670300000000005","0.180399999999999","0.770799999999998","1.2148","0.619499999999999","1.1604","0.00439999999999685","0.00879999999999725","0.523399999999999","-0.520600000000002","0.0275999999999996","-0.420500000000001","0.122399999999999","-0.603700000000003"
