"","1 Y 2015-12-11 to 2018-12-12","1 Y 2016-01-11 to 2019-01-12","1 Y 2016-02-11 to 2019-02-12","1 Y 2016-03-11 to 2019-03-12","1 Y 2016-04-11 to 2019-04-12","1 Y 2016-05-11 to 2019-05-12","1 Y 2016-06-13 to 2019-06-12","1 Y 2016-07-11 to 2019-07-12","1 Y 2016-08-11 to 2019-08-12","1 Y 2016-09-12 to 2019-09-12","1 Y 2016-10-11 to 2019-10-12","1 Y 2016-11-11 to 2019-11-12","1 Y 2016-12-12 to 2019-12-12","1 Y 2017-01-11 to 2020-01-12","1 Y 2017-02-13 to 2020-02-12","1 Y 2017-03-13 to 2020-03-12","1 Y 2017-04-11 to 2020-04-12","1 Y 2017-05-11 to 2020-05-12","1 Y 2017-06-12 to 2020-06-12","1 Y 2017-07-11 to 2020-07-12","1 Y 2017-08-11 to 2020-08-12","1 Y 2017-09-11 to 2020-09-12","1 Y 2017-10-11 to 2020-10-12","1 Y 2017-11-13 to 2020-11-12","1 Y 2017-12-11 to 2020-12-12","1 Y 2018-01-11 to 2021-01-12","1 Y 2018-02-12 to 2021-02-12","1 Y 2018-03-12 to 2021-03-12","1 Y 2018-04-11 to 2021-04-12","1 Y 2018-05-11 to 2021-05-12","1 Y 2018-06-11 to 2021-06-12","1 Y 2018-07-11 to 2021-07-12","1 Y 2018-08-13 to 2021-08-12","1 Y 2018-09-11 to 2021-09-12","1 Y 2018-10-11 to 2021-10-12","2 Y 2015-12-11 to 2018-12-12","2 Y 2016-01-11 to 2019-01-12","2 Y 2016-02-11 to 2019-02-12","2 Y 2016-03-11 to 2019-03-12","2 Y 2016-04-11 to 2019-04-12","2 Y 2016-05-11 to 2019-05-12","2 Y 2016-06-13 to 2019-06-12","2 Y 2016-07-11 to 2019-07-12","2 Y 2016-08-11 to 2019-08-12","2 Y 2016-09-12 to 2019-09-12","2 Y 2016-10-11 to 2019-10-12","2 Y 2016-11-11 to 2019-11-12","2 Y 2016-12-12 to 2019-12-12","2 Y 2017-01-11 to 2020-01-12","2 Y 2017-02-13 to 2020-02-12","2 Y 2017-03-13 to 2020-03-12","2 Y 2017-04-11 to 2020-04-12","2 Y 2017-05-11 to 2020-05-12","2 Y 2017-06-12 to 2020-06-12","2 Y 2017-07-11 to 2020-07-12","2 Y 2017-08-11 to 2020-08-12","2 Y 2017-09-11 to 2020-09-12","2 Y 2017-10-11 to 2020-10-12","2 Y 2017-11-13 to 2020-11-12","2 Y 2017-12-11 to 2020-12-12","2 Y 2018-01-11 to 2021-01-12","2 Y 2018-02-12 to 2021-02-12","2 Y 2018-03-12 to 2021-03-12","2 Y 2018-04-11 to 2021-04-12","2 Y 2018-05-11 to 2021-05-12","2 Y 2018-06-11 to 2021-06-12","2 Y 2018-07-11 to 2021-07-12","2 Y 2018-08-13 to 2021-08-12","2 Y 2018-09-11 to 2021-09-12","2 Y 2018-10-11 to 2021-10-12","3 Y 2015-12-11 to 2018-12-12","3 Y 2016-01-11 to 2019-01-12","3 Y 2016-02-11 to 2019-02-12","3 Y 2016-03-11 to 2019-03-12","3 Y 2016-04-11 to 2019-04-12","3 Y 2016-05-11 to 2019-05-12","3 Y 2016-06-13 to 2019-06-12","3 Y 2016-07-11 to 2019-07-12","3 Y 2016-08-11 to 2019-08-12","3 Y 2016-09-12 to 2019-09-12","3 Y 2016-10-11 to 2019-10-12","3 Y 2016-11-11 to 2019-11-12","3 Y 2016-12-12 to 2019-12-12","3 Y 2017-01-11 to 2020-01-12","3 Y 2017-02-13 to 2020-02-12","3 Y 2017-03-13 to 2020-03-12","3 Y 2017-04-11 to 2020-04-12","3 Y 2017-05-11 to 2020-05-12","3 Y 2017-06-12 to 2020-06-12","3 Y 2017-07-11 to 2020-07-12","3 Y 2017-08-11 to 2020-08-12","3 Y 2017-09-11 to 2020-09-12","3 Y 2017-10-11 to 2020-10-12","3 Y 2017-11-13 to 2020-11-12","3 Y 2017-12-11 to 2020-12-12","3 Y 2018-01-11 to 2021-01-12","3 Y 2018-02-12 to 2021-02-12","3 Y 2018-03-12 to 2021-03-12","3 Y 2018-04-11 to 2021-04-12","3 Y 2018-05-11 to 2021-05-12","3 Y 2018-06-11 to 2021-06-12","3 Y 2018-07-11 to 2021-07-12","3 Y 2018-08-13 to 2021-08-12","3 Y 2018-09-11 to 2021-09-12","3 Y 2018-10-11 to 2021-10-12"
"P Information Ratio","-0.19","-0.88","-1.4","-0.71","-1.17","0.01","-0.9","-0.41","-0.46","-0.34","-0.94","-1.28","-2.26","-2.26","-2.28","-0.88","-1.28","-2.39","-2.07","-2.62","-2.27","-2.55","-3.18","-3.08","-1.85","-1.42","-1.37","-1.21","-1.35","-0.54","0.06","0.71","0.59","0.19","0.32","-0.82","-0.88","-0.66","-0.7","-0.6","0.14","-0.17","-0.34","-0.39","-0.25","-1.17","-0.72","-1.04","-1.37","-1.56","-0.71","-1.27","-1.68","-1.72","-2.31","-1.84","-2.03","-2.36","-2.26","-1.72","-1.7","-1.8","-1.27","-1.3","-1.33","-1.26","-0.75","-1.31","-1.69","-1.6","-0.05","-0.24","0.31","-0.46","-0.42","-0.22","0.03","0.01","-0.2","-0.24","-0.51","-0.95","-1.41","-1.29","-1.2","-0.63","-0.98","-1.14","-1.21","-1.77","-1.44","-1.7","-1.91","-1.66","-1.33","-1.15","-1.22","-0.83","-1.5","-1.19","-1.34","-0.77","-1.1","-1.33","-1.41"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.23","-0.51","-0.59","-0.34","-0.3","-0.02","-0.33","-0.4","-0.01","-0.31","-0.37","-0.35","-0.67","-0.67","-1.25","0.01","-0.9","-1.6","-1.97","-1.78","-2.2","-3.12","-1.99","-2.1","-1.06","-1.12","-0.6","0.5","0.27","0.29","0.96","1.35","1.24","0.69","1.05","-0.19","-0.34","-0.29","-0.21","-0.09","0.1","-0.14","-0.25","-0.13","-0.41","-0.46","-0.2","-0.44","-0.38","-0.52","-0.21","-0.71","-0.93","-1.16","-1.2","-1.27","-1.7","-1.27","-1.2","-0.68","-0.78","-0.78","-0.53","-0.61","-0.51","-0.71","-0.16","-0.79","-0.98","-1.2","0.11","-0.11","0.04","-0.12","-0.19","-0.04","-0.02","-0.09","-0.17","-0.29","-0.33","-0.23","-0.43","-0.31","-0.44","-0.17","-0.48","-0.56","-0.78","-0.94","-0.98","-1.32","-0.84","-0.85","-0.58","-0.53","-0.41","-0.39","-0.65","-0.57","-0.79","-0.22","-0.64","-0.8","-1.01"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.74","0.9","1.06","1","0.91","0.93","1.06","1.2","1.19","1.19","1.15","0.92","0.99","1.03","1.11","1.05","1.1","1.11","1.22","1.17","1.19","1.27","1","0.94","0.88","0.79","0.85","0.66","0.84","0.74","0.69","0.71","0.84","0.82","0.75","0.76","0.89","1.06","0.97","0.92","0.92","1.07","1.18","1.13","1.13","1.04","0.79","0.91","0.98","0.96","0.96","1.05","1.04","1.13","1.11","1.1","1.17","0.98","0.95","0.87","0.77","0.87","0.86","0.94","0.85","0.88","0.85","0.9","0.83","0.89","0.75","0.94","1.11","0.98","0.95","0.95","1.08","1.18","1.13","1.14","1.07","0.8","0.91","0.96","0.99","0.99","1.07","1.04","1.12","1.1","1.09","1.14","0.96","0.94","0.88","0.78","0.85","0.84","0.93","0.88","0.93","0.86","0.92","0.87","0.94"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","64.68","85.56","89.63","90.82","91.79","89.87","92.61","91.07","95","94.71","93.59","93.22","90.71","86.87","80.88","91.46","88.23","90.27","89.76","89.04","90.08","91.47","88.87","89.67","87.04","84.88","80.31","64.68","67.9","69.26","58.87","61.02","54.9","45.22","28.58","65.76","82.17","82","86","83.9","82.8","86.96","87.06","88.28","91.48","90.54","81.2","86.59","89.46","84.99","90.01","90.62","90.77","90.46","90.7","90.24","90.15","89.55","89.6","86.02","82.92","83.18","82.2","83.07","83.41","76.43","79.23","69.26","68.78","64.16","58.02","76.33","72.55","81.78","79","79.18","75.25","74.74","78.24","78.38","80.24","79.18","85","87.29","84.12","88.95","88.32","88.49","88.47","88.34","86.86","88.38","87.01","87.66","86.83","83.04","83.37","82.9","84.1","85.93","81.27","83.16","75.09","73.58","70.32"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-12.3746","-20.6798","-22.9469","-20.8089","-19.1977","-18.0485","-21.7751","-24.2326","-23.0299","-23.0868","-16.8451","-13.6536","-10.9934","-7.7208","-8.7417","-29.6289","-34.8665","-36.2663","-39.4871","-37.1399","-38.6132","-40.7919","-35.9684","-35.6664","-31.0988","-31.8181","-32.6255","-15.0624","-11.6504","-10.4559","-7.6118","-6.6309","-6.2939","-6.7117","-7.6568","-12.3746","-20.6798","-25.6232","-22.6182","-21.2449","-20.0338","-23.9974","-26.7474","-24.9868","-24.9464","-22.9633","-15.5982","-18.9885","-19.888","-18.2771","-29.6289","-34.8665","-36.2663","-39.4871","-37.1399","-38.6132","-40.7919","-35.9684","-35.6664","-31.0988","-31.8181","-33.3006","-32.8808","-34.127","-30.8103","-34.7603","-32.0243","-35.7269","-35.7871","-37.6969","-12.3746","-20.6798","-25.6232","-22.6182","-21.2449","-20.0338","-23.9974","-26.7474","-24.9868","-24.9464","-22.9633","-15.5982","-18.9885","-19.888","-19.6183","-29.6289","-34.8665","-36.2663","-39.4871","-37.1399","-38.6132","-40.7919","-35.9684","-35.6664","-31.0988","-31.8181","-33.3006","-32.8808","-34.127","-30.8103","-35.2842","-32.0243","-35.7269","-35.7871","-37.6969"
"B Max Drawdown","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8127","-11.4984","-7.6691","-7.669","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-15.9392","-10.5021","-10.5021","-10.5021","-10.5021","-10.5021","-7.9326","-7.9326","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-11.1728","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9594","-19.9593","-19.9593","-19.9593","-26.0386","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
